"Task","T3048"
"Scope 1/1, Sample 1/2 (QT_JA1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","63.2","22.9","NaN","","","","","",""
"0.0200","25","23.5","22.9","0.0010","","","","","",""
"0.0400","56","-2.9","22.9","0.0005","","","","","",""
"0.0600","86","-19.0","23.0","0.0005","","","","","",""
"0.0925","91","-20.8","23.0","0.0060","","","","","",""
"0.1735","94","-21.4","23.0","0.0230","","","","","",""
"0.3735","125","-11.7","23.0","0.0065","-54.26","1.73","","","","NaN"
"0.5735","155","-1.1","23.0","0.0065","-29.88","1.48","","","","NaN"
"0.7735","168","3.2","23.0","0.0160","126.28","2.10","","","","NaN"
"0.9735","198","21.4","23.0","0.0065","363.57","2.56","","","","NaN"
"1.1285","228","111.1","23.0","0.0050","436.88","2.64","","","","NaN"
"1.1485","369","177.3","23.0","0.0000","394.47","2.60","","","","NaN"
"1.1685","386","182.5","23.0","0.0010","474.77","2.68","","","","NaN"
"1.2185","403","192.6","23.0","0.0030","348.60","2.54","","","","NaN"
"1.2700","417","200.3","23.0","0.0035","270.48","2.43","","","","NaN"
"1.3420","429","208.1","23.0","0.0060","173.22","2.24","","","","NaN"
"1.4445","440","216.3","23.0","0.0095","83.54","1.92","","","","NaN"
"1.5790","449","224.2","23.0","0.0145","59.24","1.77","","","","NaN"
"1.7640","458","232.3","23.0","0.0210","40.28","1.61","","","","NaN"
"1.9640","466","238.7","23.0","0.0265","29.23","1.47","","","","NaN"
"2.1640","473","243.8","23.0","0.0295","22.92","1.36","","","","NaN"
"2.3640","480","248.1","23.0","0.0280","19.03","1.28","","","","NaN"
"2.5640","487","251.7","23.0","0.0295","16.42","1.22","","","","NaN"
"2.7640","493","254.8","23.0","0.0325","","","","","",""
"2.9640","500","257.6","23.0","0.0295","","","","","",""
"3.1640","506","260.1","23.0","0.0325","","","","","",""
"3.3640","512","262.4","23.0","0.0335","","","","","",""
"3.5600","518","264.4","23.0","0.0330","","","","","",""
"Scope 1/1, Sample 2/2 (QT_JA2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","115.4","22.9","NaN","","","","","",""
"0.0200","28","60.7","22.9","0.0005","","","","","",""
"0.0400","179","-46.6","22.9","0.0000","","","","","",""
"0.0600","182","-47.0","22.9","0.0070","","","","","",""
"0.1100","212","-41.6","22.9","0.0015","","","","","",""
"0.1375","242","-34.3","22.9","0.0010","-128.88","2.11","","","","NaN"
"0.1575","272","-28.1","22.9","0.0005","-64.93","1.81","","","","NaN"
"0.1800","303","-22.7","22.9","0.0005","135.36","2.13","","","","NaN"
"0.2225","333","-17.2","22.9","0.0015","124.55","2.10","","","","NaN"
"0.3285","363","-10.8","22.9","0.0035","66.39","1.82","","","","NaN"
"0.5285","393","-2.3","22.9","0.0065","-11.47","1.06","","","","NaN"
"0.7285","424","6.0","22.9","0.0065","44.30","1.65","","","","NaN"
"0.9255","454","19.4","22.9","0.0065","349.01","2.54","","","","NaN"
"0.9965","484","36.1","22.9","0.0025","599.77","2.78","","","","NaN"
"1.0165","514","53.6","22.9","0.0005","723.77","2.86","","","","NaN"
"1.0365","544","72.9","22.9","0.0005","786.65","2.90","","","","NaN"
"1.0565","575","95.2","22.9","0.0005","840.84","2.92","","","","NaN"
"1.0765","605","120.2","22.9","0.0005","1068.70","3.03","","","","NaN"
"1.0965","635","143.0","22.9","0.0005","840.88","2.92","","","","NaN"
"1.1165","665","159.5","22.9","0.0005","650.82","2.81","","","","NaN"
"1.1365","693","169.2","22.9","0.0005","542.88","2.73","","","","NaN"
"1.1645","715","178.2","22.9","0.0015","427.88","2.63","","","","NaN"
"1.2025","733","187.2","22.9","0.0020","293.70","2.47","","","","NaN"
"1.2485","748","195.1","22.9","0.0030","","","","","",""
"1.3110","761","203.2","22.9","0.0050","","","","","",""
"1.3940","771","210.1","22.9","0.0080","","","","","",""
"1.5455","780","219.5","22.9","0.0165","","","","","",""
"1.7155","788","228.0","22.9","0.0210","","","","","",""
