"Task","T3070"
"Scope 1/1, Sample 1/2 (JUNK 1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","239.6","22.0","NaN","","","","","",""
"0.0200","3","239.0","22.0","0.0060","","","","","",""
"0.0400","6","239.0","22.0","0.0060","","","","","",""
"0.0900","11","240.0","22.0","0.0100","","","","","",""
"0.2150","16","243.1","22.0","0.0225","","","","","",""
"0.4150","23","247.4","22.0","0.0300","","","","","",""
"0.6150","29","251.1","22.0","0.0355","","","","","",""
"0.8150","34","254.2","22.0","0.0390","","","","","",""
"1.0150","40","257.0","22.0","0.0365","","","","","",""
"1.2150","45","259.5","22.0","0.0410","","","","","",""
"1.4150","50","261.7","22.0","0.0400","","","","","",""
"1.6150","55","263.7","22.0","0.0410","","","","","",""
"1.8150","60","265.6","22.0","0.0435","","","","","",""
"2.0150","64","267.4","22.0","0.0455","","","","","",""
"2.2150","69","269.0","22.0","0.0410","","","","","",""
"2.4150","74","270.5","22.0","0.0425","","","","","",""
"2.6150","78","271.9","22.0","0.0445","","","","","",""
"2.8150","83","273.2","22.0","0.0390","","","","","",""
"3.0150","88","274.5","22.0","0.0415","","","","","",""
"3.2150","92","275.7","22.0","0.0465","","","","","",""
"3.4150","97","276.8","22.0","0.0425","","","","","",""
"3.5600","101","277.6","22.0","0.0360","","","","","",""
"Scope 1/1, Sample 2/2 (CRM 1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","140.2","21.9","NaN","","","","","",""
"0.0200","28","109.4","22.0","0.0005","","","","","",""
"0.0400","58","97.3","22.0","0.0005","","","","","",""
"0.0735","182","78.6","22.0","0.0005","","","","","",""
"0.0935","185","78.5","22.0","0.0070","","","","","",""
"0.1435","189","79.6","22.0","0.0130","-115.44","2.06","","","","NaN"
"0.2685","219","84.2","22.0","0.0040","236.05","2.37","","","","NaN"
"0.4685","249","134.8","22.0","0.0065","","","","","",""
"0.4885","280","162.5","22.0","0.0005","","","","","",""
"0.5085","303","171.7","22.0","0.0010","","","","","",""
"0.5585","325","184.4","22.0","0.0025","","","","","",""
"0.6150","339","184.4","22.0","0.0040","","","","","",""
