"Task","T3098"
"Scope 1/1, Sample 1/3 (JUNK2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","132.6","22.2","NaN","","","","","",""
"0.0200","28","101.4","22.3","0.0005","","","","","",""
"0.0400","58","87.3","22.3","0.0005","","","","","",""
"0.0650","186","60.1","22.3","0.0000","","","","","",""
"0.0850","190","59.7","22.3","0.0055","","","","","",""
"0.1350","193","59.6","22.3","0.0165","-273.84","2.44","","","","NaN"
"0.2600","198","60.4","22.2","0.0255","16.05","1.21","","","","NaN"
"0.4600","228","85.4","22.2","0.0065","519.11","2.72","","","","NaN"
"0.4805","258","118.6","22.2","0.0005","459.37","2.66","","","","NaN"
"0.5005","289","148.3","22.2","0.0005","452.03","2.66","","","","NaN"
"0.5205","319","165.3","22.2","0.0005","483.57","2.68","","","","NaN"
"0.5405","339","173.0","22.2","0.0010","422.61","2.63","","","","NaN"
"0.5865","358","185.2","22.2","0.0025","395.28","2.60","","","","NaN"
"0.6305","372","193.2","22.2","0.0030","251.20","2.40","","","","NaN"
"0.6950","384","201.7","22.2","0.0055","154.49","2.19","","","","NaN"
"0.7770","394","209.7","22.2","0.0080","","","","","",""
"0.8915","404","217.8","22.2","0.0115","","","","","",""
"1.0445","413","225.6","22.2","0.0170","","","","","",""
"1.2445","421","233.1","22.2","0.0255","","","","","",""
"1.4445","428","238.9","22.2","0.0285","","","","","",""
"Scope 1/1, Sample 2/3 (QT1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","103.3","23.9","NaN","","","","","",""
"0.0200","28","37.3","24.0","0.0005","","","","","",""
"0.0400","152","-61.6","23.9","0.0000","","","","","",""
"0.0600","155","-61.8","23.9","0.0070","","","","","",""
"0.1100","185","-56.2","23.8","0.0015","","","","","",""
"0.1350","215","-50.2","23.8","0.0010","-25.03","1.40","","","","NaN"
"0.1550","246","-45.0","23.8","0.0005","-18.22","1.26","","","","NaN"
"0.1830","276","-39.5","23.8","0.0010","140.23","2.15","","","","NaN"
"0.2355","306","-32.1","23.7","0.0020","129.07","2.11","","","","NaN"
"0.3170","336","-24.0","23.7","0.0025","101.51","2.01","","","","NaN"
"0.4285","366","-16.1","23.7","0.0035","66.30","1.82","","","","NaN"
"0.5910","396","-8.1","23.7","0.0055","35.39","1.55","","","","NaN"
"0.7910","427","0.3","23.7","0.0065","31.81","1.50","","","","NaN"
"0.9910","457","9.8","23.6","0.0065","79.31","1.90","","","","NaN"
"1.1420","487","20.4","23.6","0.0050","171.90","2.24","","","","NaN"
"1.2195","517","31.2","23.6","0.0025","263.88","2.42","","","","NaN"
"1.2485","548","41.4","23.6","0.0010","323.19","2.51","","","","NaN"
"1.2685","578","51.1","23.6","0.0005","354.07","2.55","","","","NaN"
"1.2885","608","60.3","23.6","0.0005","388.73","2.59","","","","NaN"
"1.3085","638","69.1","23.5","0.0005","458.57","2.66","","","","NaN"
"1.3285","668","77.6","23.5","0.0005","426.71","2.63","","","","NaN"
"1.3485","698","85.9","23.5","0.0005","397.20","2.60","","","","NaN"
"1.3685","729","93.8","23.5","0.0005","388.90","2.59","","","","NaN"
"1.3895","759","101.9","23.5","0.0005","398.41","2.60","","","","NaN"
"1.4110","789","110.3","23.5","0.0005","429.65","2.63","","","","NaN"
"1.4310","819","119.0","23.4","0.0005","472.42","2.67","","","","NaN"
"1.4510","850","128.8","23.4","0.0005","510.50","2.71","","","","NaN"
"1.4710","880","139.8","23.4","0.0005","514.16","2.71","","","","NaN"
"1.4910","910","150.7","23.4","0.0005","472.43","2.67","","","","NaN"
"1.5110","937","160.3","23.4","0.0005","405.07","2.61","","","","NaN"
"1.5310","961","168.0","23.4","0.0010","351.48","2.55","","","","NaN"
"1.5575","981","176.2","23.4","0.0015","299.18","2.48","","","","NaN"
"1.5895","998","183.8","23.4","0.0020","245.39","2.39","","","","NaN"
"1.6325","1013","191.6","23.4","0.0030","190.66","2.28","","","","NaN"
"1.6910","1025","199.7","23.4","0.0050","","","","","",""
"1.7665","1036","207.4","23.3","0.0065","","","","","",""
"1.8720","1046","215.4","23.3","0.0100","","","","","",""
"2.0145","1056","223.3","23.3","0.0145","","","","","",""
"2.2145","1064","231.3","23.3","0.0245","","","","","",""
"Scope 1/1, Sample 3/3 (QT2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","102.7","23.2","NaN","","","","","",""
"0.0200","28","38.6","23.2","0.0005","","","","","",""
"0.0400","156","-62.0","23.2","0.0000","","","","","",""
"0.0600","159","-62.2","23.2","0.0070","","","","","",""
"0.1100","189","-56.8","23.2","0.0015","","","","","",""
"0.1370","219","-50.8","23.2","0.0010","29.50","1.47","","","","NaN"
"0.1570","250","-45.5","23.1","0.0005","-12.39","1.09","","","","NaN"
"0.1820","280","-40.0","23.1","0.0010","140.37","2.15","","","","NaN"
