"Task","T3271"
"Scope 1/1, Sample 1/2 (JUNK3)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","34.2","20.1","NaN","","","","","",""
"0.0200","27","-66.5","20.1","0.0005","","","","","",""
"0.0400","58","-89.0","20.1","0.0005","","","","","",""
"0.0900","61","-89.7","20.1","0.0180","","","","","",""
"0.2150","64","-89.7","20.1","0.0390","","","","","",""
"0.4150","94","-68.1","20.1","0.0065","","","","","",""
"0.5245","125","-47.4","20.1","0.0035","","","","","",""
"0.5730","155","-34.1","20.1","0.0015","","","","","",""
"0.6130","185","-25.0","20.1","0.0015","","","","","",""
"0.6970","215","-17.8","20.1","0.0030","","","","","",""
"0.8970","245","-10.4","20.1","0.0065","","","","","",""
"1.0970","275","-2.1","20.0","0.0065","","","","","",""
"1.2970","282","-0.4","20.0","0.0305","-0.81","-0.09","","","","NaN"
"1.4970","290","3.2","20.0","0.0235","193.32","2.29","","","","NaN"
"1.6970","321","32.5","20.0","0.0065","522.78","2.72","","","","NaN"
"1.7565","351","82.6","20.0","0.0020","576.91","2.76","","","","NaN"
"1.7765","381","126.4","20.0","0.0005","485.24","2.69","","","","NaN"
"1.7965","527","153.7","19.9","0.0000","546.82","2.74","","","","NaN"
"1.8165","551","161.1","19.9","0.0010","588.27","2.77","","","","NaN"
"1.8665","573","175.0","19.9","0.0025","399.90","2.60","","","","NaN"
"1.9040","588","182.4","19.9","0.0025","307.69","2.49","","","","NaN"
"1.9610","600","190.9","19.9","0.0050","180.28","2.26","","","","NaN"
"2.0330","612","198.8","19.9","0.0060","119.25","2.08","","","","NaN"
"2.1315","622","206.8","19.9","0.0105","85.93","1.93","","","","NaN"
"2.2655","632","214.8","19.9","0.0140","59.62","1.78","","","","NaN"
"2.4435","640","222.6","19.9","0.0230","41.28","1.62","","","","NaN"
"2.6435","647","229.1","19.9","0.0270","29.08","1.46","","","","NaN"
"2.8435","654","234.2","19.9","0.0265","","","","","",""
"3.0435","663","238.8","19.9","0.0215","","","","","",""
"3.2435","670","242.3","19.9","0.0300","","","","","",""
"3.4435","676","245.2","19.9","0.0335","","","","","",""
"3.5600","682","247.0","19.9","0.0200","","","","","",""
"Scope 1/1, Sample 2/2 (CRM3)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","110.9","19.3","NaN","","","","","",""
"0.0200","28","62.5","19.3","0.0005","","","","","",""
"0.0400","178","-33.5","19.3","0.0000","","","","","",""
"0.0600","184","-34.4","19.3","0.0035","","","","","",""
"0.1100","187","-34.8","19.3","0.0180","","","","","",""
"0.2350","217","-27.0","19.3","0.0040","-38.66","1.59","","","","NaN"
"0.3190","247","-19.9","19.3","0.0030","26.84","1.43","","","","NaN"
"0.3865","277","-13.9","19.3","0.0020","47.65","1.68","","","","NaN"
"0.4760","308","-8.2","19.3","0.0030","35.25","1.55","","","","NaN"
"0.6440","338","-1.9","19.3","0.0055","19.61","1.29","","","","NaN"
"0.8440","363","3.4","19.3","0.0080","32.57","1.51","","","","NaN"
"1.0440","393","13.9","19.3","0.0065","187.40","2.27","","","","NaN"
"1.1615","424","28.3","19.3","0.0040","424.13","2.63","","","","NaN"
"1.1895","454","43.9","19.3","0.0010","537.22","2.73","","","","NaN"
"1.2095","484","60.1","19.3","0.0005","619.17","2.79","","","","NaN"
"1.2295","514","76.8","19.3","0.0005","654.96","2.82","","","","NaN"
"1.2495","544","93.4","19.3","0.0005","832.95","2.92","","","","NaN"
"1.2695","575","110.7","19.3","0.0005","822.24","2.91","","","","NaN"
"1.2895","605","126.8","19.3","0.0005","713.41","2.85","","","","NaN"
"1.3095","635","141.0","19.3","0.0005","590.27","2.77","","","","NaN"
"1.3295","665","151.6","19.3","0.0005","478.35","2.68","","","","NaN"
"1.3500","691","159.9","19.3","0.0010","402.91","2.61","","","","NaN"
"1.3755","712","167.7","19.3","0.0010","331.56","2.52","","","","NaN"
"1.4105","731","176.0","19.3","0.0020","253.64","2.40","","","","NaN"
"1.4535","746","183.7","19.3","0.0030","190.98","2.28","","","","NaN"
"1.5125","758","191.7","19.3","0.0050","141.92","2.15","","","","NaN"
"1.5905","770","199.4","19.3","0.0065","","","","","",""
"1.7020","780","207.6","19.3","0.0105","","","","","",""
"1.8480","790","215.4","19.3","0.0145","","","","","",""
"2.0480","798","223.2","19.3","0.0240","","","","","",""
"2.2480","806","229.2","19.3","0.0265","","","","","",""
