"Task","T3293"
"Scope 1/1, Sample 1/5 (JUNK2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","32.3","19.1","NaN","","","","","",""
"0.0200","28","-20.4","19.2","0.0005","","","","","",""
"0.0400","58","-42.2","19.2","0.0005","","","","","",""
"0.0755","66","-44.8","19.2","0.0045","","","","","",""
"0.1645","69","-45.4","19.2","0.0320","","","","","",""
"0.3645","72","-45.2","19.2","0.0590","","","","","",""
"0.5645","103","-27.3","19.2","0.0065","","","","","",""
"0.7250","133","-14.9","19.2","0.0055","","","","","",""
"0.9250","163","-4.6","19.2","0.0065","","","","","",""
"1.1250","178","-0.1","19.2","0.0130","43.22","1.64","","","","NaN"
"1.3250","187","3.2","19.2","0.0225","101.95","2.01","","","","NaN"
"1.5250","217","18.6","19.2","0.0065","278.54","2.44","","","","NaN"
"1.7250","247","68.0","19.2","0.0065","555.56","2.74","","","","NaN"
"1.7460","277","120.6","19.2","0.0005","464.38","2.67","","","","NaN"
"1.7660","420","165.2","19.2","0.0000","441.06","2.64","","","","NaN"
"1.7860","442","172.2","19.2","0.0010","529.12","2.72","","","","NaN"
"1.8360","463","185.3","19.2","0.0025","373.71","2.57","","","","NaN"
"1.8765","478","193.0","19.1","0.0025","354.99","2.55","","","","NaN"
"1.9340","493","201.2","19.1","0.0040","192.58","2.28","","","","NaN"
"2.0090","505","209.0","19.1","0.0060","113.22","2.05","","","","NaN"
"2.1155","516","217.1","19.1","0.0100","80.66","1.91","","","","NaN"
"2.2585","526","225.1","19.1","0.0150","55.57","1.74","","","","NaN"
"2.4500","534","232.9","19.1","0.0235","37.82","1.58","","","","NaN"
"2.6500","543","239.2","19.1","0.0215","27.04","1.43","","","","NaN"
"2.8500","551","244.0","19.1","0.0265","","","","","",""
"3.0500","558","248.2","19.1","0.0280","","","","","",""
"3.2500","565","251.5","19.1","0.0280","","","","","",""
"3.4500","572","254.5","19.1","0.0285","","","","","",""
"3.5600","578","256.1","19.1","0.0185","","","","","",""
"Scope 1/1, Sample 2/5 (BT1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","108.1","21.6","NaN","","","","","",""
"0.0200","28","40.7","21.7","0.0005","","","","","",""
"0.0400","152","-59.0","21.5","0.0000","","","","","",""
"0.0600","155","-58.9","21.5","0.0065","","","","","",""
"0.1100","159","-58.9","21.5","0.0130","","","","","",""
"0.2350","189","-44.2","21.5","0.0040","596.69","2.78","","","","NaN"
"0.2580","219","-31.8","21.4","0.0010","183.08","2.26","","","","NaN"
"0.2780","250","-23.5","21.4","0.0005","129.54","2.11","","","","NaN"
"0.3035","280","-17.3","21.3","0.0010","119.48","2.08","","","","NaN"
"0.3595","310","-11.8","21.3","0.0020","111.55","2.05","","","","NaN"
"0.4995","340","-5.3","21.3","0.0045","53.27","1.73","","","","NaN"
"0.6995","370","1.6","21.2","0.0065","-4.61","0.66","","","","NaN"
"0.8995","377","3.4","21.2","0.0300","17.23","1.24","","","","NaN"
"1.0995","407","13.5","21.2","0.0065","136.27","2.13","","","","NaN"
"1.2230","437","25.9","21.1","0.0040","291.79","2.47","","","","NaN"
"1.2640","467","38.6","21.1","0.0015","398.57","2.60","","","","NaN"
"1.2840","498","51.4","21.1","0.0005","464.43","2.67","","","","NaN"
"1.3040","528","63.7","21.0","0.0005","504.49","2.70","","","","NaN"
"1.3240","558","76.1","21.0","0.0005","609.36","2.78","","","","NaN"
"1.3440","588","88.3","21.0","0.0005","644.09","2.81","","","","NaN"
"1.3640","618","100.6","20.9","0.0005","617.42","2.79","","","","NaN"
"1.3840","648","112.8","20.9","0.0005","627.33","2.80","","","","NaN"
"1.4040","679","125.2","20.9","0.0005","625.26","2.80","","","","NaN"
"1.4240","709","137.5","20.8","0.0005","594.37","2.77","","","","NaN"
"1.4440","739","149.9","20.8","0.0005","526.87","2.72","","","","NaN"
"1.4640","769","160.6","20.8","0.0005","444.08","2.65","","","","NaN"
"1.4840","793","168.7","20.8","0.0010","379.31","2.58","","","","NaN"
"1.5100","814","177.1","20.7","0.0010","318.74","2.50","","","","NaN"
"1.5410","832","184.7","20.7","0.0020","259.54","2.41","","","","NaN"
"1.5840","846","192.6","20.7","0.0030","197.40","2.30","","","","NaN"
"1.6415","858","200.7","20.7","0.0045","","","","","",""
"1.7160","869","208.5","20.7","0.0070","","","","","",""
"1.8185","879","216.3","20.7","0.0105","","","","","",""
"1.9635","889","224.5","20.7","0.0150","","","","","",""
"2.1545","897","232.2","20.7","0.0230","","","","","",""
"Scope 1/1, Sample 3/5 (BT2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","105.3","20.6","NaN","","","","","",""
"0.0200","28","40.8","20.6","0.0005","","","","","",""
"0.0400","153","-60.0","20.5","0.0000","","","","","",""
"0.0600","156","-60.2","20.5","0.0060","","","","","",""
"0.1100","160","-60.2","20.5","0.0140","","","","","",""
"0.2350","190","-46.2","20.5","0.0040","632.84","2.80","","","","NaN"
"0.2600","220","-33.7","20.5","0.0010","221.73","2.35","","","","NaN"
