"Task","T3358"
"Scope 1/1, Sample 1/2 (JUNK2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","119.7","21.1","NaN","","","","","",""
"0.0200","28","64.1","21.1","0.0005","","","","","",""
"0.0400","179","-41.1","21.2","0.0000","","","","","",""
"0.0600","182","-41.4","21.2","0.0070","","","","","",""
"0.1100","186","-41.2","21.2","0.0115","","","","","",""
"0.2350","217","-29.2","21.2","0.0040","605.40","2.78","","","","NaN"
"0.2700","247","-20.0","21.2","0.0010","295.40","2.47","","","","NaN"
"0.2900","277","-12.9","21.2","0.0005","115.46","2.06","","","","NaN"
"0.3100","307","-7.2","21.2","0.0005","99.29","2.00","","","","NaN"
"0.3440","337","-1.6","21.2","0.0010","85.63","1.93","","","","NaN"
"0.4290","365","3.2","21.2","0.0030","40.69","1.61","","","","NaN"
"0.6290","396","10.6","21.3","0.0065","-47.22","1.67","","","","NaN"
"0.8290","426","23.5","21.3","0.0065","340.01","2.53","","","","NaN"
"0.9065","456","41.1","21.3","0.0025","679.58","2.83","","","","NaN"
"0.9265","486","60.3","21.3","0.0005","757.23","2.88","","","","NaN"
"0.9465","516","81.8","21.3","0.0005","787.80","2.90","","","","NaN"
"0.9665","546","106.5","21.3","0.0005","826.79","2.92","","","","NaN"
"0.9865","577","131.9","21.3","0.0005","1044.70","3.02","","","","NaN"
"1.0065","607","153.2","21.3","0.0005","756.35","2.88","","","","NaN"
"1.0265","637","166.0","21.3","0.0005","601.47","2.78","","","","NaN"
"1.0470","659","173.9","21.3","0.0010","510.21","2.71","","","","NaN"
"1.0815","679","183.3","21.4","0.0020","362.71","2.56","","","","NaN"
"1.1225","695","191.5","21.4","0.0025","244.10","2.39","","","","NaN"
"1.1780","708","199.6","21.4","0.0040","","","","","",""
"1.2530","721","207.6","21.4","0.0060","","","","","",""
"1.3530","731","215.5","21.4","0.0100","","","","","",""
"1.4920","740","223.5","21.4","0.0150","","","","","",""
"1.6835","749","231.5","21.4","0.0215","","","","","",""
"Scope 1/1, Sample 2/2 (CRM2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","114.6","21.3","NaN","","","","","",""
"0.0200","28","64.1","21.3","0.0005","","","","","",""
"0.0400","179","-35.6","21.4","0.0000","","","","","",""
"0.0600","182","-36.0","21.4","0.0070","","","","","",""
"0.1100","185","-36.2","21.4","0.0165","","","","","",""
"0.2350","215","-26.6","21.4","0.0040","490.99","2.69","","","","NaN"
"0.2885","245","-18.2","21.4","0.0020","282.07","2.45","","","","NaN"
"0.3140","276","-11.9","21.4","0.0010","92.13","1.96","","","","NaN"
"0.3345","306","-6.6","21.4","0.0005","76.83","1.89","","","","NaN"
"0.3640","322","-3.7","21.4","0.0020","74.50","1.87","","","","NaN"
"0.4380","347","0.1","21.4","0.0030","64.17","1.81","","","","NaN"
"0.6230","361","3.3","21.5","0.0135","-5.96","0.77","","","","NaN"
"0.8230","391","11.4","21.5","0.0065","23.86","1.38","","","","NaN"
"1.0175","421","22.7","21.5","0.0065","209.89","2.32","","","","NaN"
"1.1130","451","38.0","21.5","0.0030","390.76","2.59","","","","NaN"
"1.1330","482","51.3","21.5","0.0005","454.83","2.66","","","","NaN"
"1.1530","512","64.5","21.5","0.0005","515.14","2.71","","","","NaN"
"1.1730","542","77.6","21.5","0.0005","562.23","2.75","","","","NaN"
"1.1930","572","90.7","21.5","0.0005","692.26","2.84","","","","NaN"
"1.2130","602","103.4","21.5","0.0005","654.22","2.82","","","","NaN"
"1.2330","632","116.2","21.6","0.0005","655.22","2.82","","","","NaN"
"1.2530","663","129.1","21.6","0.0005","629.66","2.80","","","","NaN"
"1.2730","693","142.3","21.6","0.0005","572.51","2.76","","","","NaN"
"1.2930","723","153.6","21.6","0.0005","484.01","2.68","","","","NaN"
"1.3130","751","163.2","21.6","0.0005","408.16","2.61","","","","NaN"
"1.3330","772","169.8","21.6","0.0010","355.82","2.55","","","","NaN"
"1.3675","793","179.6","21.6","0.0015","279.95","2.45","","","","NaN"
"1.4000","809","186.4","21.6","0.0020","225.43","2.35","","","","NaN"
"1.4530","823","194.9","21.6","0.0040","167.40","2.22","","","","NaN"
"1.5175","835","202.6","21.6","0.0055","","","","","",""
"1.6075","846","210.6","21.6","0.0080","","","","","",""
"1.7295","856","218.5","21.6","0.0120","","","","","",""
"1.8980","865","226.4","21.6","0.0190","","","","","",""
"2.0980","873","233.4","21.6","0.0255","","","","","",""
