"Task","T3380"
"Scope 1/1, Sample 1/4 (BT1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","118.9","22.5","NaN","","","","","",""
"0.0200","28","65.0","22.5","0.0005","","","","","",""
"0.0400","179","-37.5","22.5","0.0000","","","","","",""
"0.0600","182","-37.8","22.5","0.0070","","","","","",""
"0.1100","185","-37.8","22.5","0.0165","","","","","",""
"0.2350","215","-25.4","22.5","0.0040","613.16","2.79","","","","NaN"
"0.2675","245","-15.9","22.5","0.0010","333.70","2.52","","","","NaN"
"0.2875","276","-9.0","22.5","0.0005","115.91","2.06","","","","NaN"
"0.3075","306","-2.8","22.5","0.0005","98.29","1.99","","","","NaN"
"0.3360","336","1.2","22.5","0.0010","90.58","1.96","","","","NaN"
"0.4075","348","3.5","22.5","0.0060","67.19","1.83","","","","NaN"
"0.5865","379","10.6","22.5","0.0060","-36.83","1.57","","","","NaN"
"0.7865","409","21.1","22.5","0.0065","166.20","2.22","","","","NaN"
"0.9035","439","36.3","22.5","0.0040","524.10","2.72","","","","NaN"
"0.9285","469","52.7","22.5","0.0010","639.64","2.81","","","","NaN"
"0.9485","499","70.2","22.5","0.0005","708.12","2.85","","","","NaN"
"0.9685","530","89.3","22.5","0.0005","737.08","2.87","","","","NaN"
"0.9885","560","110.2","22.5","0.0005","965.40","2.98","","","","NaN"
"1.0085","590","131.7","22.5","0.0005","896.66","2.95","","","","NaN"
"1.0285","620","149.8","22.5","0.0005","707.99","2.85","","","","NaN"
"1.0485","650","162.9","22.5","0.0005","559.06","2.75","","","","NaN"
"1.0685","675","171.2","22.5","0.0010","471.07","2.67","","","","NaN"
"1.0985","697","180.3","22.5","0.0015","361.66","2.56","","","","NaN"
"1.1340","714","188.3","22.5","0.0020","264.17","2.42","","","","NaN"
"1.1820","730","196.5","22.5","0.0030","","","","","",""
"1.2445","742","204.2","22.5","0.0050","","","","","",""
"1.3325","754","212.4","22.5","0.0075","","","","","",""
"1.4495","764","220.2","22.5","0.0115","","","","","",""
"1.6150","773","228.3","22.5","0.0175","","","","","",""
"Scope 1/1, Sample 2/4 (BT2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","115.6","22.6","NaN","","","","","",""
"0.0200","28","63.6","22.5","0.0005","","","","","",""
"0.0400","179","-38.1","22.5","0.0000","","","","","",""
"0.0600","182","-38.3","22.5","0.0070","","","","","",""
"0.1100","212","-32.3","22.5","0.0015","","","","","",""
"0.1320","242","-25.3","22.5","0.0005","-297.03","2.47","","","","NaN"
"0.1520","272","-19.6","22.5","0.0005","-89.35","1.95","","","","NaN"
"0.1830","303","-14.4","22.5","0.0010","120.86","2.08","","","","NaN"
"0.2605","333","-8.6","22.5","0.0025","80.65","1.91","","","","NaN"
"0.4545","363","-0.7","22.5","0.0065","-9.51","0.98","","","","NaN"
"0.6545","393","7.9","22.5","0.0065","48.11","1.68","","","","NaN"
"0.8300","423","21.0","22.5","0.0060","311.85","2.49","","","","NaN"
"0.8915","454","36.3","22.6","0.0020","502.16","2.70","","","","NaN"
"0.9115","484","50.9","22.6","0.0005","603.14","2.78","","","","NaN"
"0.9315","514","66.0","22.6","0.0005","680.03","2.83","","","","NaN"
"0.9515","544","82.7","22.6","0.0005","760.35","2.88","","","","NaN"
"0.9715","574","100.8","22.6","0.0005","940.09","2.97","","","","NaN"
"0.9915","604","120.7","22.6","0.0005","902.54","2.96","","","","NaN"
"1.0115","635","139.7","22.6","0.0005","777.32","2.89","","","","NaN"
"1.0315","665","155.1","22.6","0.0005","617.29","2.79","","","","NaN"
"1.0515","695","165.8","22.6","0.0005","502.10","2.70","","","","NaN"
"1.0730","718","173.9","22.6","0.0010","427.48","2.63","","","","NaN"
"1.1030","738","182.1","22.7","0.0015","319.58","2.50","","","","NaN"
"1.1430","754","190.4","22.7","0.0025","231.22","2.36","","","","NaN"
"1.1945","767","198.3","22.7","0.0040","","","","","",""
"1.2635","778","203.5","22.7","0.0065","","","","","",""
"1.4360","789","217.6","22.7","0.0150","","","","","",""
"1.5260","798","222.8","22.7","0.0100","","","","","",""
"1.7245","807","231.3","22.7","0.0220","","","","","",""
"Scope 1/1, Sample 3/4 (BT3)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","116.6","22.7","NaN","","","","","",""
"0.0200","28","65.3","22.7","0.0005","","","","","",""
"0.0400","179","-36.6","22.8","0.0000","","","","","",""
"0.0600","182","-37.1","22.8","0.0055","","","","","",""
"0.1100","186","-37.2","22.8","0.0135","","","","","",""
"0.2350","216","-25.7","22.8","0.0040","576.07","2.76","","","","NaN"
"0.2735","246","-16.7","22.8","0.0015","307.46","2.49","","","","NaN"
"0.2935","276","-10.0","22.8","0.0005","110.15","2.04","","","","NaN"
"0.3135","306","-4.0","22.8","0.0005","92.91","1.97","","","","NaN"
"0.3440","337","0.3","22.8","0.0010","83.24","1.92","","","","NaN"
"0.4205","356","3.5","22.8","0.0040","54.49","1.74","","","","NaN"
"0.6115","386","10.9","22.8","0.0065","-43.75","1.64","","","","NaN"
"0.8115","416","21.9","22.8","0.0065","224.98","2.35","","","","NaN"
"0.9165","446","38.4","22.8","0.0035","608.88","2.78","","","","NaN"
"0.9365","476","56.0","22.8","0.0005","700.55","2.85","","","","NaN"
"0.9565","507","75.2","22.8","0.0005","752.25","2.88","","","","NaN"
"0.9765","537","97.1","22.8","0.0005","763.63","2.88","","","","NaN"
"0.9965","567","120.9","22.8","0.0005","1031.96","3.01","","","","NaN"
"1.0165","597","143.1","22.8","0.0005","821.88","2.91","","","","NaN"
"1.0365","628","158.7","22.8","0.0005","636.39","2.80","","","","NaN"
