"Task","T3429"
"Scope 1/1, Sample 1/2 (20250703_JUNK1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","117.8","19.5","NaN","","","","","",""
"0.0200","26","53.0","19.5","0.0010","","","","","",""
"0.0400","168","-60.1","19.5","0.0000","","","","","",""
"0.0600","171","-60.3","19.5","0.0070","","","","","",""
"0.1100","201","-55.8","19.5","0.0015","","","","","",""
"0.1480","231","-48.6","19.5","0.0015","532.33","2.73","","","","NaN"
"0.1685","262","-41.3","19.5","0.0005","145.03","2.16","","","","NaN"
"0.1885","292","-34.3","19.5","0.0005","161.37","2.21","","","","NaN"
"0.2125","322","-27.8","19.5","0.0010","159.78","2.20","","","","NaN"
"0.2495","352","-21.6","19.5","0.0010","155.04","2.19","","","","NaN"
"0.3290","382","-15.5","19.5","0.0025","57.13","1.76","","","","NaN"
"0.5280","412","-5.4","19.5","0.0065","-78.79","1.90","","","","NaN"
"0.7280","443","6.7","19.5","0.0065","334.08","2.52","","","","NaN"
"0.8365","473","27.9","19.5","0.0035","884.47","2.95","","","","NaN"
"0.8565","503","52.6","19.5","0.0005","938.17","2.97","","","","NaN"
"0.8765","533","87.5","19.5","0.0005","777.75","2.89","","","","NaN"
"0.8965","563","129.5","19.5","0.0005","882.72","2.95","","","","NaN"
"0.9165","594","159.5","19.5","0.0005","996.24","3.00","","","","NaN"
"0.9365","624","174.8","19.5","0.0005","813.02","2.91","","","","NaN"
"0.9570","642","181.4","19.5","0.0010","686.55","2.84","","","","NaN"
"1.0080","659","192.7","19.5","0.0030","380.15","2.58","","","","NaN"
"1.0605","673","200.9","19.4","0.0040","","","","","",""
"1.1330","684","208.9","19.5","0.0065","","","","","",""
"1.2355","694","217.2","19.5","0.0100","","","","","",""
"1.3710","703","225.1","19.4","0.0145","","","","","",""
"1.5600","712","233.2","19.4","0.0205","","","","","",""
"Scope 1/1, Sample 2/2 (20250703_CRM1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","121.0","19.4","NaN","","","","","",""
"0.0200","28","71.3","19.4","0.0005","","","","","",""
"0.0400","179","-33.8","19.4","0.0000","","","","","",""
"0.0600","188","-35.3","19.4","0.0020","","","","","",""
"0.1100","192","-35.6","19.4","0.0140","","","","","",""
"0.2350","222","-27.2","19.4","0.0040","235.47","2.37","","","","NaN"
"0.3055","252","-19.1","19.4","0.0025","130.87","2.12","","","","NaN"
"0.3465","282","-12.8","19.4","0.0015","68.97","1.84","","","","NaN"
"0.3845","312","-7.4","19.4","0.0010","57.40","1.76","","","","NaN"
"0.4455","343","-1.9","19.4","0.0020","45.09","1.65","","","","NaN"
"0.5905","364","1.2","19.4","0.0070","6.52","0.81","","","","NaN"
"0.7905","372","3.3","19.5","0.0265","-8.86","0.95","","","","NaN"
"0.9905","402","12.8","19.5","0.0065","119.47","2.08","","","","NaN"
"1.1330","432","26.7","19.5","0.0050","372.06","2.57","","","","NaN"
"1.1730","462","40.6","19.5","0.0015","519.30","2.72","","","","NaN"
"1.1930","492","55.2","19.5","0.0005","631.87","2.80","","","","NaN"
"1.2130","523","70.7","19.5","0.0005","692.88","2.84","","","","NaN"
"1.2330","553","88.0","19.5","0.0005","829.04","2.92","","","","NaN"
"1.2530","583","107.4","19.5","0.0005","960.81","2.98","","","","NaN"
"1.2730","613","127.6","19.6","0.0005","872.48","2.94","","","","NaN"
"1.2930","643","146.1","19.6","0.0005","711.79","2.85","","","","NaN"
"1.3130","674","160.2","19.6","0.0005","563.96","2.75","","","","NaN"
"1.3330","699","168.8","19.6","0.0010","474.16","2.68","","","","NaN"
"1.3630","721","178.3","19.6","0.0015","368.55","2.57","","","","NaN"
"1.3975","738","186.2","19.6","0.0020","273.76","2.44","","","","NaN"
"1.4450","752","194.4","19.6","0.0035","192.69","2.28","","","","NaN"
"1.5080","766","202.6","19.6","0.0045","","","","","",""
"1.5875","777","210.2","19.6","0.0070","","","","","",""
"1.7040","787","218.3","19.6","0.0115","","","","","",""
"1.8605","796","226.3","19.6","0.0170","","","","","",""
"2.0605","805","233.8","19.6","0.0230","","","","","",""
