"Task","T3452"
"Scope 1/1, Sample 1/9 (MT 1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","85.8","19.5","NaN","","","","","",""
"0.0200","28","38.4","19.5","0.0005","","","","","",""
"0.0400","58","4.7","19.5","0.0005","","","","","",""
"0.0600","88","-15.2","19.5","0.0005","","","","","",""
"0.0875","113","-23.9","19.5","0.0010","","","","","",""
"0.1565","116","-24.7","19.5","0.0195","","","","","",""
"0.3290","120","-24.9","19.5","0.0430","","","","","",""
"0.5290","150","-14.7","19.5","0.0065","","","","","",""
"0.7290","180","-5.8","19.5","0.0065","-31.39","1.50","","","","NaN"
"0.9290","192","-1.6","19.5","0.0160","29.67","1.47","","","","NaN"
"1.1290","206","3.2","19.5","0.0140","177.86","2.25","","","","NaN"
"1.3290","236","21.9","19.5","0.0065","377.90","2.58","","","","NaN"
"1.4745","267","110.6","19.5","0.0045","427.47","2.63","","","","NaN"
"1.4945","403","180.5","19.5","0.0000","406.03","2.61","","","","NaN"
"1.5145","419","185.7","19.5","0.0015","479.95","2.68","","","","NaN"
"1.5645","435","195.3","19.5","0.0030","337.29","2.53","","","","NaN"
"1.6215","448","203.1","19.5","0.0045","277.40","2.44","","","","NaN"
"1.7020","460","211.4","19.5","0.0065","162.84","2.21","","","","NaN"
"1.8055","471","219.2","19.5","0.0095","78.15","1.89","","","","NaN"
"1.9520","481","227.2","19.5","0.0145","54.38","1.74","","","","NaN"
"2.1520","490","235.1","19.5","0.0220","36.37","1.56","","","","NaN"
"2.3520","499","241.1","19.5","0.0235","26.93","1.43","","","","NaN"
"2.5520","506","245.9","19.5","0.0280","21.56","1.33","","","","NaN"
"2.7520","513","250.0","19.5","0.0270","17.69","1.25","","","","NaN"
"2.9520","520","253.4","19.5","0.0275","","","","","",""
"3.1520","527","256.4","19.5","0.0270","","","","","",""
"3.3520","534","259.0","19.5","0.0300","","","","","",""
"3.5520","540","261.4","19.5","0.0315","","","","","",""
"3.5600","544","261.5","19.5","0.0020","","","","","",""
"Scope 1/1, Sample 2/9 (MT 2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","121.2","19.4","NaN","","","","","",""
"0.0200","27","66.3","19.4","0.0005","","","","","",""
"0.0400","178","-43.2","19.4","0.0000","","","","","",""
"0.0600","190","-44.4","19.4","0.0015","","","","","",""
"0.1100","194","-44.5","19.4","0.0140","","","","","",""
"0.2350","224","-34.3","19.4","0.0040","550.60","2.74","","","","NaN"
"0.2830","254","-24.6","19.4","0.0015","275.69","2.44","","","","NaN"
"0.3030","284","-17.8","19.4","0.0005","106.51","2.03","","","","NaN"
"0.3230","314","-12.3","19.4","0.0005","93.03","1.97","","","","NaN"
"0.3600","345","-7.6","19.4","0.0010","94.38","1.97","","","","NaN"
