"Task","T3468"
"Scope 1/1, Sample 1/5 (JUNK 2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","107.0","19.6","NaN","","","","","",""
"0.0200","28","0.9","19.7","0.0005","","","","","",""
"0.0400","152","-102.3","19.6","0.0000","","","","","",""
"0.0600","155","-102.1","19.6","0.0070","","","","","",""
"0.1100","185","-95.8","19.6","0.0015","","","","","",""
"0.1300","200","-93.6","19.6","0.0015","-44.29","1.65","","","","NaN"
"0.1800","231","-87.2","19.6","0.0015","216.59","2.34","","","","NaN"
"0.2335","261","-80.1","19.6","0.0020","133.98","2.13","","","","NaN"
"0.2920","291","-71.6","19.6","0.0020","185.07","2.27","","","","NaN"
"0.3420","321","-62.2","19.6","0.0015","243.67","2.39","","","","NaN"
"0.3745","351","-53.0","19.6","0.0010","266.36","2.43","","","","NaN"
"0.3945","381","-44.2","19.6","0.0005","223.49","2.35","","","","NaN"
"0.4145","411","-36.5","19.6","0.0005","147.98","2.17","","","","NaN"
"0.4385","442","-29.8","19.6","0.0010","146.46","2.17","","","","NaN"
"0.4790","472","-23.9","19.6","0.0015","109.87","2.04","","","","NaN"
"0.5800","502","-17.5","19.6","0.0035","-49.11","1.69","","","","NaN"
"0.7800","532","-9.0","19.5","0.0065","304.48","2.48","","","","NaN"
"0.9800","562","77.0","19.5","0.0065","560.72","2.75","","","","NaN"
"1.0000","593","154.0","19.5","0.0005","559.28","2.75","","","","NaN"
"1.0200","623","184.3","19.5","0.0005","553.84","2.74","","","","NaN"
"1.0400","640","190.8","19.5","0.0010","416.65","2.62","","","","NaN"
"1.0900","654","199.2","19.5","0.0035","","","","","",""
"1.1835","666","209.7","19.5","0.0075","","","","","",""
"1.2890","677","218.1","19.5","0.0100","","","","","",""
"1.4325","686","226.2","19.5","0.0160","","","","","",""
"1.6315","695","234.4","19.5","0.0220","","","","","",""
"Scope 1/1, Sample 2/5 (BT1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","122.1","21.2","NaN","","","","","",""
"0.0200","28","68.6","21.3","0.0005","","","","","",""
"0.0400","179","-42.1","21.1","0.0000","","","","","",""
"0.0600","184","-43.0","21.1","0.0040","","","","","",""
"0.1100","188","-43.2","21.1","0.0140","","","","","",""
"0.2350","218","-32.8","21.0","0.0040","538.07","2.73","","","","NaN"
"0.2810","248","-23.3","21.0","0.0015","244.62","2.39","","","","NaN"
"0.3010","278","-16.4","21.0","0.0005","100.05","2.00","","","","NaN"
"0.3210","308","-11.2","20.9","0.0005","89.33","1.95","","","","NaN"
"0.3630","339","-6.4","20.9","0.0015","85.27","1.93","","","","NaN"
"0.4680","369","-1.2","20.9","0.0035","54.58","1.74","","","","NaN"
"0.6680","390","3.1","20.8","0.0095","-25.86","1.41","","","","NaN"
"0.8680","420","11.1","20.8","0.0065","26.89","1.43","","","","NaN"
"1.0680","451","23.2","20.8","0.0065","347.20","2.54","","","","NaN"
"1.1555","481","41.0","20.7","0.0030","655.16","2.82","","","","NaN"
"1.1755","511","61.0","20.7","0.0005","770.16","2.89","","","","NaN"
"1.1955","541","84.1","20.7","0.0005","805.20","2.91","","","","NaN"
"1.2155","571","111.4","20.6","0.0005","823.18","2.92","","","","NaN"
"1.2355","602","138.5","20.6","0.0005","1042.67","3.02","","","","NaN"
"1.2555","632","160.0","20.6","0.0005","741.13","2.87","","","","NaN"
"1.2755","662","172.2","20.6","0.0005","626.31","2.80","","","","NaN"
"1.2985","682","179.4","20.5","0.0010","514.93","2.71","","","","NaN"
"1.3485","701","190.7","20.5","0.0025","309.58","2.49","","","","NaN"
"1.3975","715","198.5","20.5","0.0035","","","","","",""
"1.4695","728","207.1","20.5","0.0055","","","","","",""
"1.5585","740","214.7","20.5","0.0075","","","","","",""
"1.6870","750","222.9","20.5","0.0130","","","","","",""
"1.8605","759","230.8","20.5","0.0200","","","","","",""
"Scope 1/1, Sample 3/5 (BT2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","120.9","20.5","NaN","","","","","",""
"0.0200","28","67.7","20.6","0.0005","","","","","",""
"0.0400","179","-42.1","20.4","0.0000","","","","","",""
"0.0600","182","-42.5","20.4","0.0065","","","","","",""
"0.1100","186","-42.9","20.4","0.0135","","","","","",""
"0.2350","216","-33.1","20.4","0.0040","515.85","2.71","","","","NaN"
"0.2875","246","-23.9","20.4","0.0015","250.32","2.40","","","","NaN"
"0.3075","276","-17.2","20.4","0.0005","97.55","1.99","","","","NaN"
"0.3275","306","-11.9","20.3","0.0005","85.57","1.93","","","","NaN"
"0.3670","337","-7.1","20.3","0.0015","81.93","1.91","","","","NaN"
"0.4655","354","-3.8","20.3","0.0060","57.41","1.76","","","","NaN"
"0.6655","384","2.9","20.3","0.0065","-22.65","1.36","","","","NaN"
"0.8655","414","10.3","20.3","0.0065","24.98","1.40","","","","NaN"
"1.0655","444","22.3","20.2","0.0065","340.47","2.53","","","","NaN"
"1.1545","474","39.8","20.2","0.0030","653.71","2.82","","","","NaN"
"1.1745","505","59.5","20.2","0.0005","770.06","2.89","","","","NaN"
"1.1945","535","82.6","20.2","0.0005","809.52","2.91","","","","NaN"
"1.2145","565","109.8","20.2","0.0005","821.11","2.91","","","","NaN"
"1.2345","595","137.2","20.1","0.0005","1048.57","3.02","","","","NaN"
"1.2545","625","159.0","20.1","0.0005","748.24","2.87","","","","NaN"
"1.2745","656","171.4","20.1","0.0005","629.30","2.80","","","","NaN"
"1.2970","677","178.7","20.1","0.0010","520.66","2.72","","","","NaN"
"1.3445","695","189.3","20.1","0.0025","318.77","2.50","","","","NaN"
"1.3960","710","197.7","20.1","0.0035","","","","","",""
"1.4635","723","205.8","20.1","0.0050","","","","","",""
"1.5540","735","213.7","20.1","0.0080","","","","","",""
"1.6805","744","221.8","20.1","0.0135","","","","","",""
"1.8510","753","229.7","20.0","0.0180","","","","","",""
"Scope 1/1, Sample 4/5 (BT3)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","120.7","20.1","NaN","","","","","",""
"0.0200","27","68.1","20.2","0.0005","","","","","",""
"0.0400","178","-41.7","20.1","0.0000","","","","","",""
"0.0600","185","-42.7","20.1","0.0030","","","","","",""
"0.1100","188","-43.0","20.1","0.0150","","","","","",""
"0.2350","218","-33.0","20.0","0.0040","528.42","2.72","","","","NaN"
"0.2845","249","-23.8","20.0","0.0015","259.78","2.41","","","","NaN"
"0.3045","279","-17.0","20.0","0.0005","101.29","2.01","","","","NaN"
"0.3245","309","-11.8","20.0","0.0005","87.93","1.94","","","","NaN"
"0.3635","339","-7.0","20.0","0.0015","84.14","1.92","","","","NaN"
"0.4610","369","-1.8","19.9","0.0030","58.51","1.77","","","","NaN"
"0.6610","396","3.2","19.9","0.0075","-30.75","1.49","","","","NaN"
"0.8610","426","10.5","19.9","0.0065","24.64","1.39","","","","NaN"
"1.0610","457","23.2","19.9","0.0065","380.08","2.58","","","","NaN"
"1.1410","487","41.2","19.9","0.0025","683.87","2.83","","","","NaN"
"1.1610","517","61.7","19.9","0.0005","787.92","2.90","","","","NaN"
"1.1810","547","86.0","19.9","0.0005","783.39","2.89","","","","NaN"
"1.2010","578","114.6","19.8","0.0005","850.66","2.93","","","","NaN"
"1.2210","608","142.0","19.8","0.0005","1006.09","3.00","","","","NaN"
"1.2410","638","162.3","19.8","0.0005","728.37","2.86","","","","NaN"
"1.2610","665","172.8","19.8","0.0005","625.03","2.80","","","","NaN"
"1.2905","685","181.5","19.8","0.0015","471.61","2.67","","","","NaN"
"1.3390","704","191.7","19.8","0.0025","289.05","2.46","","","","NaN"
"1.3925","717","199.6","19.8","0.0040","","","","","",""
"1.4695","729","208.0","19.8","0.0065","","","","","",""
"1.5690","740","216.0","19.8","0.0085","","","","","",""
"1.7015","750","223.7","19.8","0.0135","","","","","",""
"1.8975","759","232.0","19.7","0.0230","","","","","",""
"Scope 1/1, Sample 5/5 (BT4)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","121.4","19.7","NaN","","","","","",""
"0.0200","28","69.6","19.7","0.0005","","","","","",""
"0.0400","179","-39.5","19.7","0.0000","","","","","",""
"0.0600","189","-41.1","19.7","0.0020","","","","","",""
"0.1100","193","-41.5","19.7","0.0135","","","","","",""
"0.2350","223","-32.2","19.7","0.0040","511.00","2.71","","","","NaN"
"0.2935","253","-23.5","19.6","0.0020","312.60","2.49","","","","NaN"
