"Task","T3519"
"Scope 1/1, Sample 1/3 (JUNK 1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","24.6","19.7","NaN","","","","","",""
"0.0200","26","-64.6","19.7","0.0010","","","","","",""
"0.0400","56","-92.8","19.7","0.0005","","","","","",""
"0.0760","64","-95.3","19.7","0.0045","","","","","",""
"0.1660","67","-95.8","19.7","0.0300","","","","","",""
"0.3660","97","-77.6","19.7","0.0065","","","","","",""
"0.5190","127","-56.7","19.7","0.0050","","","","","",""
"0.5975","158","-42.3","19.7","0.0025","59.43","1.77","","","","NaN"
"0.6625","188","-31.8","19.7","0.0020","75.24","1.88","","","","NaN"
"0.7745","218","-22.6","19.6","0.0035","172.43","2.24","","","","NaN"
"0.9745","248","-5.4","19.6","0.0065","423.56","2.63","","","","NaN"
"1.1540","278","133.2","19.6","0.0060","492.41","2.69","","","","NaN"
"1.1740","411","192.4","19.6","0.0000","542.37","2.73","","","","NaN"
"1.1940","423","195.5","19.6","0.0015","445.67","2.65","","","","NaN"
"1.2440","435","201.9","19.6","0.0040","302.03","2.48","","","","NaN"
"1.3175","448","209.4","19.6","0.0055","254.69","2.41","","","","NaN"
"1.4185","459","216.7","19.6","0.0095","113.37","2.05","","","","NaN"
"1.5725","468","225.1","19.6","0.0165","52.18","1.72","","","","NaN"
"1.7665","477","232.6","19.6","0.0215","36.22","1.56","","","","NaN"
"1.9665","485","238.7","19.6","0.0240","26.87","1.43","","","","NaN"
"2.1665","493","243.4","19.6","0.0250","21.48","1.33","","","","NaN"
"2.3665","500","247.4","19.6","0.0290","18.00","1.26","","","","NaN"
"2.5665","507","250.9","19.6","0.0270","15.68","1.20","","","","NaN"
"2.7665","514","253.8","19.6","0.0280","","","","","",""
"2.9665","521","256.5","19.6","0.0280","","","","","",""
"3.1665","528","258.9","19.6","0.0305","","","","","",""
"3.3665","534","261.0","19.6","0.0325","","","","","",""
"3.5600","540","262.9","19.6","0.0320","","","","","",""
"Scope 1/1, Sample 2/3 (CRM 1)"
