"Task","T3518"
"Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)"
"Result","Measurenormal1"
"t","E","T"
"1","166.5","20.0"
"2","166.5","20.0"
"3","166.5","20.0"
"4","166.6","20.0"
"5","166.6","20.0"
"6","166.6","20.0"
"7","166.7","20.0"
"8","166.7","20.0"
"9","166.7","20.0"
"10","166.7","20.0"
"11","166.7","20.0"
"12","166.8","20.0"
"13","166.8","20.0"
"14","166.8","20.0"
"15","166.8","20.0"
"16","166.8","20.0"
"Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)"
"Result","Measurenormal1"
"t","E","T"
"1","-4.2","19.9"
"2","-4.2","19.9"
"3","-4.2","19.9"
"4","-4.3","19.9"
"5","-4.2","19.9"
"6","-4.3","19.9"
"7","-4.3","19.9"
"8","-4.3","19.9"
"9","-4.3","19.9"
"10","-4.2","19.9"
"11","-4.2","19.9"
"12","-4.2","19.9"
"13","-4.3","19.9"
"14","-4.2","19.9"
"15","-4.2","19.9"
"16","-4.2","19.9"
"Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)"
"Result","Measurenormal1"
"t","E","T"
"1","-178.0","19.9"
"2","-178.0","19.9"
"3","-178.0","19.9"
"4","-178.0","19.9"
"5","-178.0","19.9"
"6","-178.1","19.9"
"7","-178.1","19.9"
"8","-178.0","19.9"
"9","-178.0","19.9"
"10","-178.0","19.9"
"11","-178.0","19.9"
"12","-178.1","19.9"
"13","-178.0","19.9"
"14","-178.1","19.9"
"15","-178.1","19.9"
