"Task","T3562"
"Scope 1/1, Sample 1/3 (JUNK 3)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","120.2","19.9","NaN","","","","","",""
"0.0200","28","56.8","20.0","0.0005","","","","","",""
"0.0400","179","-52.6","20.0","0.0000","","","","","",""
"0.0600","182","-52.7","20.0","0.0070","","","","","",""
"0.1100","185","-52.7","20.0","0.0155","","","","","",""
"0.2350","215","-41.2","19.9","0.0040","627.91","2.80","","","","NaN"
"0.2730","246","-30.2","19.9","0.0010","296.81","2.47","","","","NaN"
"0.2930","276","-22.6","19.9","0.0005","111.71","2.05","","","","NaN"
"0.3130","306","-16.8","19.9","0.0005","99.13","2.00","","","","NaN"
"0.3490","336","-11.8","19.9","0.0010","102.24","2.01","","","","NaN"
"0.4390","367","-6.5","19.9","0.0030","80.11","1.90","","","","NaN"
"0.6390","370","-5.7","19.9","0.0625","17.08","1.23","","","","NaN"
"0.8390","400","1.5","19.9","0.0065","7.66","0.88","","","","NaN"
"1.0390","431","9.7","19.9","0.0065","53.96","1.73","","","","NaN"
"1.2260","461","19.9","19.9","0.0065","182.89","2.26","","","","NaN"
"1.3380","491","32.9","19.9","0.0035","352.75","2.55","","","","NaN"
"1.3705","521","46.7","19.9","0.0010","495.52","2.70","","","","NaN"
"1.3905","552","60.9","19.9","0.0005","593.47","2.77","","","","NaN"
"1.4105","582","76.2","19.9","0.0005","649.04","2.81","","","","NaN"
"1.4305","612","93.3","19.9","0.0005","805.44","2.91","","","","NaN"
"1.4505","642","109.7","19.9","0.0005","871.36","2.94","","","","NaN"
"1.4705","672","125.8","19.9","0.0005","830.58","2.92","","","","NaN"
"1.4905","703","143.1","19.9","0.0005","724.16","2.86","","","","NaN"
"1.5105","733","158.9","19.9","0.0005","582.97","2.77","","","","NaN"
"1.5305","763","170.2","19.9","0.0005","478.91","2.68","","","","NaN"
"1.5505","788","177.5","19.9","0.0010","416.65","2.62","","","","NaN"
"1.5840","809","186.2","19.9","0.0015","316.09","2.50","","","","NaN"
