Task,T3560,,,,,,,,,
"Scope 1/1, Sample 1/3 (JUNK 1)",,,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.06,86,-35.9,19.8,0.0005,,,,,,
0,0,80.7,19.8,NaN,,,,,,
0.02,26,19.2,19.8,0.001,,,,,,
0.04,56,-18.9,19.8,0.0005,,,,,,
0.102,91,-37.4,19.8,0.008,,,,,,
0.207,94,-37.9,19.8,0.03,,,,,,
0.407,125,-24.9,19.8,0.0065,,,,,,
0.607,155,-14.3,19.8,0.0065,,,,,,
0.807,185,-4.5,19.8,0.0065,,,,,,
1.007,200,0,19.8,0.0135,64.19,1.81,,,,NaN
1.207,208,3.4,19.8,0.0255,253.04,2.4,,,,NaN
1.407,238,33.7,19.8,0.0065,613.51,2.79,,,,NaN
1.4625,268,92.1,19.8,0.002,586.45,2.77,,,,NaN
1.4825,298,146.9,19.8,0.0005,483.32,2.68,,,,NaN
1.5025,447,183.1,19.8,0,610.31,2.79,,,,NaN
1.5225,464,188,19.8,0.001,479.44,2.68,,,,NaN
1.5725,481,197.1,19.8,0.003,497.46,2.7,,,,NaN
1.631,496,204.8,19.8,0.004,271.7,2.43,,,,NaN
1.7155,508,212.9,19.8,0.007,126.29,2.1,,,,NaN
1.83,519,220.8,19.8,0.0105,71.9,1.86,,,,NaN
1.9915,529,229,19.8,0.0155,48.88,1.69,,,,NaN
2.1915,538,236.3,19.8,0.0215,33.42,1.52,,,,NaN
2.3915,546,241.9,19.8,0.024,25.21,1.4,,,,NaN
2.5915,554,246.5,19.8,0.0245,20.37,1.31,,,,NaN
2.7915,561,250.3,19.8,0.028,,,,,,
2.9915,568,253.7,19.8,0.028,,,,,,
3.1915,575,256.6,19.8,0.0295,,,,,,
3.3915,582,259.2,19.8,0.029,,,,,,
3.56,588,261.1,19.8,0.0265,,,,,,
"Scope 1/1, Sample 2/3 (CRM 1)",,,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,122.7,19.4,NaN,,,,,,
0.02,28,72.5,19.5,0.0005,,,,,,
0.04,179,-22.2,19.5,0,,,,,,
0.06,199,-24.4,19.5,0.001,,,,,,
0.11,203,-24.5,19.5,0.0135,,,,,,
0.235,233,-18.1,19.5,0.004,,-125.42,2.1,,,NaN
0.3545,263,-11.3,19.5,0.004,,24,1.38,,,NaN
0.482,293,-4.4,19.5,0.004,,23.67,1.37,,,NaN
0.639,324,1.7,19.5,0.005,,7.64,0.88,,,NaN
0.839,354,9.2,19.5,0.0065,,47.98,1.68,,,NaN
1.039,384,21.8,19.5,0.0065,,212.25,2.33,,,NaN
1.1205,396,26.6,19.5,0.007,,342.28,2.53,,,NaN
1.266,426,64.2,19.5,0.005,,665.28,2.82,,,NaN
1.286,456,108.8,19.5,0.0005,,516.78,2.71,,,NaN
1.292764,472,122.1,19.5,0.0005,,613.86,2.71,,,NaN
1.306,487,148.1,19.5,0.0005,,555.8,2.74,,,NaN
1.326,517,170,19.5,0.0005,,602.75,2.78,,,NaN
1.346,547,179,19.5,0.0005,,443.48,2.65,,,NaN
1.389,567,188.5,19.5,0.002,,485.71,2.69,,,NaN
1.4625,580,199.3,19.5,0.0055,,230.4,2.36,,,NaN
1.5455,595,208.2,19.5,0.0055,,,,,,
1.647,606,215.8,19.5,0.009,,,,,,
1.799,617,224.1,19.5,0.0145,,,,,,
1.999,626,230.5,19.5,0.0225,,,,,,
2.199,635,236.4,19.5,0.0225,,,,,,
"Scope 1/1, Sample 3/3 (CRM 2)",,,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
1.0355,364,15.3,19.2,0.0065,247.97,2.39,,,,
0,0,121.1,19.2,NaN,,,,,,
0.02,28,72.8,19.2,0.0005,,,,,,
0.04,179,-22.8,19.2,0,,,,,,
0.06,201,-25.3,19.2,0.001,,,,,,
0.11,204,-25.5,19.2,0.017,,,,,,
0.235,234,-19,19.2,0.004,-123.99,2.09,,,,NaN
0.3545,264,-11.9,19.2,0.004,13.77,1.14,,,,NaN
0.4735,295,-5.5,19.2,0.004,22.6,1.35,,,,NaN
0.6355,325,1.1,19.2,0.0055,15.39,1.19,,,,NaN
0.8355,334,3.5,19.2,0.0235,58.84,1.77,,,,NaN
1.1275,394,29.6,19.2,0.003,502.68,2.7,,,,NaN
1.1475,424,44.8,19.2,0.0005,640.6,2.81,,,,NaN
1.1675,455,61.1,19.2,0.0005,740.63,2.87,,,,NaN
1.1875,485,79.2,19.2,0.0005,786.71,2.9,,,,NaN
1.201343,500,93.5,19.2,0.0005,1043.74,2.9,,,,NaN
1.2075,515,99.9,19.2,0.0005,1038.42,3.02,,,,NaN
1.2275,545,122.6,19.2,0.0005,981.63,2.99,,,,NaN
1.2475,575,145,19.2,0.0005,795.67,2.9,,,,NaN
1.2675,606,161.6,19.2,0.0005,624.9,2.8,,,,NaN
1.2875,636,171.6,19.2,0.0005,534.15,2.73,,,,NaN
1.3145,658,179.6,19.2,0.001,422.74,2.63,,,,NaN
1.36,678,189.2,19.2,0.0025,275,2.44,,,,NaN
1.412,694,197.2,19.2,0.003,,,,,,
