"Task","T3672"
"Scope 1/1, Sample 1/3 (JUNK 2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","130.7","23.5","NaN","","","","","",""
"0.0200","26","75.9","23.6","0.0010","","","","","",""
"0.0400","177","-41.0","23.5","0.0000","","","","","",""
"0.0600","195","-42.9","23.5","0.0010","","","","","",""
"0.1100","198","-43.1","23.5","0.0160","","","","","",""
"0.2350","228","-33.7","23.4","0.0040","539.20","2.73","","","","NaN"
"0.2910","258","-24.7","23.4","0.0020","305.31","2.48","","","","NaN"
"0.3145","289","-17.9","23.4","0.0010","109.16","2.04","","","","NaN"
"0.3345","319","-12.6","23.4","0.0005","85.53","1.93","","","","NaN"
"0.3665","349","-7.8","23.4","0.0010","84.21","1.93","","","","NaN"
"0.4465","380","-2.7","23.3","0.0025","74.86","1.87","","","","NaN"
"0.6465","410","2.7","23.3","0.0065","-12.68","1.10","","","","NaN"
"0.8465","416","3.6","23.3","0.0345","-10.86","1.04","","","","NaN"
"1.0465","446","13.2","23.3","0.0065","146.38","2.17","","","","NaN"
"1.1850","476","26.9","23.3","0.0045","425.40","2.63","","","","NaN"
"1.2240","507","42.8","23.3","0.0015","596.26","2.78","","","","NaN"
"1.2440","537","59.8","23.3","0.0005","723.87","2.86","","","","NaN"
"1.2640","567","78.5","23.2","0.0005","770.36","2.89","","","","NaN"
"1.2840","597","99.7","23.2","0.0005","945.49","2.98","","","","NaN"
"1.3040","627","122.7","23.2","0.0005","1034.97","3.01","","","","NaN"
"1.3240","658","144.7","23.2","0.0005","826.01","2.92","","","","NaN"
"1.3440","688","161.7","23.2","0.0005","643.55","2.81","","","","NaN"
"1.3640","718","172.5","23.2","0.0005","539.90","2.73","","","","NaN"
"1.3870","744","180.2","23.2","0.0010","445.92","2.65","","","","NaN"
"1.4265","765","189.0","23.1","0.0020","301.47","2.48","","","","NaN"
"1.4795","784","197.8","23.1","0.0030","","","","","",""
"1.5440","797","205.5","23.1","0.0050","","","","","",""
"1.6385","809","213.6","23.1","0.0080","","","","","",""
"1.7655","819","221.8","23.1","0.0125","","","","","",""
"1.9325","829","229.6","23.1","0.0170","","","","","",""
"Scope 1/1, Sample 2/3 (CRM 3)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","125.1","21.9","NaN","","","","","",""
"0.0200","28","79.0","21.9","0.0005","","","","","",""
"0.0400","179","-18.1","21.9","0.0000","","","","","",""
"0.0600","209","-23.2","21.9","0.0005","","","","","",""
"0.1100","213","-23.5","21.9","0.0130","","","","","",""
"0.2350","243","-18.4","22.0","0.0040","-169.70","2.23","","","","NaN"
"0.4255","273","-11.8","22.0","0.0065","20.98","1.32","","","","NaN"
"0.6255","304","-4.5","22.0","0.0065","16.56","1.22","","","","NaN"
"0.8255","334","3.1","22.0","0.0065","59.09","1.77","","","","NaN"
"1.0255","364","12.8","22.0","0.0065","234.93","2.37","","","","NaN"
"1.1625","394","30.2","22.0","0.0045","553.90","2.74","","","","NaN"
"1.1865","424","50.0","22.0","0.0010","735.93","2.87","","","","NaN"
"1.2065","455","72.6","22.0","0.0005","823.06","2.92","","","","NaN"
