"Task","T3673"
"Scope 1/1, Sample 1/5 (JUNK3)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","133.1","21.8","NaN","","","","","",""
"0.0200","28","77.0","21.8","0.0005","","","","","",""
"0.0400","179","-41.4","21.8","0.0000","","","","","",""
"0.0600","205","-44.2","21.8","0.0010","","","","","",""
"0.1100","208","-44.5","21.8","0.0165","","","","","",""
"0.2350","238","-36.2","21.8","0.0040","439.29","2.64","","","","NaN"
"0.3075","268","-27.1","21.8","0.0025","274.99","2.44","","","","NaN"
"0.3415","299","-20.3","21.8","0.0010","101.49","2.01","","","","NaN"
"0.3660","329","-14.7","21.8","0.0010","78.40","1.89","","","","NaN"
"0.3980","359","-10.0","21.8","0.0010","75.31","1.88","","","","NaN"
"0.4780","389","-5.1","21.8","0.0025","66.17","1.82","","","","NaN"
"0.6780","420","0.2","21.9","0.0065","-0.03","-1.49","","","","NaN"
"0.8780","433","3.6","21.9","0.0150","0.56","-0.25","","","","NaN"
"1.0780","464","13.4","21.9","0.0065","123.51","2.09","","","","NaN"
"1.2100","494","24.8","21.9","0.0045","316.86","2.50","","","","NaN"
"1.2630","524","38.9","21.9","0.0020","468.08","2.67","","","","NaN"
"1.2830","554","53.7","21.9","0.0005","583.45","2.77","","","","NaN"
"1.3030","585","70.0","21.9","0.0005","655.83","2.82","","","","NaN"
"1.3230","615","84.8","21.9","0.0005","766.81","2.88","","","","NaN"
"1.3430","645","101.0","21.9","0.0005","909.38","2.96","","","","NaN"
"1.3630","675","119.6","21.9","0.0005","889.84","2.95","","","","NaN"
"1.3830","706","139.0","21.9","0.0005","786.18","2.90","","","","NaN"
"1.4030","736","156.1","21.9","0.0005","626.69","2.80","","","","NaN"
"1.4230","766","167.7","21.9","0.0005","509.34","2.71","","","","NaN"
"1.4430","792","175.5","21.9","0.0010","442.59","2.65","","","","NaN"
"1.4745","815","183.8","21.9","0.0015","334.65","2.52","","","","NaN"
"1.5185","834","192.1","21.9","0.0025","228.12","2.36","","","","NaN"
"1.5785","850","200.5","21.9","0.0040","","","","","",""
"1.6545","862","208.3","21.9","0.0060","","","","","",""
"1.7620","874","216.3","21.9","0.0090","","","","","",""
"1.9080","884","224.3","21.9","0.0145","","","","","",""
"2.1080","894","231.8","21.9","0.0210","","","","","",""
"Scope 1/1, Sample 2/5 (BT 1)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","121.6","21.8","NaN","","","","","",""
"0.0200","28","66.1","21.8","0.0005","","","","","",""
"0.0400","179","-48.3","21.8","0.0000","","","","","",""
"0.0600","192","-49.8","21.8","0.0015","","","","","",""
"0.1100","196","-50.0","21.8","0.0135","","","","","",""
"0.2350","226","-40.1","21.8","0.0040","554.11","2.74","","","","NaN"
"0.2860","256","-30.6","21.8","0.0015","283.97","2.45","","","","NaN"
"0.3060","286","-23.6","21.8","0.0005","108.09","2.03","","","","NaN"
"0.3260","317","-18.1","21.8","0.0005","92.91","1.97","","","","NaN"
"0.3625","347","-13.1","21.8","0.0010","92.30","1.97","","","","NaN"
"0.4535","377","-8.3","21.8","0.0030","76.67","1.88","","","","NaN"
"0.6535","407","-1.8","21.8","0.0065","-1.89","0.28","","","","NaN"
"0.8535","433","3.6","21.8","0.0080","0.48","-0.32","","","","NaN"
"1.0535","463","12.7","21.8","0.0065","147.32","2.17","","","","NaN"
"1.2085","493","27.9","21.8","0.0050","457.75","2.66","","","","NaN"
"1.2460","524","45.0","21.8","0.0010","638.50","2.81","","","","NaN"
"1.2660","554","63.7","21.8","0.0005","764.47","2.88","","","","NaN"
"1.2860","584","84.4","21.8","0.0005","793.22","2.90","","","","NaN"
"1.3060","614","108.4","21.8","0.0005","985.54","2.99","","","","NaN"
"1.3260","644","133.2","21.8","0.0005","978.49","2.99","","","","NaN"
"1.3460","675","154.2","21.8","0.0005","733.80","2.87","","","","NaN"
"1.3660","705","167.2","21.8","0.0005","595.65","2.77","","","","NaN"
"1.3860","732","175.0","21.8","0.0005","514.19","2.71","","","","NaN"
"1.4205","755","183.5","21.8","0.0015","362.46","2.56","","","","NaN"
"1.4715","773","192.8","21.8","0.0030","223.47","2.35","","","","NaN"
"1.5310","788","200.7","21.8","0.0040","","","","","",""
"1.6150","801","208.7","21.8","0.0065","","","","","",""
"1.7310","813","216.0","21.8","0.0100","","","","","",""
"1.9235","823","225.8","21.8","0.0195","","","","","",""
"2.1170","832","232.5","21.8","0.0215","","","","","",""
"Scope 1/1, Sample 3/5 (BT 2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","122.1","21.7","NaN","","","","","",""
"0.0200","28","67.5","21.8","0.0005","","","","","",""
"0.0400","179","-47.5","21.8","0.0000","","","","","",""
"0.0600","197","-49.8","21.8","0.0010","","","","","",""
"0.1100","201","-50.0","21.8","0.0140","","","","","",""
"0.2350","231","-41.5","21.8","0.0040","523.23","2.72","","","","NaN"
"0.3055","261","-32.0","21.8","0.0025","382.81","2.58","","","","NaN"
"0.3350","291","-24.8","21.8","0.0010","137.84","2.14","","","","NaN"
"0.3550","322","-18.8","21.8","0.0005","102.34","2.01","","","","NaN"
"0.3765","352","-14.1","21.8","0.0005","92.11","1.96","","","","NaN"
"0.4275","382","-9.8","21.8","0.0015","101.13","2.00","","","","NaN"
"0.5550","412","-4.3","21.8","0.0040","40.86","1.61","","","","NaN"
"0.7550","442","1.1","21.8","0.0065","-19.42","1.29","","","","NaN"
"0.9550","451","3.6","21.8","0.0215","15.13","1.18","","","","NaN"
"1.1550","482","14.0","21.8","0.0065","230.53","2.36","","","","NaN"
"1.2745","512","30.0","21.8","0.0040","543.93","2.74","","","","NaN"
"1.2975","542","47.3","21.8","0.0010","703.32","2.85","","","","NaN"
"1.3175","572","67.0","21.8","0.0005","800.57","2.90","","","","NaN"
"1.3375","602","89.6","21.8","0.0005","801.51","2.90","","","","NaN"
"1.3575","633","115.5","21.8","0.0005","1091.62","3.04","","","","NaN"
"1.3775","663","140.4","21.8","0.0005","893.34","2.95","","","","NaN"
"1.3975","693","159.3","21.8","0.0005","689.52","2.84","","","","NaN"
"1.4175","723","170.3","21.8","0.0005","586.72","2.77","","","","NaN"
"1.4430","749","178.3","21.8","0.0010","468.15","2.67","","","","NaN"
"1.4875","772","187.9","21.8","0.0020","297.88","2.47","","","","NaN"
"1.5410","788","196.1","21.8","0.0035","","","","","",""
