"Task","T3667"
"Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)"
"Result","Measurenormal1"
"t","E","T"
"1","168.8","22.0"
"2","168.9","22.0"
"3","168.8","22.0"
"4","168.9","22.0"
"5","168.9","22.0"
"6","168.9","22.0"
"7","169.0","22.0"
"8","169.0","22.0"
"9","169.0","22.0"
"10","169.1","22.0"
"11","169.1","22.0"
"12","169.1","22.0"
"13","169.1","22.0"
"14","169.1","22.0"
"15","169.2","22.0"
"16","169.2","22.0"
"Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)"
"Result","Measurenormal1"
"t","E","T"
"1","-3.8","21.9"
"2","-3.8","21.9"
"3","-3.8","21.9"
"4","-3.8","21.9"
"5","-3.7","21.9"
"6","-3.9","21.9"
"7","-3.8","21.9"
"8","-3.6","21.9"
"9","-3.7","21.9"
"10","-3.6","21.9"
"11","-3.7","21.9"
"12","-3.7","21.9"
"13","-3.7","21.9"
"14","-3.8","21.9"
"15","-3.8","21.9"
"16","-3.6","21.9"
"17","-3.8","21.9"
"Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)"
"Result","Measurenormal1"
"t","E","T"
"1","-174.5","22.0"
"2","-174.5","22.0"
"3","-174.5","22.0"
"4","-174.5","22.0"
"5","-174.5","22.0"
"6","-174.5","22.0"
"7","-174.5","22.0"
"8","-174.5","22.0"
"9","-174.5","22.0"
"10","-174.5","22.0"
"11","-174.5","22.0"
"12","-174.5","22.0"
"13","-174.5","22.0"
"14","-174.6","22.0"
"15","-174.5","22.0"
