SampleID,TA,Mass,Salinity
20200126_T1,2028.937514,59.4537,NA
20200126_T2,2016.512226,59.702,NA
JUNK1,1791.445663,59.81,35
CRM 1,2215.554765,59.561,33.417
JUNK1,932.4357056,59.701,35
CRM1,2211.139264,59.861,33.417
CRM2,2213.599263,60.436,33.417
CRM3,2218.811032,60.178,33.417
CRM4,2208.830425,60.307,33.417
CRM5,2203.497378,60.315,33.417
CRM6,2213.354976,60.201,33.417
CRM7,2230.94523,60.413,33.417
CRM8,2222.545765,60.105,33.417
JUNK1,1981.003448,60.113,35
CRM1,2182.69197,60.225,33.417
CRM2,2183.070705,59.774,33.417
CRM3,2179.989317,60.107,33.417
CRM4,2180.118916,60.161,33.417
CRM5,2194.262889,59.659,33.417
CRM6,2194.808799,59.719,33.417
CRM7,2192.134088,59.651,33.417
CRM8,2192.253611,59.892,33.417
CRM1,2205.731211,60.297,33.623
CRM2,2194.005521,60.319,33.623
CRM3,2192.044753,59.881,33.623
CRM4,2196.378938,59.971,33.623
JUNK1,2766.991908,60.137,35
CRM1,2226.220045,60.18,33.623
CRM2,2224.425627,60.274,33.623
CRM3,2224.201971,60.29,33.623
CRM4,2225.549637,60.077,33.623
CRM5,2228.292488,60.135,33.623
JUNK1,2785.889601,59.833,35
TANK1,2032.996368,60.236,32.86
TANK2,2025.3581,59.601,32.86
TANK3,2026.897848,60.205,32.86
JUNK1,2065.207242,59.908,35
CRM1,2272.886966,59.751,33.623
JUNK1,2054.493903,59.536,35
CRM1,2218.256218,60.373,33.623
junk1,2051.392447,59.952,35
tank1,2046.226789,60.234,35.58
tank2,2043.871894,60.347,35.58
tank3,2041.765018,59.78,35.58
JUNK1,2047.133322,60.091,35
CRM1,2223.782549,59.587,33.623
JUNK1,2047.133322,60.091,35
CRM1,2223.782549,59.587,33.623
JUNK1,2052.515651,60.179,35
TANK1,2020.933775,60.042,33.26
TANK2,2015.34837,59.839,33.26
TANK3,2010.672587,59.785,33.26
NA,NA,NA,NA
NA,NA,NA,NA
JUNK1,2034.69311,59.965,35
CRM1,2224.823351,60.2333,33.623
JUNK1,2034.69311,59.965,35
CRM1,2224.823351,60.2333,33.623
JUNK1,2030.804452,60.035,35
INITIAL-2,2325.796651,59.525,36.03
ACR-225,2229.920733,60.488,36.03
POC-215,2271.34957,59.695,36.02
BLANK-1,2298.638192,60.297,36.03
POR-224,2206.221213,60.266,36
TANK1,1987.770098,59.544,32.55
TANK2,1990.609876,59.752,32.55
TANK3,1990.074035,60.251,32.55
JUNK1,2030.804452,60.035,35
INITIAL-2,2325.796651,59.525,36.03
ACR-225,2229.920733,60.488,36.03
POC-215,2271.34957,59.695,36.02
BLANK-1,2298.638192,60.297,36.03
POR-224,2206.221213,60.266,36
JUNK1,2027.762349,60.114,35
CRM1,2229.08793,59.899,33.623
JUNK1,2027.239974,59.999,35
TANK1,1989.135705,60.341,33.93
TANK2,1988.336388,60.22,33.93
TANK3,1992.548201,60.278,33.93
JUNK1,2009.483543,60.053,35
CRM1,2225.094027,59.93,33.623
JUNK1,2018.398805,60.226,35
INITIAL-1,2309.667686,60.083,37.38
INITIAL-2,2310.634199,59.885,37.38
BLANK-2,2312.662847,59.917,37.4
POC-201,2302.400071,59.624,37.4
ACR-244,2277.310623,59.786,37.39
POR-235,2288.188585,59.525,37.41
ACR-229,2272.134896,59.84,37.38
POR-245,2268.372321,60.317,37.43
JUNK1,2027.335528,59.894,35
CRM1,2228.879115,59.607,33.623
JUNK1,2023.628608,60.323,35
ACR-360,2299.248098,59.666,37.3
POR-355,2272.983995,60.365,37.29
POC-394,2331.641573,59.807,37.3
ACR-351,2308.625619,59.796,37.27
BLANK-5,2341.166547,59.832,37.3
INITIAL-1,2349.401345,60.137,37.3
ACR-368,2335.369448,60.295,37.32
POR-349,2312.556771,59.746,37.28
JUNK1,2020.618034,60.11,35
POR-367,2271.593566,59.959,37.32
POR-353,2246.613832,60.357,37.32
POC-359,2320.533063,59.601,37.29
JUNK1,2026.399651,60.344,35
CRM,2223.505163,60.27,33.623
JUNK1,2021.113958,59.52,35
INITIAL-1,2328.815162,59.78,36.1
POR-214,2166.262087,59.875,36.12
POC-200,2257.931561,60.457,36.08
POC-255,2290.17382,60.446,36.1
ACR-237,2282.117545,59.516,36.11
POR-253,2121.493182,59.948,36.09
ACR-258,2263.09945,59.723,36.12
INITIAL-2,2354.906625,59.539,36.52
JUNK1,2035.955436,59.845,35
CRM1,2234.470245,60.176,33.623
JUNK1,2055.956901,60.469,35
TANK1,2051.356998,60.165,32.21
TANK2,2052.30304,59.926,32.21
TANK3,2047.195086,59.838,32.21
POC-257,2304.394918,60.182,36.79
POR-240,2264.788839,60.261,36.88
POR-262,2258.245209,59.802,36.87
POC-254,2298.567678,60.339,36.86
ACR-265,2293.783562,59.977,37
JUNK1,2054.026133,59.274,35
POC-239,2306.558248,60.457,37.03
INITIAL-1,2326.701638,59.894,37.02
POR-209,2264.452009,60.23,37.02
POC-217,2311.259578,60.113,37.01
BLANK-3,2319.265427,59.689,37.02
POR-221,2182.940732,60.417,37.01
POC-259,2296.675684,59.997,37.04
POC-207,2310.85148,59.653,37.04
JUNK1,2044.373611,59.274,35
POC-239,2295.814724,60.457,37.03
INITIAL-1,2315.484165,59.894,37.02
POR-209,2254.082113,60.23,37.02
POC-217,2299.829171,60.113,37.01
BLANK-3,2308.188665,59.689,37.02
POR-221,2172.689174,60.417,37.01
POC-259,2285.389964,59.997,37.04
POC-207,2299.988048,59.653,37.04
JUNK1,2055.956901,60.469,35
TANK1,2051.356998,60.165,32.21
TANK2,2052.30304,59.926,32.21
TANK3,2047.195086,59.838,32.21
POC-257,2304.394918,60.182,36.79
POR-240,2264.788839,60.261,36.88
POR-262,2258.245209,59.802,36.87
POC-254,2298.567678,60.339,36.86
ACR-265,2293.783562,59.977,37
JUNK1,2046.272629,60.469,35
TANK1,2041.884699,60.165,32.21
TANK2,2042.565491,59.926,32.21
TANK3,2037.450256,59.838,32.21
POC-257,2294.212816,60.182,36.79
POR-240,2253.771278,60.261,36.88
POR-262,2248.02673,59.802,36.87
POC-254,2287.412026,60.339,36.86
ACR-265,2283.76004,59.977,37
JUNK1,2046.272629,60.469,35
TANK1,2041.884699,60.165,32.21
TANK2,2042.565491,59.926,32.21
TANK3,2037.450256,59.838,32.21
POC-257,2294.212816,60.182,36.79
POR-240,2253.771278,60.261,36.88
POR-262,2248.02673,59.802,36.87
POC-254,2287.412026,60.339,36.86
ACR-265,2283.76004,59.977,37
JUNK1,2048.326711,60.347,35
CRM1,2221.347261,59.514,33.632
JUNK1,2048.491881,60.049,35
POR-236,2210.787949,59.592,35.35
POR-206,2169.180821,60.638,35.38
INITIAL-2,2314.881406,60.075,35.35
POR-260,2215.424676,59.651,35.5
POC-222,2294.118055,59.754,35.49
POR-242,2002.107499,60.135,35.5
POR-266,2128.694851,60.084,35.49
POC-248,2291.294169,60.283,35.5
JUNK1,2048.952473,59.667,35
CRM1,2222.281343,60.024,33.623
INITIAL-2,2323.476459,60.309,35.66
BLANK-4,2323.388249,60.327,35.64
POC-219,2314.633935,60.164,35.64
POR-216,2162.561518,59.636,35.64
INITIAL-1,2302.129156,59.576,35.66
POC-205,2306.829873,60.252,35.64
POR-383,2292.097843,59.837,35.83
POR-381,2268.80549,60.483,35.84
JUNK1,2078.046688,59.851,35
POR-341,2303.485165,59.517,35.82
POC-238,2290.323051,59.502,35.82
BLANK-6,2330.885054,59.868,35.81
POC-378,2317.066965,60.182,35.83
POC-366,2319.944227,59.805,35.8
INITIAL-1,2335.442874,59.799,35.84
ACR-396,2313.47919,59.592,35.85
INITIAL-2,2369.881136,59.78,35.82
JUNK1,2075.729303,60.006,35
CRM1,2258.50333,60.146,33.623
JUNK1,2073.626574,59.928,35
CRM1,2228.966741,60.143,33.623
TANK1,2066.794681,60.3,32.14
TANK2,2070.198311,60.183,32.14
TANK3,2069.373694,59.66,32.14
JUNK1,2087.731018,60.301,35
CRM1,2229.315279,60.363,33.623
JUNK1,2074.105445,59.34,35
TANK1,2070.036175,60.017,32.99
TANK2,2072.437839,60.449,32.99
TANK3,2070.849529,59.978,32.99
JUNK1,2159.586667,60.348,35
CRM1,2228.722367,59.549,33.623
JUNK1,2157.079084,59.992,35
TANK1,2154.38083,60.409,33.36
TANK2,2153.980575,60.416,33.36
TANK3,2155.334863,60.433,33.36
JUNK1,2083.36544,59.783,35
CRM1,2228.452151,60.491,33.623
JUNK1,2083.36544,59.783,35
CRM1,2228.452151,60.491,33.623
JUNK1,2083.835815,59.875,35
ACR-350,2313.452895,59.604,37.56
ACR-343,2312.102863,60.376,37.58
POC-391,2308.184255,60.361,37.7
BK-7,2329.543364,59.908,37.66
POC-377,2318.930419,59.958,37.66
ACR-347,2287.771572,60.403,37.66
POR-357,2301.854582,59.963,37.61
POR-384,2068.746786,60.493,37.61
POC-371,2333.223353,59.653,37.65
POC-373,2319.575006,59.598,37.61
INITIAL-1,2332.421503,59.664,37.68
POR-338,2296.409312,60.389,37.66
ACR-364,2313.987437,59.822,37.65
INITIAL-2,2331.802624,59.961,37.66
TANK1,2256.148332,60.263,34.9
TANK2,2256.109074,60.201,34.9
TANK3,2256.449351,60.413,34.9
JUNK1,2131.017062,60.441,35
CRM1,2230.091863,60.197,33.623
JUNK1,2127.87574,59.736,35
POR-365,2302.225686,60.488,37.66
POC-369,2332.487548,59.741,37.64
INITIAL-2,2338.971392,59.892,37.61
POR-340,2267.760656,59.596,37.64
BLANK-8,2334.955027,60.035,37.63
POR-385,2268.852789,59.742,37.65
POC-372,2321.656888,59.923,37.68
POC-375,2303.38151,60.203,37.65
