Task,T1539
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,176.4,17.8
2,176.5,17.8
3,176.4,17.8
4,176.4,17.8
5,176.5,17.8
6,176.4,17.8
7,176.4,17.8
8,176.4,17.8
9,176.4,17.8
10,176.4,17.8
11,176.4,17.8
12,176.4,17.8
13,176.4,17.8
14,176.4,17.8
15,176.4,17.8
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,4.1,17.5
2,4.2,17.5
3,4.1,17.5
4,4.1,17.5
5,4.1,17.5
6,4.1,17.5
7,4.1,17.5
8,4.1,17.5
9,4.1,17.5
10,4.1,17.5
11,4.1,17.5
12,4.1,17.5
13,4.1,17.5
14,4.1,17.5
15,4.1,17.5
16,4.1,17.5
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-169.2,17.6
2,-169.2,17.6
3,-169.2,17.6
4,-169.2,17.6
5,-169.2,17.6
6,-169.2,17.6
7,-169.3,17.6
8,-169.3,17.6
9,-169.2,17.6
10,-169.3,17.6
11,-169.3,17.6
12,-169.3,17.6
13,-169.3,17.6
14,-169.3,17.6
15,-169.3,17.6
16,-169.3,17.6
