Task,T914
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,178.4,20.3
2,178.4,20.3
3,178.4,20.3
4,178.4,20.3
5,178.4,20.3
6,178.4,20.3
7,178.4,20.3
8,178.4,20.3
9,178.4,20.3
10,178.3,20.3
11,178.4,20.3
12,178.4,20.3
13,178.4,20.3
14,178.4,20.3
15,178.4,20.3
16,178.4,20.3
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,6.5,20.3
2,6.5,20.3
3,6.5,20.3
4,6.4,20.3
5,6.4,20.3
6,6.4,20.3
7,6.4,20.3
8,6.4,20.3
9,6.4,20.3
10,6.4,20.3
11,6.4,20.3
12,6.4,20.3
13,6.5,20.3
14,6.4,20.3
15,6.4,20.3
16,6.4,20.3
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-168.5,20.2
2,-168.5,20.2
3,-168.6,20.2
4,-168.6,20.2
5,-168.6,20.2
6,-168.6,20.2
7,-168.7,20.2
8,-168.6,20.2
9,-168.7,20.2
10,-168.7,20.2
11,-168.7,20.2
12,-168.7,20.2
13,-168.6,20.2
14,-168.6,20.2
15,-168.6,20.2
16,-168.7,20.2
