Task,T916
Scope 1/1, Sample 1/9 (JUNK 1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-33.0,19.6,NaN,,,,,,
0.0200,17,-56.5,19.6,0.0010,,,,,,
0.0400,20,-56.9,19.6,0.0065,,,,,,
0.0900,42,-50.0,19.6,0.0025,,,,,,
0.1575,72,-35.3,19.6,0.0020,,,,,,
0.2040,102,-19.6,19.6,0.0015,,,,,,
0.2345,127,-10.0,19.6,0.0010,,,,,,
0.2890,149,-0.5,19.6,0.0025,,,,,,
0.4250,179,16.4,19.6,0.0045,,,,,,
0.6070,209,34.0,19.6,0.0060,84.07,1.92,,,,NaN
0.8070,240,50.8,19.6,0.0065,73.96,1.87,,,,NaN
1.0070,270,68.2,19.6,0.0065,93.14,1.97,,,,NaN
1.1850,297,85.5,19.6,0.0065,140.90,2.15,,,,NaN
1.3320,323,107.4,19.6,0.0055,218.14,2.34,,,,NaN
1.3670,448,116.6,19.6,0.0005,258.03,2.41,,,,NaN
1.3870,463,120.0,19.6,0.0015,281.76,2.45,,,,NaN
1.4370,482,135.3,19.6,0.0025,334.81,2.52,,,,NaN
1.4570,497,143.5,19.6,0.0015,356.33,2.55,,,,NaN
1.4770,510,152.4,19.6,0.0015,398.93,2.60,,,,NaN
1.4970,522,161.2,19.6,0.0015,386.36,2.59,,,,NaN
1.5170,533,168.8,19.6,0.0020,338.75,2.53,,,,NaN
1.5415,543,177.1,19.6,0.0025,294.69,2.47,,,,NaN
1.5685,552,184.2,19.6,0.0030,256.27,2.41,,,,NaN
1.6065,560,192.1,19.6,0.0045,208.44,2.32,,,,NaN
1.6570,568,200.0,19.6,0.0065,,,,,,
1.7245,575,207.8,19.6,0.0090,,,,,,
1.8180,583,215.8,19.6,0.0115,,,,,,
1.9445,590,223.6,19.6,0.0170,,,,,,
2.1220,598,231.7,19.6,0.0225,,,,,,
Scope 1/1, Sample 2/9 (Initial 1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-9.7,15.9,NaN,,,,,,
0.0200,26,-54.1,15.8,0.0010,,,,,,
0.0400,29,-54.4,15.9,0.0070,,,,,,
0.0900,53,-46.3,15.9,0.0020,,,,,,
0.1390,84,-33.0,16.0,0.0015,,,,,,
0.1740,114,-19.5,16.0,0.0010,,,,,,
0.2030,143,-8.7,16.1,0.0010,,,,,,
0.2485,164,-0.7,16.1,0.0020,,,,,,
0.3625,194,12.4,16.2,0.0035,,,,,,
0.5625,225,30.7,16.3,0.0065,,,,,,
0.7625,255,47.9,16.3,0.0065,84.48,1.93,,,,NaN
0.9580,285,68.7,16.4,0.0065,117.39,2.07,,,,NaN
1.0800,314,84.9,16.5,0.0040,153.70,2.19,,,,NaN
1.1770,334,98.0,16.5,0.0050,197.02,2.29,,,,NaN
1.2935,353,122.5,16.5,0.0060,283.94,2.45,,,,NaN
1.3180,488,130.0,16.8,0.0000,321.70,2.51,,,,NaN
1.3380,503,137.4,16.8,0.0015,330.09,2.52,,,,NaN
1.3580,516,145.5,16.8,0.0015,350.58,2.54,,,,NaN
1.3780,529,154.5,16.8,0.0015,393.44,2.59,,,,NaN
1.3980,541,162.8,16.8,0.0015,357.32,2.55,,,,NaN
1.4190,552,170.2,16.9,0.0020,314.60,2.50,,,,NaN
1.4455,562,178.1,16.9,0.0025,273.74,2.44,,,,NaN
1.4770,572,185.7,16.9,0.0030,232.38,2.37,,,,NaN
1.5190,581,193.2,16.9,0.0045,185.85,2.27,,,,NaN
1.5780,589,201.3,16.9,0.0070,,,,,,
1.6560,597,209.1,16.9,0.0095,,,,,,
1.7630,606,217.1,16.9,0.0125,,,,,,
1.9095,614,225.0,17.0,0.0190,,,,,,
2.1095,622,232.9,17.0,0.0260,,,,,,
Scope 1/1, Sample 3/9 (Initial 2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-13.5,16.6,NaN,,,,,,
0.0200,24,-53.7,16.6,0.0010,,,,,,
0.0400,27,-53.8,16.6,0.0065,,,,,,
0.0900,53,-45.2,16.7,0.0020,,,,,,
0.1335,84,-33.1,16.7,0.0015,,,,,,
0.1690,114,-19.8,16.8,0.0010,,,,,,
0.2005,143,-9.1,16.8,0.0010,,,,,,
0.2530,162,-0.6,16.8,0.0025,,,,,,
0.3840,193,14.8,16.9,0.0045,,,,,,
0.5705,223,30.7,16.9,0.0060,,,,,,
0.7705,253,49.5,17.0,0.0065,89.85,1.95,,,,NaN
0.9250,283,67.6,17.0,0.0050,111.93,2.05,,,,NaN
1.0350,311,80.3,17.1,0.0040,136.95,2.14,,,,NaN
1.1745,332,97.6,17.1,0.0065,187.57,2.27,,,,NaN
1.2950,352,122.6,17.1,0.0060,276.82,2.44,,,,NaN
1.3180,488,129.2,17.3,0.0000,313.89,2.50,,,,NaN
1.3385,502,136.4,17.3,0.0015,325.77,2.51,,,,NaN
1.3585,516,144.2,17.3,0.0015,336.21,2.53,,,,NaN
1.3785,529,153.0,17.4,0.0015,385.72,2.59,,,,NaN
1.3985,540,161.1,17.4,0.0020,358.80,2.55,,,,NaN
1.4200,552,169.0,17.4,0.0020,315.45,2.50,,,,NaN
1.4440,561,176.2,17.4,0.0025,278.22,2.44,,,,NaN
1.4760,571,184.1,17.4,0.0035,236.16,2.37,,,,NaN
1.5155,580,191.6,17.4,0.0045,192.12,2.28,,,,NaN
1.5710,589,199.5,17.4,0.0065,,,,,,
1.6440,596,207.3,17.4,0.0105,,,,,,
1.7450,604,215.4,17.5,0.0125,,,,,,
1.8795,612,223.2,17.5,0.0170,,,,,,
2.0670,620,231.2,17.5,0.0230,,,,,,
Scope 1/1, Sample 4/9 (ACR_343)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-11.1,17.1,NaN,,,,,,
0.0200,24,-53.4,17.1,0.0010,,,,,,
0.0400,28,-53.7,17.1,0.0055,,,,,,
0.0900,57,-44.3,17.1,0.0015,,,,,,
0.1265,87,-33.6,17.2,0.0010,,,,,,
0.1610,117,-21.0,17.2,0.0010,,,,,,
0.1970,148,-9.3,17.2,0.0010,,,,,,
0.2520,169,-0.2,17.3,0.0025,,,,,,
0.3895,199,15.0,17.3,0.0045,,,,,,
0.5895,230,32.6,17.4,0.0065,90.66,1.96,,,,NaN
0.7895,260,52.7,17.4,0.0065,95.63,1.98,,,,NaN
0.9290,290,69.9,17.4,0.0045,115.90,2.06,,,,NaN
1.0340,311,81.5,17.5,0.0050,137.69,2.14,,,,NaN
1.1965,334,104.0,17.5,0.0070,196.07,2.29,,,,NaN
1.2425,471,112.6,17.6,0.0005,242.45,2.38,,,,NaN
1.2740,488,120.3,17.7,0.0020,283.09,2.45,,,,NaN
1.2990,505,127.7,17.7,0.0015,311.34,2.49,,,,NaN
1.3215,520,135.3,17.7,0.0015,337.59,2.53,,,,NaN
1.3425,532,143.8,17.7,0.0015,391.72,2.59,,,,NaN
1.3625,546,152.5,17.7,0.0015,400.38,2.60,,,,NaN
1.3825,558,160.9,17.7,0.0015,367.38,2.57,,,,NaN
1.4025,570,168.2,17.7,0.0015,323.49,2.51,,,,NaN
1.4280,580,176.2,17.8,0.0025,282.48,2.45,,,,NaN
1.4575,589,183.7,17.8,0.0035,242.82,2.39,,,,NaN
1.4955,598,191.2,17.8,0.0045,198.79,2.30,,,,NaN
1.5480,606,199.0,17.8,0.0065,,,,,,
1.6200,614,207.0,17.8,0.0090,,,,,,
1.7170,622,215.0,17.8,0.0125,,,,,,
1.8465,630,222.8,17.8,0.0175,,,,,,
2.0285,637,230.8,17.8,0.0260,,,,,,
Scope 1/1, Sample 5/9 (POR_340)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-9.2,17.3,NaN,,,,,,
0.0200,26,-52.7,17.3,0.0010,,,,,,
0.0400,29,-52.9,17.3,0.0075,,,,,,
0.0900,59,-42.7,17.4,0.0015,,,,,,
0.1205,89,-32.0,17.4,0.0010,,,,,,
0.1470,120,-21.2,17.5,0.0010,,,,,,
0.1810,150,-10.1,17.5,0.0010,,,,,,
0.2420,166,0.0,17.5,0.0040,,,,,,
0.3945,196,16.6,17.5,0.0050,,,,,,
0.5945,226,36.9,17.6,0.0065,93.95,1.97,,,,NaN
0.7645,257,55.0,17.6,0.0055,103.05,2.01,,,,NaN
0.9085,287,72.9,17.7,0.0050,128.13,2.11,,,,NaN
1.0185,310,86.5,17.7,0.0050,158.64,2.20,,,,NaN
1.1480,334,106.9,17.7,0.0055,224.17,2.35,,,,NaN
1.1880,473,115.6,17.8,0.0005,274.46,2.44,,,,NaN
1.2150,489,122.8,17.9,0.0015,312.78,2.50,,,,NaN
1.2395,506,131.1,17.9,0.0015,340.54,2.53,,,,NaN
1.2595,521,139.2,17.9,0.0015,373.95,2.57,,,,NaN
1.2795,535,148.2,17.9,0.0015,427.65,2.63,,,,NaN
1.2995,548,157.3,17.9,0.0015,410.85,2.61,,,,NaN
1.3195,559,165.7,17.9,0.0020,360.30,2.56,,,,NaN
1.3405,569,173.3,17.9,0.0020,315.58,2.50,,,,NaN
1.3655,579,180.7,17.9,0.0025,276.32,2.44,,,,NaN
1.3995,587,188.3,18.0,0.0040,228.36,2.36,,,,NaN
1.4455,596,196.3,18.0,0.0050,,,,,,
1.5060,605,204.1,18.0,0.0070,,,,,,
1.5885,612,211.9,18.0,0.0120,,,,,,
1.7045,620,220.0,18.0,0.0145,,,,,,
1.8590,628,227.9,18.0,0.0195,,,,,,
Scope 1/1, Sample 6/9 (POR_362)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-12.9,17.7,NaN,,,,,,
0.0200,25,-52.7,17.8,0.0010,,,,,,
0.0400,28,-52.7,17.8,0.0075,,,,,,
0.0900,58,-42.7,17.8,0.0015,,,,,,
0.1220,88,-31.9,17.8,0.0010,,,,,,
0.1500,118,-21.1,17.8,0.0010,,,,,,
0.1860,149,-10.0,17.9,0.0010,,,,,,
0.2510,179,2.3,17.9,0.0020,,,,,,
0.3900,209,16.7,17.9,0.0045,,,,,,
0.5900,239,35.4,18.0,0.0065,89.06,1.95,,,,NaN
0.7800,270,54.2,18.0,0.0060,95.67,1.98,,,,NaN
0.9335,300,72.7,18.0,0.0050,121.91,2.09,,,,NaN
1.0425,324,86.1,18.1,0.0045,151.64,2.18,,,,NaN
1.1695,345,104.8,18.1,0.0060,207.90,2.32,,,,NaN
1.2150,486,114.1,18.2,0.0005,254.96,2.41,,,,NaN
1.2435,504,121.1,18.2,0.0015,294.70,2.47,,,,NaN
1.2700,522,129.5,18.2,0.0015,326.66,2.51,,,,NaN
1.2900,537,136.8,18.2,0.0015,355.48,2.55,,,,NaN
1.3100,552,145.4,18.3,0.0015,409.54,2.61,,,,NaN
1.3300,565,154.0,18.3,0.0015,412.29,2.62,,,,NaN
1.3500,579,162.9,18.3,0.0015,371.13,2.57,,,,NaN
1.3700,590,170.5,18.3,0.0020,325.03,2.51,,,,NaN
1.3945,600,178.0,18.3,0.0025,285.54,2.46,,,,NaN
1.4265,609,185.8,18.3,0.0035,240.55,2.38,,,,NaN
1.4675,618,193.6,18.3,0.0045,192.96,2.29,,,,NaN
1.5210,626,201.2,18.3,0.0065,,,,,,
1.5985,634,209.4,18.3,0.0090,,,,,,
1.6985,642,217.1,18.3,0.0120,,,,,,
1.8410,650,225.2,18.3,0.0175,,,,,,
2.0335,658,233.1,18.3,0.0230,,,,,,
Scope 1/1, Sample 7/9 (POR_381)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-6.4,18.0,NaN,,,,,,
0.0200,25,-49.0,18.0,0.0010,,,,,,
0.0400,28,-49.4,18.0,0.0060,,,,,,
0.0900,58,-37.6,18.1,0.0015,,,,,,
0.1130,87,-27.8,18.1,0.0010,,,,,,
0.1335,110,-20.2,18.1,0.0010,,,,,,
0.1835,140,-5.5,18.1,0.0015,,,,,,
0.2520,160,3.4,18.1,0.0035,,,,,,
0.4230,190,21.2,18.2,0.0055,,,,,,
0.6130,220,41.1,18.2,0.0060,98.49,1.99,,,,NaN
0.7660,251,60.0,18.2,0.0050,110.47,2.04,,,,NaN
0.8760,277,73.5,18.3,0.0040,132.48,2.12,,,,NaN
1.0050,303,89.4,18.3,0.0050,167.02,2.22,,,,NaN
1.1355,324,111.6,18.3,0.0060,243.20,2.39,,,,NaN
1.1695,462,119.8,18.4,0.0000,295.25,2.47,,,,NaN
1.1930,478,126.7,18.4,0.0015,325.76,2.51,,,,NaN
1.2150,494,134.7,18.4,0.0015,345.61,2.54,,,,NaN
1.2350,509,143.1,18.4,0.0015,387.76,2.59,,,,NaN
1.2550,522,152.4,18.4,0.0015,424.15,2.63,,,,NaN
1.2750,535,161.3,18.4,0.0015,386.23,2.59,,,,NaN
1.2950,545,169.1,18.4,0.0020,336.42,2.53,,,,NaN
1.3180,555,176.5,18.5,0.0025,296.34,2.47,,,,NaN
1.3485,564,184.5,18.5,0.0030,251.51,2.40,,,,NaN
1.3860,573,192.0,18.5,0.0040,204.03,2.31,,,,NaN
1.4375,581,199.7,18.5,0.0060,,,,,,
1.5100,590,207.9,18.5,0.0085,,,,,,
1.6030,597,215.6,18.5,0.0125,,,,,,
1.7370,606,223.7,18.5,0.0155,,,,,,
1.9150,614,231.5,18.5,0.0235,,,,,,
Scope 1/1, Sample 8/9 (POR_387)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-15.8,18.2,NaN,,,,,,
0.0200,22,-53.2,18.3,0.0010,,,,,,
0.0400,26,-53.6,18.3,0.0055,,,,,,
0.0900,56,-43.5,18.3,0.0015,,,,,,
0.1215,86,-33.4,18.3,0.0010,,,,,,
0.1530,116,-22.1,18.3,0.0010,,,,,,
0.1930,146,-9.9,18.4,0.0015,,,,,,
0.2550,167,0.1,18.4,0.0030,,,,,,
0.4100,198,17.1,18.4,0.0050,,,,,,
0.6100,228,35.9,18.4,0.0065,90.36,1.96,,,,NaN
0.8100,258,55.6,18.5,0.0065,97.91,1.99,,,,NaN
0.9640,288,75.0,18.5,0.0050,123.85,2.09,,,,NaN
1.0640,311,86.3,18.5,0.0045,149.39,2.17,,,,NaN
1.2225,331,110.2,18.5,0.0080,220.36,2.34,,,,NaN
1.2625,471,119.4,18.6,0.0005,272.95,2.44,,,,NaN
1.2855,486,125.8,18.6,0.0015,308.47,2.49,,,,NaN
1.3095,502,133.7,18.6,0.0015,332.90,2.52,,,,NaN
1.3295,516,141.2,18.6,0.0015,363.95,2.56,,,,NaN
1.3495,529,150.3,18.6,0.0015,410.93,2.61,,,,NaN
1.3695,541,159.0,18.6,0.0015,390.18,2.59,,,,NaN
1.3895,552,167.0,18.6,0.0020,343.32,2.54,,,,NaN
1.4115,562,174.4,18.6,0.0020,302.47,2.48,,,,NaN
1.4395,572,182.2,18.6,0.0030,261.76,2.42,,,,NaN
1.4745,580,189.8,18.7,0.0040,216.12,2.33,,,,NaN
1.5210,589,197.4,18.7,0.0050,,,,,,
1.5875,597,205.5,18.7,0.0080,,,,,,
1.6750,605,213.4,18.7,0.0110,,,,,,
1.7940,613,221.2,18.7,0.0155,,,,,,
1.9625,620,229.3,18.7,0.0250,,,,,,
Scope 1/1, Sample 9/9 (POC_373)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-19.3,18.4,NaN,,,,,,
0.0200,21,-52.8,18.4,0.0010,,,,,,
0.0400,24,-52.1,18.4,0.0060,,,,,,
0.0900,52,-43.2,18.5,0.0020,,,,,,
0.1305,83,-30.7,18.5,0.0015,,,,,,
0.1600,113,-18.6,18.5,0.0010,,,,,,
0.1895,139,-9.3,18.5,0.0010,,,,,,
0.2550,167,3.1,18.5,0.0025,,,,,,
0.3955,173,17.0,18.5,0.0245,,,,,,
0.5955,178,26.9,18.5,0.0425,,,,,,
0.7955,208,51.0,18.6,0.0065,109.66,2.04,,,,NaN
0.8835,238,68.0,18.6,0.0030,125.75,2.10,,,,NaN
0.9355,255,74.3,18.6,0.0030,139.17,2.14,,,,NaN
1.0655,279,88.5,18.6,0.0055,165.85,2.22,,,,NaN
1.2265,285,113.2,18.6,0.0275,249.95,2.40,,,,NaN
1.2635,419,124.3,18.7,0.0005,301.78,2.48,,,,NaN
1.2835,430,130.6,18.7,0.0020,323.20,2.51,,,,NaN
1.3080,444,139.7,18.7,0.0015,340.63,2.53,,,,NaN
1.3280,456,148.0,18.7,0.0015,383.70,2.58,,,,NaN
1.3480,469,156.7,18.7,0.0015,393.84,2.60,,,,NaN
1.3680,479,165.0,18.7,0.0020,351.54,2.55,,,,NaN
1.3890,489,172.5,18.7,0.0020,309.30,2.49,,,,NaN
1.4145,494,179.7,18.7,0.0055,272.14,2.43,,,,NaN
1.4505,502,188.1,18.7,0.0040,224.70,2.35,,,,NaN
1.4915,510,195.4,18.7,0.0050,,,,,,
1.5510,518,203.2,18.7,0.0075,,,,,,
1.6325,525,211.2,18.8,0.0110,,,,,,
1.7435,533,219.2,18.8,0.0140,,,,,,
1.8930,540,227.1,18.8,0.0200,,,,,,
