Task,T919
Scope 1/1, Sample 1/2 (Junk)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-37.3,18.9,NaN,,,,,,
0.0200,13,-55.6,19.0,0.0015,,,,,,
0.0400,16,-55.9,19.0,0.0060,,,,,,
0.0900,39,-48.4,19.0,0.0020,,,,,,
0.1460,69,-35.0,19.0,0.0020,,,,,,
0.1885,99,-20.9,19.0,0.0015,,,,,,
0.2230,124,-10.7,19.0,0.0015,,,,,,
0.2840,141,-0.4,19.0,0.0035,,,,,,
0.4365,171,16.7,19.0,0.0050,,,,,,
0.6365,201,34.6,19.0,0.0065,81.45,1.91,,,,NaN
0.8365,231,52.5,19.0,0.0065,78.25,1.89,,,,NaN
1.0140,261,69.1,19.1,0.0060,97.28,1.99,,,,NaN
1.1775,286,84.1,19.1,0.0065,134.84,2.13,,,,NaN
1.3560,311,110.7,19.1,0.0070,218.71,2.34,,,,NaN
1.3890,448,118.7,19.1,0.0000,266.43,2.43,,,,NaN
1.4095,461,123.8,19.1,0.0015,298.81,2.48,,,,NaN
1.4400,476,133.4,19.1,0.0020,332.00,2.52,,,,NaN
1.4605,490,141.3,19.1,0.0015,359.21,2.56,,,,NaN
1.4805,502,149.9,19.1,0.0015,406.13,2.61,,,,NaN
1.5005,514,158.4,19.1,0.0015,390.68,2.59,,,,NaN
1.5205,525,166.6,19.1,0.0020,346.83,2.54,,,,NaN
1.5405,534,173.5,19.1,0.0020,307.29,2.49,,,,NaN
1.5685,543,181.5,19.1,0.0030,265.52,2.42,,,,NaN
1.6020,552,188.9,19.1,0.0040,221.95,2.35,,,,NaN
1.6485,560,196.9,19.1,0.0055,,,,,,
1.7085,568,204.6,19.1,0.0075,,,,,,
1.7925,576,212.4,19.1,0.0110,,,,,,
1.9090,583,220.5,19.1,0.0175,,,,,,
2.0675,590,228.4,19.1,0.0215,,,,,,
Scope 1/1, Sample 2/2 (CRM 1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-15.5,19.8,NaN,,,,,,
0.0200,22,-51.9,19.8,0.0010,,,,,,
0.0400,25,-52.3,19.8,0.0070,,,,,,
0.0900,55,-40.5,19.8,0.0015,,,,,,
0.1135,82,-31.2,19.8,0.0010,,,,,,
0.1370,107,-22.8,19.8,0.0010,,,,,,
0.1865,138,-8.9,19.8,0.0015,,,,,,
0.2595,163,3.2,19.8,0.0030,,,,,,
0.4240,193,20.7,19.8,0.0055,,,,,,
0.6240,224,40.5,19.8,0.0065,85.76,1.93,,,,NaN
0.7975,254,58.9,19.8,0.0060,95.87,1.98,,,,NaN
0.9385,281,73.8,19.8,0.0050,125.98,2.10,,,,NaN
1.0905,309,92.9,19.8,0.0055,181.40,2.26,,,,NaN
1.1980,331,113.7,19.8,0.0050,260.67,2.42,,,,NaN
1.2250,467,121.0,19.8,0.0000,306.82,2.49,,,,NaN
1.2460,481,127.5,19.8,0.0015,332.26,2.52,,,,NaN
1.2685,496,135.9,19.8,0.0015,352.08,2.55,,,,NaN
1.2885,509,144.4,19.8,0.0015,400.56,2.60,,,,NaN
1.3085,522,153.6,19.8,0.0015,418.45,2.62,,,,NaN
1.3285,534,162.3,19.8,0.0015,377.52,2.58,,,,NaN
1.3485,544,169.8,19.8,0.0020,330.34,2.52,,,,NaN
1.3725,554,177.6,19.8,0.0025,289.55,2.46,,,,NaN
1.4010,562,184.7,19.8,0.0035,248.70,2.40,,,,NaN
1.4435,571,193.0,19.7,0.0050,196.59,2.29,,,,NaN
1.4965,578,200.7,19.7,0.0070,,,,,,
1.5690,586,208.4,19.7,0.0090,,,,,,
1.6720,594,216.7,19.7,0.0130,,,,,,
1.8055,601,224.3,19.7,0.0180,,,,,,
1.9980,609,232.5,19.7,0.0235,,,,,,
