Task,T921
Scope 1/1, Sample 1/9 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-29.2,18.9,NaN,,,,,,
0.0200,17,-54.2,18.9,0.0010,,,,,,
0.0400,20,-54.6,18.9,0.0060,,,,,,
0.0900,42,-47.6,18.9,0.0025,,,,,,
0.1565,72,-32.6,18.9,0.0020,,,,,,
0.2000,102,-17.1,18.9,0.0015,,,,,,
0.2285,126,-8.3,18.9,0.0010,,,,,,
0.2890,144,0.0,18.9,0.0035,,,,,,
0.4400,174,17.2,19.0,0.0050,,,,,,
0.6115,204,34.4,19.0,0.0055,84.91,1.93,,,,NaN
0.7910,234,50.3,19.0,0.0060,77.21,1.89,,,,NaN
0.9910,265,67.0,19.0,0.0065,91.43,1.96,,,,NaN
1.1910,293,86.0,19.0,0.0070,134.94,2.13,,,,NaN
1.3380,314,106.9,19.0,0.0070,206.75,2.32,,,,NaN
1.3755,451,115.4,19.1,0.0005,249.88,2.40,,,,NaN
1.3975,466,120.5,19.1,0.0015,281.27,2.45,,,,NaN
1.4305,483,129.8,19.1,0.0020,319.10,2.50,,,,NaN
1.4540,498,138.2,19.1,0.0015,349.61,2.54,,,,NaN
1.4740,511,146.7,19.1,0.0015,397.52,2.60,,,,NaN
1.4940,523,155.4,19.1,0.0015,404.85,2.61,,,,NaN
1.5140,535,163.7,19.1,0.0015,367.67,2.57,,,,NaN
1.5345,544,171.3,19.1,0.0020,320.28,2.51,,,,NaN
1.5585,553,178.8,19.1,0.0025,282.08,2.45,,,,NaN
1.5885,563,186.2,19.1,0.0030,240.71,2.38,,,,NaN
1.6305,572,194.1,19.1,0.0050,192.25,2.28,,,,NaN
1.6850,579,201.9,19.1,0.0075,,,,,,
1.7585,587,209.6,19.1,0.0090,,,,,,
1.8630,595,217.8,19.1,0.0130,,,,,,
2.0010,602,225.5,19.1,0.0185,,,,,,
2.1970,609,233.7,19.1,0.0265,,,,,,
Scope 1/1, Sample 2/9 (Initial2_20200909_2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-17.2,17.3,NaN,,,,,,
0.0200,23,-54.3,17.2,0.0010,,,,,,
0.0400,26,-54.7,17.2,0.0070,,,,,,
0.0900,51,-46.0,17.3,0.0020,,,,,,
0.1325,81,-33.3,17.3,0.0015,,,,,,
0.1640,111,-20.6,17.4,0.0010,,,,,,
0.1935,136,-11.0,17.4,0.0010,,,,,,
0.2545,160,-0.4,17.4,0.0025,,,,,,
0.4070,190,16.2,17.5,0.0050,,,,,,
0.6070,220,34.6,17.5,0.0065,87.69,1.94,,,,NaN
0.8070,250,54.1,17.5,0.0065,94.95,1.98,,,,NaN
0.9615,280,72.3,17.6,0.0050,119.94,2.08,,,,NaN
1.0735,302,85.3,17.6,0.0050,149.33,2.17,,,,NaN
1.2125,324,106.1,17.6,0.0065,211.01,2.32,,,,NaN
1.2540,462,115.1,17.8,0.0005,257.27,2.41,,,,NaN
1.2795,477,121.6,17.8,0.0015,292.37,2.47,,,,NaN
1.3060,493,129.7,17.8,0.0015,322.10,2.51,,,,NaN
1.3275,507,137.4,17.8,0.0015,351.76,2.55,,,,NaN
1.3475,520,145.8,17.8,0.0015,400.35,2.60,,,,NaN
1.3675,532,154.4,17.8,0.0015,399.08,2.60,,,,NaN
1.3875,543,162.9,17.8,0.0020,359.60,2.56,,,,NaN
1.4075,553,170.0,17.9,0.0020,317.12,2.50,,,,NaN
1.4340,563,178.0,17.9,0.0025,276.14,2.44,,,,NaN
1.4660,572,185.7,17.9,0.0035,233.38,2.37,,,,NaN
1.5070,580,193.3,17.9,0.0050,188.14,2.27,,,,NaN
1.5635,588,201.1,17.9,0.0065,,,,,,
1.6410,596,209.0,17.9,0.0090,,,,,,
1.7455,604,217.0,17.9,0.0125,,,,,,
1.8880,612,224.9,17.9,0.0175,,,,,,
2.0835,620,232.9,17.9,0.0255,,,,,,
Scope 1/1, Sample 3/9 (POC-359_20200909_1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-16.7,17.4,NaN,,,,,,
0.0200,22,-54.9,17.4,0.0010,,,,,,
0.0400,26,-55.4,17.4,0.0055,,,,,,
0.0900,51,-47.3,17.4,0.0020,,,,,,
0.1385,81,-33.7,17.5,0.0015,,,,,,
0.1720,112,-20.3,17.5,0.0010,,,,,,
0.1995,138,-10.6,17.5,0.0010,,,,,,
0.2510,161,-0.9,17.6,0.0020,,,,,,
0.3800,191,13.3,17.6,0.0045,,,,,,
0.5800,221,30.5,17.6,0.0065,,,,,,
0.7800,252,49.7,17.7,0.0065,94.83,1.98,,,,NaN
0.9285,282,68.1,17.7,0.0050,119.97,2.08,,,,NaN
1.0285,308,80.8,17.7,0.0040,145.81,2.16,,,,NaN
1.1520,332,97.0,17.8,0.0050,191.99,2.28,,,,NaN
1.2695,352,121.0,17.8,0.0060,280.57,2.45,,,,NaN
1.2945,490,128.3,17.9,0.0000,321.57,2.51,,,,NaN
1.3145,506,135.4,17.9,0.0010,334.49,2.52,,,,NaN
1.3345,521,143.3,17.9,0.0015,348.27,2.54,,,,NaN
1.3545,535,152.6,17.9,0.0015,400.33,2.60,,,,NaN
1.3745,547,161.2,18.0,0.0015,377.91,2.58,,,,NaN
1.3945,557,168.7,18.0,0.0020,331.39,2.52,,,,NaN
1.4190,567,176.6,18.0,0.0025,289.63,2.46,,,,NaN
1.4480,577,184.1,18.0,0.0030,249.06,2.40,,,,NaN
1.4865,586,191.8,18.0,0.0045,201.50,2.30,,,,NaN
1.5380,594,199.5,18.0,0.0060,,,,,,
1.6105,602,207.5,18.0,0.0090,,,,,,
1.7065,610,215.4,18.0,0.0120,,,,,,
1.8395,618,223.4,18.0,0.0175,,,,,,
2.0225,625,231.4,18.0,0.0250,,,,,,
Scope 1/1, Sample 4/9 (POC-369_20200909_2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,5.0,17.6,NaN,,,,,,
0.0200,28,-42.9,17.6,0.0005,,,,,,
0.0400,31,-43.3,17.6,0.0075,,,,,,
0.0900,61,-30.9,17.7,0.0015,,,,,,
0.1110,88,-21.3,17.7,0.0010,,,,,,
0.1310,110,-14.9,17.7,0.0010,,,,,,
0.1810,138,-3.0,17.7,0.0020,,,,,,
0.2735,168,9.3,17.8,0.0030,,,,,,
0.4735,198,27.5,17.8,0.0065,,,,,,
0.6735,228,45.0,17.8,0.0065,84.86,1.93,,,,NaN
0.8655,258,66.7,17.9,0.0065,104.14,2.02,,,,NaN
0.9750,280,78.5,17.9,0.0050,129.17,2.11,,,,NaN
1.1305,302,97.4,17.9,0.0070,181.69,2.26,,,,NaN
1.2470,322,120.4,17.9,0.0060,262.72,2.42,,,,NaN
1.2720,454,127.2,18.0,0.0000,307.54,2.49,,,,NaN
1.2935,467,134.4,18.1,0.0015,326.30,2.51,,,,NaN
1.3135,481,142.3,18.1,0.0015,336.20,2.53,,,,NaN
1.3335,494,150.3,18.1,0.0015,386.98,2.59,,,,NaN
1.3535,505,159.1,18.1,0.0020,376.89,2.58,,,,NaN
1.3735,516,166.8,18.1,0.0020,332.77,2.52,,,,NaN
1.3965,526,174.5,18.1,0.0025,293.63,2.47,,,,NaN
1.4245,534,181.7,18.1,0.0035,254.76,2.41,,,,NaN
1.4645,543,190.3,18.1,0.0045,206.82,2.32,,,,NaN
1.5100,552,197.5,18.1,0.0050,,,,,,
1.5780,560,205.5,18.1,0.0080,,,,,,
1.6680,569,213.4,18.1,0.0105,,,,,,
1.7905,576,221.3,18.1,0.0170,,,,,,
1.9610,584,229.3,18.2,0.0215,,,,,,
Scope 1/1, Sample 5/9 (POC-378_20200909_2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,12.6,17.8,NaN,,,,,,
0.0200,28,-38.7,17.8,0.0005,,,,,,
0.0400,31,-39.4,17.8,0.0075,,,,,,
0.0900,61,-27.1,17.8,0.0015,,,,,,
0.1115,88,-17.0,17.9,0.0010,,,,,,
0.1315,106,-11.3,17.9,0.0010,,,,,,
0.1815,131,-1.1,17.9,0.0020,,,,,,
0.2895,161,12.6,17.9,0.0035,,,,,,
0.4895,192,28.9,18.0,0.0065,90.34,1.96,,,,NaN
0.6895,222,48.7,18.0,0.0065,86.91,1.94,,,,NaN
0.8235,252,64.0,18.0,0.0045,100.13,2.00,,,,NaN
0.9435,258,73.7,18.0,0.0190,123.14,2.09,,,,NaN
1.1435,287,102.6,18.1,0.0070,191.06,2.28,,,,NaN
1.1745,426,108.3,18.2,0.0000,223.51,2.35,,,,NaN
1.2090,444,115.1,18.2,0.0020,259.38,2.41,,,,NaN
1.2470,462,125.0,18.2,0.0020,303.54,2.48,,,,NaN
1.2700,477,132.6,18.2,0.0015,324.30,2.51,,,,NaN
1.2900,491,140.2,18.2,0.0015,377.75,2.58,,,,NaN
1.3100,504,148.4,18.2,0.0015,402.64,2.60,,,,NaN
1.3300,517,157.0,18.2,0.0015,389.47,2.59,,,,NaN
1.3500,528,165.0,18.2,0.0020,346.48,2.54,,,,NaN
1.3720,538,172.7,18.2,0.0020,303.80,2.48,,,,NaN
1.3975,547,180.0,18.2,0.0025,266.75,2.43,,,,NaN
1.4315,556,187.6,18.3,0.0035,223.31,2.35,,,,NaN
1.4780,565,195.7,18.3,0.0050,,,,,,
1.5355,573,203.1,18.3,0.0075,,,,,,
1.6205,581,211.3,18.3,0.0105,,,,,,
1.7315,589,219.2,18.3,0.0140,,,,,,
1.8845,597,227.1,18.3,0.0195,,,,,,
Scope 1/1, Sample 6/9 (POC-395_20200909_2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-19.1,18.0,NaN,,,,,,
0.0200,21,-54.0,18.0,0.0010,,,,,,
0.0400,24,-54.5,18.0,0.0070,,,,,,
0.0900,50,-45.0,18.0,0.0020,,,,,,
0.1255,81,-33.5,18.1,0.0010,,,,,,
0.1545,111,-22.2,18.1,0.0010,,,,,,
0.1885,138,-11.6,18.1,0.0010,,,,,,
0.2530,162,-0.1,18.1,0.0025,,,,,,
0.4085,192,16.7,18.1,0.0050,,,,,,
0.6085,223,35.6,18.2,0.0065,91.19,1.96,,,,NaN
0.8025,253,56.8,18.2,0.0065,98.71,1.99,,,,NaN
0.9285,282,72.3,18.2,0.0045,120.10,2.08,,,,NaN
1.0440,288,82.9,18.2,0.0185,149.39,2.17,,,,NaN
1.2440,311,117.5,18.3,0.0090,250.15,2.40,,,,NaN
1.2685,446,124.0,18.4,0.0000,304.34,2.48,,,,NaN
1.2885,461,130.5,18.4,0.0015,331.10,2.52,,,,NaN
1.3090,474,137.8,18.4,0.0015,343.73,2.54,,,,NaN
1.3290,487,146.0,18.4,0.0015,383.96,2.58,,,,NaN
1.3490,499,155.1,18.4,0.0015,405.49,2.61,,,,NaN
1.3690,511,163.6,18.4,0.0015,364.85,2.56,,,,NaN
1.3890,520,170.9,18.4,0.0020,321.59,2.51,,,,NaN
1.4150,530,178.8,18.4,0.0025,280.06,2.45,,,,NaN
1.4460,538,186.4,18.4,0.0035,237.76,2.38,,,,NaN
1.4870,546,194.1,18.4,0.0050,190.30,2.28,,,,NaN
1.5425,554,201.8,18.4,0.0065,,,,,,
1.6185,562,209.6,18.4,0.0100,,,,,,
1.7245,569,217.7,18.4,0.0145,,,,,,
1.8685,576,225.7,18.4,0.0205,,,,,,
2.0625,584,233.6,18.4,0.0260,,,,,,
Scope 1/1, Sample 7/9 (POR-349_20200909_2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-6.3,18.1,NaN,,,,,,
0.0200,24,-49.3,18.2,0.0010,,,,,,
0.0400,28,-49.8,18.2,0.0055,,,,,,
0.0900,56,-39.5,18.2,0.0020,,,,,,
0.1200,86,-28.2,18.2,0.0010,,,,,,
0.1430,112,-19.5,18.2,0.0010,,,,,,
0.1850,142,-7.4,18.3,0.0015,,,,,,
0.2585,166,3.3,18.3,0.0030,,,,,,
0.4425,196,20.8,18.3,0.0060,,,,,,
0.6425,226,39.5,18.3,0.0065,89.97,1.95,,,,NaN
0.8150,256,58.3,18.3,0.0055,103.34,2.01,,,,NaN
0.9415,287,74.3,18.4,0.0040,127.30,2.10,,,,NaN
1.0505,307,86.4,18.4,0.0055,155.61,2.19,,,,NaN
1.2160,331,113.6,18.4,0.0070,236.69,2.37,,,,NaN
1.2490,469,121.5,18.5,0.0000,289.11,2.46,,,,NaN
1.2720,486,128.4,18.5,0.0015,320.37,2.51,,,,NaN
1.2930,502,135.8,18.5,0.0015,337.71,2.53,,,,NaN
1.3130,516,144.0,18.5,0.0015,373.49,2.57,,,,NaN
1.3330,529,152.5,18.5,0.0015,408.87,2.61,,,,NaN
1.3530,541,161.3,18.5,0.0015,374.55,2.57,,,,NaN
1.3730,552,169.0,18.5,0.0020,328.43,2.52,,,,NaN
1.3970,562,176.7,18.5,0.0025,288.98,2.46,,,,NaN
1.4270,571,184.2,18.5,0.0035,247.17,2.39,,,,NaN
1.4680,579,192.4,18.5,0.0050,198.55,2.30,,,,NaN
1.5180,587,199.7,18.6,0.0060,,,,,,
1.5920,595,207.9,18.6,0.0090,,,,,,
1.6885,603,215.7,18.6,0.0120,,,,,,
