Task,T939
Scope 1/1, Sample 1/9 (Junk)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-30.3,19.9,NaN,,,,,,
0.0200,20,-59.6,20.0,0.0010,,,,,,
0.0400,23,-59.7,20.0,0.0075,,,,,,
0.0900,43,-53.4,20.0,0.0025,,,,,,
0.1695,73,-36.8,19.9,0.0025,,,,,,
0.2160,104,-20.3,19.9,0.0015,,,,,,
0.2425,128,-10.9,19.9,0.0010,,,,,,
0.2880,152,-1.5,19.9,0.0020,,,,,,
0.4020,182,12.1,19.9,0.0035,,,,,,
0.6020,213,31.2,19.9,0.0065,88.07,1.94,,,,NaN
0.8020,243,49.9,19.9,0.0065,77.25,1.89,,,,NaN
0.9760,273,65.8,19.9,0.0060,92.39,1.97,,,,NaN
1.1575,303,82.5,19.9,0.0060,136.29,2.13,,,,NaN
1.3290,332,107.7,19.9,0.0060,224.99,2.35,,,,NaN
1.3630,469,116.2,19.8,0.0000,276.96,2.44,,,,NaN
1.3830,480,121.0,19.8,0.0020,308.30,2.49,,,,NaN
1.4180,499,132.9,19.8,0.0020,346.18,2.54,,,,NaN
1.4380,515,141.3,19.8,0.0015,376.86,2.58,,,,NaN
1.4580,529,150.3,19.8,0.0015,423.47,2.63,,,,NaN
1.4780,542,159.6,19.8,0.0015,398.62,2.60,,,,NaN
1.4980,553,167.5,19.8,0.0020,347.90,2.54,,,,NaN
1.5220,563,175.7,19.8,0.0025,302.59,2.48,,,,NaN
1.5490,572,183.1,19.8,0.0030,262.40,2.42,,,,NaN
1.5855,581,190.8,19.8,0.0040,214.37,2.33,,,,NaN
1.6340,589,198.5,19.8,0.0060,,,,,,
1.7010,597,206.6,19.8,0.0085,,,,,,
1.7900,605,214.4,19.8,0.0115,,,,,,
1.9150,613,222.4,19.8,0.0160,,,,,,
2.0825,621,230.3,19.8,0.0220,,,,,,
Scope 1/1, Sample 2/9 (INITIAL2_20200107_8)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,1.8,13.8,NaN,,,,,,
0.0200,28,-54.4,13.7,0.0005,,,,,,
0.0400,31,-55.0,13.7,0.0075,,,,,,
0.0900,48,-49.2,13.7,0.0030,,,,,,
0.1860,78,-28.9,13.8,0.0030,,,,,,
0.2270,108,-10.3,14.0,0.0015,,,,,,
0.2470,130,-2.0,14.0,0.0010,,,,,,
0.2895,146,3.1,14.1,0.0025,,,,,,
0.3955,176,14.2,14.2,0.0035,,,,,,
0.5705,206,29.5,14.3,0.0060,,,,,,
0.7705,213,40.6,14.3,0.0295,75.42,1.88,,,,NaN
0.9705,243,62.6,14.4,0.0065,116.39,2.07,,,,NaN
1.0760,248,76.0,14.4,0.0205,152.37,2.18,,,,NaN
1.1855,278,94.7,14.5,0.0035,206.91,2.32,,,,NaN
1.2555,285,106.8,14.6,0.0095,259.68,2.41,,,,NaN
1.3010,424,120.1,14.9,0.0005,314.79,2.50,,,,NaN
1.3210,436,126.3,15.0,0.0015,333.79,2.52,,,,NaN
1.3455,452,135.5,15.0,0.0015,358.11,2.55,,,,NaN
1.3655,467,144.2,15.0,0.0015,408.03,2.61,,,,NaN
1.3855,482,153.5,15.1,0.0015,412.71,2.62,,,,NaN
1.4055,494,161.9,15.1,0.0015,369.25,2.57,,,,NaN
1.4260,505,169.5,15.1,0.0020,322.40,2.51,,,,NaN
1.4510,515,177.3,15.2,0.0025,282.39,2.45,,,,NaN
1.4815,525,184.7,15.2,0.0030,239.25,2.38,,,,NaN
1.5245,535,192.5,15.2,0.0045,188.52,2.28,,,,NaN
1.5825,544,200.4,15.2,0.0065,,,,,,
1.6605,552,208.2,15.2,0.0095,,,,,,
1.7685,562,216.3,15.3,0.0110,,,,,,
1.9145,570,224.0,15.3,0.0185,,,,,,
2.1145,578,231.9,15.3,0.0240,,,,,,
Scope 1/1, Sample 3/9 (POR-381_20200107_8)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-0.4,14.8,NaN,,,,,,
0.0200,28,-53.6,14.8,0.0005,,,,,,
0.0400,31,-53.9,14.8,0.0075,,,,,,
0.0900,55,-45.7,14.8,0.0020,,,,,,
0.1380,85,-32.5,14.9,0.0015,,,,,,
0.1720,115,-18.3,15.0,0.0010,,,,,,
0.1975,142,-8.7,15.1,0.0010,,,,,,
0.2450,159,-1.0,15.1,0.0030,,,,,,
0.3640,189,12.3,15.2,0.0040,,,,,,
0.5640,219,29.6,15.3,0.0065,,,,,,
0.7640,249,48.0,15.4,0.0065,90.60,1.96,,,,NaN
0.9290,280,66.8,15.4,0.0055,120.51,2.08,,,,NaN
1.0415,307,81.7,15.5,0.0040,153.42,2.19,,,,NaN
1.1450,325,95.6,15.6,0.0055,198.97,2.30,,,,NaN
1.2620,344,120.3,15.6,0.0065,292.13,2.47,,,,NaN
1.2860,480,128.1,15.9,0.0000,332.08,2.52,,,,NaN
1.3060,495,135.6,15.9,0.0015,342.99,2.54,,,,NaN
1.3260,511,143.9,15.9,0.0015,360.61,2.56,,,,NaN
1.3460,523,153.1,16.0,0.0015,408.99,2.61,,,,NaN
1.3660,535,161.9,16.0,0.0015,373.47,2.57,,,,NaN
1.3860,546,169.5,16.0,0.0020,326.87,2.51,,,,NaN
1.4105,555,177.0,16.0,0.0025,286.62,2.46,,,,NaN
1.4430,565,185.0,16.0,0.0035,240.59,2.38,,,,NaN
1.4830,574,192.6,16.1,0.0045,192.78,2.29,,,,NaN
1.5380,583,200.2,16.1,0.0065,,,,,,
1.6160,591,208.3,16.1,0.0100,,,,,,
1.7200,599,216.2,16.1,0.0125,,,,,,
1.8640,608,224.1,16.1,0.0165,,,,,,
2.0620,616,232.1,16.2,0.0240,,,,,,
Scope 1/1, Sample 4/9 (ACR-364_20200107_8)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-2.7,15.7,NaN,,,,,,
