Task,T981
Scope 1/1, Sample 1/2 (JUNK 1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-14.2,20.3,NaN,,,,,,
0.0200,21,-56.0,20.3,0.0010,,,,,,
0.0400,24,-56.4,20.3,0.0065,,,,,,
0.0900,51,-47.2,20.3,0.0020,,,,,,
0.1275,81,-35.7,20.3,0.0010,,,,,,
0.1590,110,-24.6,20.3,0.0010,,,,,,
0.1990,138,-13.0,20.3,0.0015,,,,,,
0.2660,164,-0.7,20.2,0.0025,,,,,,
0.4025,194,14.9,20.2,0.0045,,,,,,
0.6025,225,33.2,20.2,0.0065,83.03,1.92,,,,NaN
0.8025,255,52.4,20.2,0.0065,87.11,1.94,,,,NaN
0.9620,285,69.2,20.2,0.0055,117.49,2.07,,,,NaN
1.1000,309,85.0,20.2,0.0060,164.53,2.22,,,,NaN
1.2290,338,108.0,20.2,0.0045,244.80,2.39,,,,NaN
1.2580,473,115.3,20.2,0.0000,293.80,2.47,,,,NaN
1.2805,488,121.7,20.2,0.0015,328.03,2.52,,,,NaN
1.3060,506,130.6,20.2,0.0015,356.16,2.55,,,,NaN
1.3260,521,138.9,20.2,0.0015,395.30,2.60,,,,NaN
1.3460,535,148.4,20.2,0.0015,440.47,2.64,,,,NaN
1.3660,547,157.8,20.2,0.0015,412.09,2.61,,,,NaN
1.3860,559,166.3,20.2,0.0015,358.57,2.55,,,,NaN
1.4065,569,173.3,20.1,0.0020,316.31,2.50,,,,NaN
1.4355,578,181.6,20.1,0.0030,269.85,2.43,,,,NaN
1.4690,586,189.0,20.1,0.0040,222.81,2.35,,,,NaN
1.5155,594,196.7,20.1,0.0055,,,,,,
1.5810,602,204.8,20.1,0.0075,,,,,,
1.6665,610,212.6,20.1,0.0110,,,,,,
1.7875,618,220.6,20.1,0.0160,,,,,,
1.9510,625,228.5,20.1,0.0230,,,,,,
Scope 1/1, Sample 2/2 (CRM 1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-10.3,19.9,NaN,,,,,,
0.0200,24,-53.0,19.9,0.0010,,,,,,
0.0400,28,-53.4,19.9,0.0055,,,,,,
0.0900,58,-41.8,19.9,0.0015,,,,,,
0.1140,84,-32.6,19.9,0.0010,,,,,,
0.1395,110,-23.3,19.9,0.0010,,,,,,
0.1850,140,-10.2,19.9,0.0015,,,,,,
0.2555,162,0.0,19.9,0.0030,,,,,,
0.4315,192,18.8,19.9,0.0060,,,,,,
0.6315,222,38.8,19.9,0.0065,89.90,1.95,,,,NaN
0.8015,252,58.6,19.9,0.0055,101.73,2.01,,,,NaN
0.9185,280,70.9,19.9,0.0040,125.04,2.10,,,,NaN
1.0880,309,91.4,19.9,0.0060,180.91,2.26,,,,NaN
1.2030,333,114.0,19.9,0.0050,266.53,2.43,,,,NaN
1.2280,469,120.8,19.9,0.0000,313.88,2.50,,,,NaN
1.2495,485,127.8,19.9,0.0015,340.13,2.53,,,,NaN
1.2700,500,135.7,19.9,0.0015,356.80,2.55,,,,NaN
1.2900,515,144.5,19.9,0.0015,408.06,2.61,,,,NaN
1.3100,528,153.7,19.9,0.0015,422.17,2.63,,,,NaN
1.3300,540,162.2,19.9,0.0015,378.96,2.58,,,,NaN
1.3505,550,170.3,19.9,0.0020,329.45,2.52,,,,NaN
1.3725,559,177.2,19.9,0.0025,292.29,2.47,,,,NaN
1.4045,568,185.1,19.9,0.0035,244.85,2.39,,,,NaN
1.4455,577,193.1,19.9,0.0045,195.06,2.29,,,,NaN
1.4970,586,200.4,19.9,0.0060,,,,,,
1.5745,593,208.6,19.9,0.0105,,,,,,
1.6765,600,216.5,19.9,0.0140,,,,,,
1.8150,607,224.4,19.9,0.0185,,,,,,
2.0085,615,232.4,19.9,0.0235,,,,,,
