Task,T985
Scope 1/1, Sample 1/9 (JUNK 1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-10.3,19.8,NaN,,,,,,
0.0200,24,-54.4,19.8,0.0010,,,,,,
0.0400,27,-54.7,19.8,0.0065,,,,,,
0.0900,55,-45.2,19.8,0.0020,,,,,,
0.1250,85,-33.9,19.8,0.0010,,,,,,
0.1540,115,-23.0,19.8,0.0010,,,,,,
0.1910,141,-12.3,19.8,0.0015,,,,,,
0.2625,166,-0.2,19.8,0.0030,,,,,,
0.4250,196,17.8,19.8,0.0055,,,,,,
0.6250,226,37.1,19.8,0.0065,82.74,1.92,,,,NaN
0.8155,256,55.6,19.8,0.0060,94.03,1.97,,,,NaN
0.9795,287,73.7,19.8,0.0055,132.03,2.12,,,,NaN
1.1075,313,90.1,19.8,0.0050,184.49,2.27,,,,NaN
1.2140,339,111.0,19.8,0.0040,264.64,2.42,,,,NaN
1.2405,471,117.8,19.7,0.0000,312.97,2.50,,,,NaN
1.2645,488,125.9,19.7,0.0015,348.17,2.54,,,,NaN
1.2845,503,133.5,19.7,0.0015,367.57,2.57,,,,NaN
1.3045,518,142.4,19.7,0.0015,418.65,2.62,,,,NaN
1.3245,532,151.8,19.7,0.0015,443.61,2.65,,,,NaN
1.3445,545,161.4,19.7,0.0015,400.83,2.60,,,,NaN
1.3645,556,169.5,19.7,0.0020,346.99,2.54,,,,NaN
1.3875,567,177.2,19.7,0.0020,304.51,2.48,,,,NaN
1.4165,575,184.7,19.7,0.0035,259.49,2.41,,,,NaN
1.4575,584,193.0,19.7,0.0045,205.22,2.31,,,,NaN
1.5070,592,200.4,19.7,0.0060,,,,,,
1.5800,600,208.6,19.7,0.0090,,,,,,
1.6745,608,216.3,19.7,0.0125,,,,,,
1.8075,614,224.3,19.7,0.0205,,,,,,
1.9905,621,232.2,19.7,0.0250,,,,,,
Scope 1/1, Sample 2/9 (POC-378_20200107_7)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,0.4,16.5,NaN,,,,,,
0.0200,28,-53.1,16.5,0.0005,,,,,,
0.0400,31,-53.5,16.5,0.0075,,,,,,
0.0900,54,-45.7,16.5,0.0020,,,,,,
0.1420,84,-31.2,16.6,0.0015,,,,,,
0.1740,115,-17.5,16.6,0.0010,,,,,,
0.1985,138,-9.0,16.7,0.0010,,,,,,
0.2555,158,-0.6,16.7,0.0030,,,,,,
0.3980,188,16.1,16.7,0.0050,,,,,,
0.5710,218,31.0,16.8,0.0055,87.77,1.94,,,,NaN
0.7710,248,50.2,16.9,0.0065,90.83,1.96,,,,NaN
0.9185,279,66.1,16.9,0.0050,111.27,2.05,,,,NaN
1.0525,304,81.6,16.9,0.0055,143.36,2.16,,,,NaN
1.1795,324,100.0,17.0,0.0065,196.98,2.29,,,,NaN
1.2235,457,108.5,17.2,0.0005,237.95,2.38,,,,NaN
1.2545,475,115.7,17.2,0.0020,275.86,2.44,,,,NaN
1.2835,490,123.7,17.2,0.0020,311.17,2.49,,,,NaN
1.3075,506,131.8,17.2,0.0015,342.63,2.53,,,,NaN
1.3275,521,139.6,17.2,0.0015,393.35,2.59,,,,NaN
1.3475,535,148.5,17.3,0.0015,418.00,2.62,,,,NaN
1.3675,548,157.5,17.3,0.0015,397.66,2.60,,,,NaN
1.3875,559,165.6,17.3,0.0020,347.87,2.54,,,,NaN
1.4095,570,173.2,17.3,0.0020,305.99,2.49,,,,NaN
1.4370,579,180.8,17.3,0.0030,265.02,2.42,,,,NaN
1.4735,589,188.9,17.3,0.0035,217.03,2.34,,,,NaN
1.5180,598,196.1,17.3,0.0050,,,,,,
1.5845,607,204.3,17.3,0.0075,,,,,,
1.6705,614,212.1,17.3,0.0115,,,,,,
1.7900,622,220.1,17.4,0.0140,,,,,,
1.9540,630,227.9,17.4,0.0210,,,,,,
Scope 1/1, Sample 3/9 (POR-383_20200107_7)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,0.7,16.7,NaN,,,,,,
0.0200,28,-52.1,16.7,0.0005,,,,,,
0.0400,31,-52.3,16.7,0.0075,,,,,,
0.0900,56,-44.0,16.7,0.0020,,,,,,
0.1355,86,-30.6,16.8,0.0015,,,,,,
0.1665,116,-17.6,16.8,0.0010,,,,,,
0.1930,142,-8.9,16.8,0.0010,,,,,,
0.2545,162,-0.4,16.9,0.0030,,,,,,
0.4085,192,15.8,16.9,0.0050,,,,,,
0.6085,222,32.6,17.0,0.0065,,,,,,
0.8085,253,52.4,17.0,0.0065,99.44,2.00,,,,NaN
0.9465,283,69.6,17.1,0.0045,126.01,2.10,,,,NaN
1.0490,309,82.9,17.1,0.0040,154.69,2.19,,,,NaN
1.1665,329,99.1,17.1,0.0060,204.69,2.31,,,,NaN
1.2765,348,123.4,17.1,0.0055,296.73,2.47,,,,NaN
1.2990,482,130.5,17.3,0.0000,330.23,2.52,,,,NaN
1.3190,496,138.1,17.3,0.0015,338.48,2.53,,,,NaN
1.3390,510,146.4,17.3,0.0015,354.79,2.55,,,,NaN
1.3590,524,155.6,17.3,0.0015,400.59,2.60,,,,NaN
1.3790,535,164.0,17.4,0.0020,358.53,2.55,,,,NaN
1.3995,546,171.4,17.4,0.0020,316.02,2.50,,,,NaN
1.4255,556,179.0,17.4,0.0025,275.79,2.44,,,,NaN
1.4590,564,186.8,17.4,0.0040,230.17,2.36,,,,NaN
1.5025,573,194.6,17.4,0.0045,181.88,2.26,,,,NaN
1.5615,582,202.4,17.4,0.0065,,,,,,
1.6425,590,210.2,17.4,0.0095,,,,,,
1.7550,598,218.2,17.4,0.0140,,,,,,
1.9070,606,226.2,17.4,0.0195,,,,,,
2.1070,614,233.8,17.5,0.0265,,,,,,
Scope 1/1, Sample 4/9 (POC-358_20200107_7)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,0.4,17.0,NaN,,,,,,
0.0200,27,-52.1,17.0,0.0010,,,,,,
0.0400,30,-52.6,17.0,0.0070,,,,,,
0.0900,55,-44.3,17.0,0.0020,,,,,,
0.1360,85,-31.0,17.0,0.0015,,,,,,
0.1680,115,-17.9,17.1,0.0010,,,,,,
0.1955,140,-9.0,17.1,0.0010,,,,,,
0.2570,161,-0.3,17.1,0.0030,,,,,,
0.4110,191,15.9,17.2,0.0050,,,,,,
0.6110,221,32.4,17.2,0.0065,87.08,1.94,,,,NaN
0.8110,251,51.8,17.3,0.0065,98.65,1.99,,,,NaN
0.9525,282,69.9,17.3,0.0045,120.12,2.08,,,,NaN
1.0470,305,81.2,17.3,0.0040,140.68,2.15,,,,NaN
1.1885,328,100.3,17.4,0.0060,189.70,2.28,,,,NaN
1.2410,454,110.0,17.5,0.0005,233.15,2.37,,,,NaN
1.2725,474,117.2,17.5,0.0015,270.09,2.43,,,,NaN
1.3015,492,125.1,17.5,0.0015,304.18,2.48,,,,NaN
1.3260,502,132.9,17.5,0.0025,334.77,2.52,,,,NaN
1.3475,517,141.7,17.6,0.0015,384.46,2.58,,,,NaN
1.3675,532,150.5,17.6,0.0015,408.95,2.61,,,,NaN
1.3875,545,159.2,17.6,0.0015,384.64,2.59,,,,NaN
1.4075,556,166.8,17.6,0.0020,336.77,2.53,,,,NaN
1.4310,567,174.6,17.6,0.0020,295.26,2.47,,,,NaN
1.4590,577,182.2,17.6,0.0030,255.51,2.41,,,,NaN
1.4950,586,189.8,17.6,0.0040,210.52,2.32,,,,NaN
1.5440,595,197.5,17.6,0.0055,,,,,,
1.6130,603,205.6,17.6,0.0085,,,,,,
1.7045,611,213.6,17.7,0.0115,,,,,,
1.8275,619,221.3,17.7,0.0155,,,,,,
2.0030,627,229.4,17.7,0.0230,,,,,,
Scope 1/1, Sample 5/9 (ACR-393_20200106_6)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,2.0,17.3,NaN,,,,,,
0.0200,28,-51.1,17.4,0.0005,,,,,,
0.0400,31,-51.7,17.4,0.0075,,,,,,
0.0900,58,-42.9,17.4,0.0020,,,,,,
0.1320,89,-30.3,17.4,0.0015,,,,,,
0.1630,119,-18.2,17.5,0.0010,,,,,,
0.1945,146,-8.5,17.5,0.0010,,,,,,
0.2615,166,-0.1,17.5,0.0035,,,,,,
0.4290,197,16.4,17.6,0.0055,,,,,,
0.6290,227,34.2,17.6,0.0065,84.25,1.93,,,,NaN
0.8275,257,52.8,17.6,0.0065,99.50,2.00,,,,NaN
0.9885,287,72.0,17.7,0.0055,128.34,2.11,,,,NaN
1.0940,316,87.0,17.7,0.0035,156.76,2.20,,,,NaN
1.1885,338,100.6,17.7,0.0040,197.20,2.29,,,,NaN
1.2435,477,110.1,17.8,0.0005,242.95,2.39,,,,NaN
1.2825,496,119.7,17.9,0.0020,293.72,2.47,,,,NaN
1.3050,514,126.6,17.9,0.0015,319.21,2.50,,,,NaN
1.3265,530,134.3,17.9,0.0015,353.13,2.55,,,,NaN
1.3465,545,142.5,17.9,0.0015,408.30,2.61,,,,NaN
1.3665,559,152.0,17.9,0.0015,423.14,2.63,,,,NaN
1.3865,572,161.0,17.9,0.0015,385.66,2.59,,,,NaN
1.4065,583,168.7,17.9,0.0020,336.44,2.53,,,,NaN
1.4310,594,176.6,17.9,0.0020,293.98,2.47,,,,NaN
1.4605,603,184.2,17.9,0.0030,251.13,2.40,,,,NaN
1.4990,612,191.9,18.0,0.0040,202.36,2.31,,,,NaN
1.5505,620,199.5,18.0,0.0065,,,,,,
1.6245,628,207.7,18.0,0.0090,,,,,,
1.7210,636,215.5,18.0,0.0120,,,,,,
1.8540,644,223.5,18.0,0.0175,,,,,,
2.0380,652,231.4,18.0,0.0245,,,,,,
Scope 1/1, Sample 6/9 (ACR-379_20200107_7)
Result,TitrationEQP1
