Task,T1046
Scope 1/1, Sample 1/9 (POR-387_20200108_9)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-6.6,22.8,NaN,,,,,,
0.0200,23,-49.0,22.9,0.0010,,,,,,
0.0400,26,-49.4,22.9,0.0060,,,,,,
0.0900,57,-35.0,22.9,0.0015,,,,,,
0.1100,82,-25.6,22.9,0.0010,,,,,,
0.1310,103,-18.1,22.9,0.0010,,,,,,
0.1835,133,-2.8,22.9,0.0015,,,,,,
0.2500,164,9.3,22.8,0.0020,,,,,,
0.3915,194,25.6,22.8,0.0045,,,,,,
0.5915,224,45.5,22.8,0.0065,95.01,1.98,,,,NaN
0.7770,254,67.8,22.8,0.0060,121.30,2.08,,,,NaN
0.8880,282,84.1,22.8,0.0040,162.37,2.21,,,,NaN
0.9765,303,97.3,22.7,0.0040,209.27,2.32,,,,NaN
1.0815,324,120.3,22.7,0.0050,298.04,2.47,,,,NaN
1.1065,460,127.0,22.7,0.0000,340.28,2.53,,,,NaN
1.1310,474,136.2,22.7,0.0015,360.92,2.56,,,,NaN
1.1510,488,145.7,22.7,0.0015,385.14,2.59,,,,NaN
1.1710,501,155.4,22.6,0.0015,433.44,2.64,,,,NaN
1.1910,512,165.0,22.6,0.0020,407.68,2.61,,,,NaN
1.2110,522,173.1,22.6,0.0020,351.32,2.55,,,,NaN
1.2345,530,180.9,22.6,0.0030,306.80,2.49,,,,NaN
1.2635,539,188.6,22.6,0.0030,260.24,2.42,,,,NaN
1.3015,547,196.3,22.6,0.0050,,,,,,
1.3530,554,204.2,22.6,0.0075,,,,,,
1.4235,561,212.2,22.6,0.0105,,,,,,
1.5180,568,220.1,22.6,0.0140,,,,,,
1.6460,574,228.0,22.6,0.0205,,,,,,
Scope 1/1, Sample 2/9 (ACR-145_20200111_14)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-4.8,23.5,NaN,,,,,,
0.0200,22,-46.0,23.6,0.0010,,,,,,
0.0400,26,-46.3,23.6,0.0055,,,,,,
0.0900,56,-29.1,23.6,0.0015,,,,,,
0.1100,80,-19.0,23.5,0.0010,,,,,,
0.1315,101,-11.9,23.5,0.0010,,,,,,
