Task,T1118
Scope 1/1, Sample 1/1 (CRM 1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,8.8,20.1,NaN,,,,,,
0.0200,28,-50.7,20.2,0.0005,,,,,,
0.0400,31,-51.4,20.2,0.0075,,,,,,
0.0900,61,-41.4,20.2,0.0015,,,,,,
0.1220,91,-30.0,20.2,0.0010,,,,,,
0.1470,119,-20.3,20.1,0.0010,,,,,,
0.1855,143,-10.1,20.1,0.0015,,,,,,
0.2725,171,3.2,20.1,0.0030,,,,,,
0.4560,201,19.8,20.1,0.0060,,,,,,
0.6560,231,38.1,20.1,0.0065,87.90,1.94,,,,NaN
0.8285,262,57.0,20.0,0.0055,112.20,2.05,,,,NaN
0.9505,292,73.5,20.0,0.0040,143.84,2.16,,,,NaN
1.0460,317,87.3,20.0,0.0040,178.58,2.25,,,,NaN
1.1490,344,105.4,20.0,0.0040,237.61,2.38,,,,NaN
1.1865,486,114.2,19.9,0.0005,282.92,2.45,,,,NaN
1.2120,504,120.9,19.9,0.0015,314.07,2.50,,,,NaN
1.2395,524,130.1,19.9,0.0015,348.35,2.54,,,,NaN
1.2595,542,138.3,19.9,0.0010,384.45,2.58,,,,NaN
1.2795,557,147.5,19.8,0.0015,434.31,2.64,,,,NaN
1.2995,571,156.9,19.8,0.0015,420.82,2.62,,,,NaN
1.3195,583,165.4,19.8,0.0015,370.70,2.57,,,,NaN
1.3405,594,173.2,19.8,0.0020,322.17,2.51,,,,NaN
1.3655,603,180.7,19.8,0.0030,281.35,2.45,,,,NaN
1.3980,612,188.2,19.8,0.0035,234.47,2.37,,,,NaN
1.4425,621,196.2,19.8,0.0050,,,,,,
1.5000,628,203.8,19.8,0.0080,,,,,,
1.5825,637,212.0,19.8,0.0095,,,,,,
1.6910,645,219.8,19.8,0.0140,,,,,,
1.8435,653,227.8,19.8,0.0200,,,,,,
