Task,T1121
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,177.1,20.3
2,177.1,20.3
3,177.1,20.3
4,177.0,20.3
5,177.0,20.3
6,177.0,20.3
7,177.0,20.3
8,177.1,20.3
9,177.0,20.3
10,177.0,20.3
11,177.1,20.3
12,177.1,20.3
13,177.1,20.3
14,177.0,20.3
15,177.0,20.3
16,177.0,20.3
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,3.6,20.2
2,3.7,20.2
3,3.6,20.2
4,3.6,20.2
5,3.6,20.2
6,3.6,20.2
7,3.6,20.2
8,3.6,20.2
9,3.6,20.2
10,3.6,20.2
11,3.6,20.2
12,3.6,20.2
13,3.6,20.2
14,3.6,20.2
15,3.6,20.2
16,3.6,20.2
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-170.6,20.1
2,-170.6,20.1
3,-170.6,20.1
4,-170.5,20.1
5,-170.6,20.1
6,-170.6,20.1
7,-170.6,20.1
8,-170.6,20.1
9,-170.6,20.1
10,-170.7,20.1
11,-170.6,20.1
12,-170.6,20.1
13,-170.6,20.1
14,-170.6,20.1
15,-170.6,20.1
16,-170.6,20.1
