Task,T1137
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,176.7,20.4
2,176.7,20.4
3,176.7,20.4
4,176.7,20.4
5,176.7,20.4
6,176.7,20.4
7,176.7,20.4
8,176.7,20.4
9,176.7,20.4
10,176.7,20.4
11,176.6,20.4
12,176.6,20.4
13,176.7,20.4
14,176.7,20.4
15,176.6,20.4
16,176.7,20.4
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,3.4,20.3
2,3.5,20.3
3,3.4,20.3
4,3.4,20.3
5,3.5,20.3
6,3.4,20.3
7,3.4,20.3
8,3.4,20.3
9,3.4,20.3
10,3.4,20.3
11,3.4,20.3
12,3.4,20.3
13,3.4,20.3
14,3.4,20.3
15,3.5,20.3
16,3.4,20.3
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-170.9,20.1
2,-170.9,20.1
3,-170.9,20.1
4,-170.9,20.1
5,-170.9,20.1
6,-170.9,20.1
7,-170.9,20.1
8,-171.0,20.1
9,-171.0,20.1
10,-171.0,20.1
11,-171.0,20.1
12,-171.0,20.1
13,-171.0,20.1
14,-171.0,20.1
15,-171.0,20.1
16,-171.0,20.1
