Task,T1185
Scope 1/1, Sample 1/2 (JUNK 1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-6.2,20.2,NaN,,,,,,
0.0200,25,-52.1,20.1,0.0010,,,,,,
0.0400,28,-52.6,20.1,0.0070,,,,,,
0.0900,58,-41.0,20.1,0.0015,,,,,,
0.1140,88,-30.5,20.1,0.0010,,,,,,
0.1340,112,-22.9,20.1,0.0010,,,,,,
0.1835,142,-9.8,20.1,0.0015,,,,,,
0.2685,171,3.1,20.1,0.0030,,,,,,
0.4535,201,19.6,20.1,0.0060,,,,,,
0.6535,231,38.0,20.0,0.0065,97.03,1.99,,,,NaN
0.8240,261,59.7,20.0,0.0055,128.89,2.11,,,,NaN
0.9140,292,74.6,20.0,0.0030,159.31,2.20,,,,NaN
0.9885,318,85.7,20.0,0.0030,190.66,2.28,,,,NaN
1.1085,346,108.0,20.0,0.0040,268.58,2.43,,,,NaN
1.1430,488,116.7,20.0,0.0000,326.67,2.51,,,,NaN
1.1660,507,124.4,20.0,0.0010,356.26,2.55,,,,NaN
1.1860,524,132.5,20.0,0.0010,383.88,2.58,,,,NaN
1.2060,539,142.0,19.9,0.0015,431.77,2.64,,,,NaN
1.2260,554,152.4,19.9,0.0015,469.00,2.67,,,,NaN
1.2460,567,162.1,19.9,0.0015,416.81,2.62,,,,NaN
1.2660,578,170.7,19.9,0.0020,357.38,2.55,,,,NaN
1.2875,589,177.9,19.9,0.0020,315.27,2.50,,,,NaN
1.3180,597,185.9,19.9,0.0035,263.64,2.42,,,,NaN
1.3575,606,193.8,19.9,0.0045,207.65,2.32,,,,NaN
1.4085,614,201.4,19.9,0.0065,,,,,,
1.4810,621,209.5,19.9,0.0100,,,,,,
1.5780,628,217.3,19.9,0.0135,,,,,,
1.7135,635,225.4,19.9,0.0190,,,,,,
1.8985,642,233.4,19.9,0.0255,,,,,,
Scope 1/1, Sample 2/2 (CRM)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,12.3,20.0,NaN,,,,,,
0.0200,28,-50.2,20.0,0.0005,,,,,,
0.0400,31,-51.0,20.0,0.0075,,,,,,
0.0900,61,-41.3,20.0,0.0015,,,,,,
0.1235,91,-29.5,20.0,0.0010,,,,,,
0.1490,121,-19.4,20.0,0.0010,,,,,,
0.1850,147,-10.4,20.0,0.0015,,,,,,
0.2750,176,3.1,20.0,0.0030,,,,,,
0.4545,206,19.6,20.0,0.0060,,,,,,
0.6545,237,37.2,20.0,0.0065,83.83,1.92,,,,NaN
0.8460,267,56.5,19.9,0.0065,113.18,2.05,,,,NaN
0.9845,297,76.1,19.9,0.0045,153.31,2.19,,,,NaN
1.0655,325,89.3,19.9,0.0030,187.54,2.27,,,,NaN
1.1510,350,104.1,19.9,0.0035,240.04,2.38,,,,NaN
1.1945,492,114.6,19.9,0.0005,288.43,2.46,,,,NaN
1.2180,510,120.9,19.9,0.0015,316.21,2.50,,,,NaN
1.2450,530,130.0,19.9,0.0015,350.23,2.54,,,,NaN
1.2650,548,138.4,19.9,0.0010,390.60,2.59,,,,NaN
1.2850,563,147.6,19.9,0.0015,433.55,2.64,,,,NaN
1.3050,577,157.0,19.9,0.0015,419.09,2.62,,,,NaN
1.3250,589,165.4,19.9,0.0015,366.88,2.56,,,,NaN
1.3460,600,173.2,19.9,0.0020,319.66,2.50,,,,NaN
1.3705,609,180.4,19.9,0.0025,280.00,2.45,,,,NaN
1.4045,619,188.2,19.9,0.0035,230.95,2.36,,,,NaN
1.4495,627,196.0,19.9,0.0055,,,,,,
1.5090,635,203.8,19.9,0.0075,,,,,,
1.5915,643,211.8,19.8,0.0105,,,,,,
1.7025,650,219.7,19.8,0.0150,,,,,,
1.8575,658,227.7,19.8,0.0205,,,,,,
