Task,T1184
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,176.7,20.3
2,176.7,20.3
3,176.6,20.3
4,176.6,20.3
5,176.6,20.3
6,176.6,20.3
7,176.7,20.3
8,176.7,20.3
9,176.7,20.3
10,176.7,20.3
11,176.6,20.3
12,176.7,20.3
13,176.7,20.3
14,176.6,20.3
15,176.6,20.3
16,176.6,20.3
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,3.4,20.2
2,3.5,20.2
3,3.4,20.2
4,3.3,20.2
5,3.4,20.2
6,3.3,20.2
7,3.3,20.2
8,3.3,20.2
9,3.4,20.2
10,3.4,20.2
11,3.4,20.2
12,3.4,20.2
13,3.4,20.2
14,3.4,20.2
15,3.4,20.2
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-170.7,20.1
2,-170.8,20.1
3,-170.8,20.1
4,-170.8,20.1
5,-170.8,20.1
6,-170.8,20.1
7,-170.8,20.1
8,-170.8,20.1
9,-170.9,20.1
10,-170.9,20.1
11,-170.9,20.1
12,-170.8,20.1
13,-170.9,20.1
14,-170.8,20.1
15,-170.9,20.1
