Task,T1205
Scope 1/1, Sample 1/9 (JUNK 1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-25.0,19.4,NaN,,,,,,
0.0200,21,-65.6,19.4,0.0010,,,,,,
0.0400,24,-66.0,19.4,0.0060,,,,,,
0.0900,38,-62.0,19.4,0.0035,,,,,,
0.2150,68,-41.1,19.4,0.0040,,,,,,
0.2610,98,-21.8,19.4,0.0015,,,,,,
0.2810,124,-11.2,19.4,0.0010,,,,,,
0.3050,141,-5.9,19.4,0.0015,,,,,,
0.3650,164,3.0,19.4,0.0025,,,,,,
0.5150,195,18.2,19.4,0.0050,,,,,,
0.7150,225,34.5,19.4,0.0065,80.39,1.91,,,,NaN
0.9150,255,53.8,19.4,0.0065,96.82,1.99,,,,NaN
1.0555,285,69.5,19.4,0.0045,125.37,2.10,,,,NaN
1.1795,313,85.8,19.4,0.0045,167.48,2.22,,,,NaN
1.2830,342,103.0,19.5,0.0035,226.12,2.35,,,,NaN
1.3210,484,112.2,19.5,0.0005,270.90,2.43,,,,NaN
1.3435,498,117.5,19.5,0.0015,299.61,2.48,,,,NaN
1.3785,513,128.0,19.5,0.0025,344.88,2.54,,,,NaN
1.3990,532,136.4,19.5,0.0010,378.12,2.58,,,,NaN
1.4190,549,145.3,19.5,0.0010,430.39,2.63,,,,NaN
1.4390,564,154.8,19.5,0.0015,435.93,2.64,,,,NaN
1.4590,577,164.0,19.5,0.0015,390.88,2.59,,,,NaN
1.4790,588,171.8,19.5,0.0020,336.48,2.53,,,,NaN
1.5030,598,179.5,19.5,0.0025,294.60,2.47,,,,NaN
1.5335,607,187.0,19.5,0.0035,248.68,2.40,,,,NaN
1.5760,616,195.1,19.5,0.0045,195.18,2.29,,,,NaN
1.6295,624,202.6,19.5,0.0065,,,,,,
1.7080,632,210.9,19.5,0.0095,,,,,,
1.8095,640,218.6,19.5,0.0125,,,,,,
1.9530,647,226.7,19.5,0.0195,,,,,,
2.1470,654,234.6,19.5,0.0260,,,,,,
Scope 1/1, Sample 2/9 (ACR-150_20201106_9)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,13.2,19.2,NaN,,,,,,
0.0200,28,-47.7,19.3,0.0005,,,,,,
0.0400,31,-48.2,19.3,0.0075,,,,,,
0.0900,61,-35.6,19.3,0.0015,,,,,,
0.1105,87,-26.2,19.3,0.0010,,,,,,
0.1305,110,-18.3,19.3,0.0010,,,,,,
0.1775,140,-4.8,19.3,0.0015,,,,,,
0.2550,156,3.5,19.3,0.0050,,,,,,
0.4490,186,23.8,19.3,0.0065,,,,,,
0.6050,216,44.0,19.3,0.0050,106.49,2.03,,,,NaN
0.7045,247,57.2,19.4,0.0035,118.32,2.07,,,,NaN
