Task,T1201
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,177.0,20.4
2,177.0,20.4
3,177.0,20.4
4,177.0,20.4
5,176.9,20.4
6,176.9,20.4
7,176.9,20.4
8,176.9,20.4
9,176.9,20.4
10,177.0,20.4
11,176.9,20.4
12,177.0,20.4
13,177.0,20.4
14,177.0,20.4
15,176.9,20.4
16,176.9,20.4
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,3.5,20.3
2,3.5,20.3
3,3.5,20.3
4,3.5,20.3
5,3.5,20.3
6,3.5,20.3
7,3.5,20.3
8,3.5,20.3
9,3.5,20.3
10,3.5,20.3
11,3.5,20.3
12,3.5,20.3
13,3.5,20.3
14,3.5,20.3
15,3.5,20.3
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-170.6,20.3
2,-170.6,20.3
3,-170.6,20.3
4,-170.7,20.3
5,-170.7,20.3
6,-170.9,20.3
7,-170.7,20.3
8,-170.6,20.3
9,-170.7,20.3
10,-170.7,20.3
11,-170.7,20.3
12,-170.7,20.3
13,-170.7,20.3
14,-170.7,20.3
15,-170.7,20.3
