Task,T1209
Scope 1/1, Sample 1/9 (JUNK)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-31.7,19.9,NaN,,,,,,
0.0200,21,-66.5,19.9,0.0010,,,,,,
0.0400,24,-66.7,19.9,0.0070,,,,,,
0.0900,43,-60.3,19.9,0.0025,,,,,,
0.1665,73,-42.9,19.9,0.0025,,,,,,
0.2065,103,-26.9,19.9,0.0015,,,,,,
0.2290,132,-15.8,19.9,0.0010,,,,,,
0.2555,152,-9.0,19.9,0.0015,,,,,,
0.3215,181,3.0,19.9,0.0025,,,,,,
0.4475,211,17.2,19.9,0.0040,,,,,,
0.6475,241,35.6,19.9,0.0065,83.37,1.92,,,,NaN
0.8475,271,55.8,19.9,0.0065,121.24,2.08,,,,NaN
0.9930,302,78.8,19.9,0.0050,185.70,2.27,,,,NaN
1.0575,328,91.2,19.9,0.0025,233.01,2.37,,,,NaN
1.1255,351,105.9,19.9,0.0030,305.91,2.49,,,,NaN
1.1585,492,115.3,19.8,0.0000,365.61,2.56,,,,NaN
1.1800,511,122.9,19.8,0.0010,393.84,2.60,,,,NaN
1.2000,531,132.1,19.8,0.0010,435.73,2.64,,,,NaN
1.2200,548,143.1,19.8,0.0010,501.01,2.70,,,,NaN
1.2400,564,154.8,19.8,0.0015,510.73,2.71,,,,NaN
1.2600,577,165.8,19.8,0.0015,439.27,2.64,,,,NaN
1.2800,588,174.2,19.8,0.0020,374.56,2.57,,,,NaN
1.3045,597,182.4,19.8,0.0025,322.18,2.51,,,,NaN
1.3345,606,190.0,19.8,0.0035,266.69,2.43,,,,NaN
1.3760,614,198.0,19.8,0.0050,,,,,,
1.4310,622,205.8,19.8,0.0070,,,,,,
1.5070,630,213.8,19.8,0.0100,,,,,,
1.6100,637,221.7,19.8,0.0145,,,,,,
1.7540,644,229.7,19.8,0.0190,,,,,,
Scope 1/1, Sample 2/9 (POR-357_20201105_7)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,20.0,17.1,NaN,,,,,,
0.0200,28,-49.9,17.0,0.0005,,,,,,
0.0400,31,-51.2,17.0,0.0075,,,,,,
0.0900,55,-44.1,17.0,0.0020,,,,,,
0.1540,86,-26.7,17.1,0.0020,,,,,,
0.1850,116,-12.1,17.1,0.0010,,,,,,
0.2050,136,-5.7,17.2,0.0010,,,,,,
0.2550,152,-0.2,17.2,0.0030,,,,,,
0.3800,182,13.2,17.2,0.0040,,,,,,
0.5350,212,26.6,17.3,0.0050,,,,,,
0.7350,242,45.1,17.3,0.0065,98.33,1.99,,,,NaN
0.8965,272,63.3,17.4,0.0055,139.97,2.15,,,,NaN
1.0135,303,82.1,17.4,0.0040,187.70,2.27,,,,NaN
1.0830,330,96.4,17.5,0.0025,231.62,2.36,,,,NaN
1.1440,350,109.0,17.5,0.0030,289.82,2.46,,,,NaN
1.1825,495,120.2,17.6,0.0005,341.05,2.53,,,,NaN
1.2025,512,126.7,17.7,0.0010,360.01,2.56,,,,NaN
1.2240,530,135.8,17.7,0.0010,393.50,2.59,,,,NaN
1.2440,546,145.6,17.7,0.0010,447.02,2.65,,,,NaN
1.2640,560,155.8,17.7,0.0015,444.67,2.65,,,,NaN
1.2840,573,164.8,17.7,0.0015,383.94,2.58,,,,NaN
1.3045,584,172.7,17.7,0.0020,334.01,2.52,,,,NaN
1.3285,594,179.9,17.8,0.0025,292.93,2.47,,,,NaN
1.3630,604,188.1,17.8,0.0035,238.39,2.38,,,,NaN
1.4055,613,195.6,17.8,0.0045,,,,,,
1.4665,621,203.7,17.8,0.0075,,,,,,
1.5465,630,211.5,17.8,0.0090,,,,,,
1.6585,637,219.4,17.8,0.0160,,,,,,
1.8140,645,227.5,17.8,0.0195,,,,,,
Scope 1/1, Sample 3/9 (POC-391_20201105_8)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,16.3,17.3,NaN,,,,,,
0.0200,28,-51.4,17.3,0.0005,,,,,,
0.0400,31,-52.3,17.3,0.0075,,,,,,
0.0900,53,-45.9,17.3,0.0025,,,,,,
0.1670,83,-26.6,17.3,0.0025,,,,,,
0.2000,113,-10.7,17.4,0.0010,,,,,,
0.2200,134,-3.9,17.4,0.0010,,,,,,
0.2700,145,0.0,17.4,0.0045,,,,,,
0.3950,175,14.1,17.4,0.0040,,,,,,
