Task,T1223
Scope 1/1, Sample 1/8 (POC-50_20201107_12)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,14.0,19.8,NaN,,,,,,
0.0200,28,-50.0,19.8,0.0005,,,,,,
0.0400,31,-50.7,19.8,0.0075,,,,,,
0.0900,61,-39.0,19.8,0.0015,,,,,,
0.1135,89,-28.9,19.8,0.0010,,,,,,
0.1340,114,-20.6,19.8,0.0010,,,,,,
0.1755,144,-7.9,19.8,0.0015,,,,,,
0.2450,169,3.3,19.8,0.0030,,,,,,
0.4190,199,22.7,19.8,0.0060,,,,,,
0.6190,229,40.6,19.8,0.0065,89.65,1.95,,,,NaN
0.8190,259,63.2,19.8,0.0065,130.65,2.12,,,,NaN
0.9315,290,82.4,19.8,0.0035,176.28,2.25,,,,NaN
0.9935,313,93.3,19.8,0.0025,210.79,2.32,,,,NaN
1.0815,338,111.2,19.8,0.0035,277.99,2.44,,,,NaN
1.1155,478,120.3,19.7,0.0000,325.74,2.51,,,,NaN
1.1380,497,127.7,19.7,0.0010,349.60,2.54,,,,NaN
1.1580,515,135.7,19.7,0.0010,381.83,2.58,,,,NaN
1.1780,532,145.1,19.7,0.0010,427.00,2.63,,,,NaN
1.1980,546,154.9,19.7,0.0015,450.37,2.65,,,,NaN
1.2180,559,164.0,19.7,0.0015,402.50,2.60,,,,NaN
1.2380,570,172.1,19.7,0.0020,348.15,2.54,,,,NaN
1.2600,579,179.5,19.7,0.0025,306.21,2.49,,,,NaN
1.2890,588,187.2,19.7,0.0035,259.53,2.41,,,,NaN
1.3270,596,194.8,19.7,0.0050,208.06,2.32,,,,NaN
1.3795,604,202.8,19.7,0.0065,,,,,,
1.4490,611,210.7,19.7,0.0100,,,,,,
1.5450,618,218.6,19.7,0.0135,,,,,,
1.6750,625,226.6,19.7,0.0180,,,,,,
1.8535,632,234.5,19.7,0.0240,,,,,,
Scope 1/1, Sample 2/8 (POR-385_20201105_8)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,20.9,19.4,NaN,,,,,,
0.0200,28,-45.4,19.5,0.0005,,,,,,
0.0400,31,-46.3,19.5,0.0075,,,,,,
0.0900,61,-33.9,19.5,0.0015,,,,,,
0.1110,91,-22.7,19.5,0.0005,,,,,,
0.1310,113,-15.5,19.5,0.0010,,,,,,
0.1810,142,-2.3,19.5,0.0015,,,,,,
