Task,T1226
Scope 1/1, Sample 1/2 (JUNK 1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-30.3,25.2,NaN,,,,,,
0.0200,15,-60.6,25.3,0.0015,,,,,,
0.0400,18,-60.9,25.3,0.0060,,,,,,
0.0900,43,-51.8,25.2,0.0020,,,,,,
0.1290,65,-42.7,25.1,0.0020,,,,,,
0.1815,95,-26.4,25.0,0.0015,,,,,,
0.2205,124,-13.3,24.9,0.0015,,,,,,
0.2645,150,-2.2,24.8,0.0015,,,,,,
0.3485,180,10.2,24.7,0.0030,,,,,,
0.5335,211,28.9,24.5,0.0060,,,,,,
0.7335,241,48.1,24.4,0.0065,85.36,1.93,,,,NaN
0.9085,271,67.2,24.3,0.0060,120.61,2.08,,,,NaN
1.0370,301,85.1,24.2,0.0040,171.31,2.23,,,,NaN
1.1265,328,99.2,24.1,0.0035,226.59,2.36,,,,NaN
1.2170,353,120.4,24.0,0.0035,318.77,2.50,,,,NaN
1.2400,491,128.2,23.6,0.0000,359.31,2.56,,,,NaN
1.2600,508,136.1,23.6,0.0010,374.86,2.57,,,,NaN
1.2800,524,145.6,23.5,0.0015,406.17,2.61,,,,NaN
1.3000,538,155.8,23.5,0.0015,454.21,2.66,,,,NaN
1.3200,550,165.3,23.5,0.0015,412.35,2.62,,,,NaN
1.3400,561,173.7,23.4,0.0020,356.25,2.55,,,,NaN
1.3615,570,180.9,23.4,0.0025,313.33,2.50,,,,NaN
1.3910,578,188.8,23.4,0.0035,263.99,2.42,,,,NaN
1.4290,585,196.5,23.4,0.0050,,,,,,
1.4810,593,204.6,23.3,0.0065,,,,,,
1.5480,600,212.1,23.3,0.0095,,,,,,
1.6455,607,220.3,23.3,0.0145,,,,,,
1.7745,613,228.2,23.3,0.0205,,,,,,
Scope 1/1, Sample 2/2 (CRM)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,21.2,19.7,NaN,,,,,,
0.0200,27,-48.4,19.6,0.0005,,,,,,
0.0400,31,-49.8,19.6,0.0050,,,,,,
0.0900,59,-42.3,19.6,0.0020,,,,,,
0.1470,89,-26.3,19.6,0.0020,,,,,,
0.1775,119,-13.2,19.6,0.0010,,,,,,
0.2020,139,-7.2,19.6,0.0010,,,,,,
0.2630,154,-0.3,19.6,0.0040,,,,,,
0.4155,185,14.8,19.6,0.0050,,,,,,
0.6015,215,31.5,19.6,0.0060,76.50,1.88,,,,NaN
0.7995,245,49.6,19.6,0.0065,103.83,2.02,,,,NaN
0.9715,275,70.0,19.6,0.0055,152.67,2.18,,,,NaN
1.0750,306,88.3,19.6,0.0035,198.20,2.30,,,,NaN
1.1360,332,100.7,19.6,0.0025,239.47,2.38,,,,NaN
1.1700,472,108.8,19.6,0.0000,273.62,2.44,,,,NaN
1.1985,494,115.6,19.6,0.0015,304.37,2.48,,,,NaN
1.2330,519,126.0,19.6,0.0015,341.39,2.53,,,,NaN
1.2535,539,133.8,19.6,0.0010,377.56,2.58,,,,NaN
1.2735,558,142.9,19.6,0.0010,426.25,2.63,,,,NaN
1.2935,575,152.4,19.6,0.0010,435.35,2.64,,,,NaN
1.3135,589,161.5,19.6,0.0015,393.65,2.60,,,,NaN
1.3335,600,169.2,19.6,0.0015,340.96,2.53,,,,NaN
1.3575,611,177.1,19.6,0.0020,297.13,2.47,,,,NaN
1.3865,620,184.5,19.6,0.0030,252.97,2.40,,,,NaN
1.4260,629,192.3,19.6,0.0045,202.34,2.31,,,,NaN
1.4790,638,200.3,19.6,0.0060,,,,,,
1.5485,646,207.8,19.6,0.0090,,,,,,
1.6500,654,216.1,19.6,0.0135,,,,,,
1.7825,661,223.9,19.6,0.0190,,,,,,
1.9695,669,232.0,19.6,0.0245,,,,,,
