Task,T1225
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,176.6,20.2
2,176.6,20.2
3,176.6,20.2
4,176.6,20.2
5,176.6,20.2
6,176.5,20.2
7,176.5,20.2
8,176.6,20.2
9,176.5,20.2
10,176.5,20.2
11,176.5,20.2
12,176.5,20.2
13,176.5,20.2
14,176.6,20.2
15,176.5,20.2
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,3.3,20.1
2,3.3,20.1
3,3.3,20.1
4,3.3,20.1
5,3.3,20.1
6,3.3,20.1
7,3.3,20.1
8,3.3,20.1
9,3.3,20.1
10,3.3,20.1
11,3.3,20.1
12,3.3,20.1
13,3.3,20.1
14,3.3,20.1
15,3.3,20.1
16,3.3,20.1
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-171.0,19.9
2,-170.9,19.9
3,-171.0,19.9
4,-171.0,19.9
5,-171.0,19.9
6,-171.0,19.9
7,-171.0,19.9
8,-171.0,19.9
9,-171.0,19.9
10,-171.0,19.9
11,-171.0,19.9
12,-171.1,19.9
13,-171.1,19.9
14,-171.0,19.9
15,-171.1,19.9
