Task,T1551
Scope 1/1, Sample 1/2 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,0.0,17.9,NaN,,,,,,
0.0200,26,-35.2,17.9,0.0010,,,,,,
0.0400,30,-36.5,17.9,0.0055,,,,,,
0.0900,33,-36.7,17.9,0.0170,,,,,,
0.2150,63,-13.2,17.9,0.0040,,,,,,
0.2510,93,-0.3,17.9,0.0010,,,,,,
0.2740,104,3.1,17.9,0.0020,,,,,,
0.3315,108,3.7,17.9,0.0160,,,,,,
0.4755,138,16.3,17.9,0.0050,,,,,,
0.6425,168,30.3,17.8,0.0055,58.29,1.77,,,,NaN
0.8410,198,47.8,17.8,0.0065,133.43,2.13,,,,NaN
1.0145,229,73.2,17.8,0.0055,248.30,2.39,,,,NaN
1.0800,259,94.9,17.8,0.0020,311.50,2.49,,,,NaN
1.1015,287,106.2,17.8,0.0010,336.88,2.53,,,,NaN
1.1215,423,111.5,17.7,0.0000,358.67,2.55,,,,NaN
1.1715,453,127.9,17.7,0.0015,414.16,2.62,,,,NaN
1.1915,474,136.9,17.7,0.0010,411.04,2.61,,,,NaN
1.2115,494,146.9,17.7,0.0010,446.84,2.65,,,,NaN
1.2315,512,157.1,17.7,0.0010,440.48,2.64,,,,NaN
1.2515,526,166.0,17.7,0.0015,383.52,2.58,,,,NaN
1.2720,539,173.7,17.7,0.0015,330.46,2.52,,,,NaN
1.2975,550,181.2,17.7,0.0025,286.31,2.46,,,,NaN
1.3325,561,189.0,17.7,0.0035,231.63,2.36,,,,NaN
1.3795,571,197.0,17.7,0.0050,,,,,,
1.4415,579,204.7,17.7,0.0075,,,,,,
1.5295,588,212.8,17.7,0.0095,,,,,,
1.6470,596,220.7,17.7,0.0145,,,,,,
1.8120,604,228.8,17.7,0.0200,,,,,,
Scope 1/1, Sample 2/2 (CRM 1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,51.9,17.5,NaN,,,,,,
0.0200,28,-32.8,17.5,0.0005,,,,,,
0.0400,52,-45.8,17.5,0.0010,,,,,,
0.0900,56,-46.2,17.5,0.0135,,,,,,
0.2150,86,-22.2,17.5,0.0040,,,,,,
0.2500,116,-6.6,17.5,0.0010,,,,,,
0.2700,132,-1.3,17.5,0.0015,,,,,,
0.3200,146,3.0,17.5,0.0035,,,,,,
0.4450,177,14.1,17.5,0.0040,,,,,,
0.6220,207,26.2,17.5,0.0060,43.93,1.64,,,,NaN
0.8220,237,41.0,17.5,0.0065,88.53,1.95,,,,NaN
1.0220,267,63.9,17.5,0.0065,190.05,2.28,,,,NaN
1.1195,298,85.6,17.5,0.0030,258.67,2.41,,,,NaN
1.1565,328,100.2,17.5,0.0010,290.54,2.46,,,,NaN
1.1765,461,107.4,17.4,0.0000,310.17,2.49,,,,NaN
1.2010,485,112.9,17.4,0.0010,339.72,2.53,,,,NaN
1.2585,515,131.1,17.4,0.0020,376.27,2.58,,,,NaN
1.2785,537,139.9,17.4,0.0010,380.65,2.58,,,,NaN
1.2985,556,149.3,17.4,0.0010,429.07,2.63,,,,NaN
1.3185,572,158.9,17.4,0.0010,412.70,2.62,,,,NaN
1.3385,586,167.1,17.4,0.0015,360.70,2.56,,,,NaN
1.3610,599,175.1,17.4,0.0015,311.50,2.49,,,,NaN
1.3875,610,182.4,17.4,0.0025,269.51,2.43,,,,NaN
1.4245,619,190.2,17.4,0.0040,217.69,2.34,,,,NaN
1.4745,629,198.3,17.4,0.0050,,,,,,
1.5380,638,205.8,17.4,0.0075,,,,,,
1.6310,646,213.9,17.4,0.0115,,,,,,
1.7555,654,221.9,17.4,0.0155,,,,,,
1.9250,662,229.8,17.4,0.0215,,,,,,
