Task,T1552
Scope 1/1, Sample 1/4 (JUNK2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,39.4,17.3,NaN,,,,,,
0.0200,28,-22.8,17.3,0.0005,,,,,,
0.0400,50,-33.3,17.3,0.0010,,,,,,
0.0900,53,-33.7,17.3,0.0160,,,,,,
0.2150,83,-11.6,17.3,0.0040,,,,,,
0.2560,109,-0.2,17.3,0.0015,,,,,,
0.2925,120,3.2,17.3,0.0035,,,,,,
0.3835,150,14.4,17.3,0.0030,,,,,,
0.4805,180,23.5,17.3,0.0030,,,,,,
0.6805,210,36.4,17.3,0.0065,70.69,1.85,,,,NaN
0.8805,241,57.2,17.3,0.0065,145.57,2.16,,,,NaN
0.9985,271,77.4,17.2,0.0040,216.86,2.34,,,,NaN
1.0555,301,93.9,17.2,0.0020,262.95,2.42,,,,NaN
1.0880,324,103.1,17.2,0.0015,296.97,2.47,,,,NaN
1.1170,465,109.9,17.2,0.0000,328.94,2.52,,,,NaN
1.1580,495,122.4,17.2,0.0015,373.35,2.57,,,,NaN
1.1785,518,130.9,17.2,0.0010,389.49,2.59,,,,NaN
1.1985,539,140.2,17.2,0.0010,449.12,2.65,,,,NaN
1.2185,559,150.8,17.2,0.0010,468.56,2.67,,,,NaN
1.2385,575,160.3,17.2,0.0015,422.60,2.63,,,,NaN
1.2585,589,169.1,17.2,0.0015,357.38,2.55,,,,NaN
1.2785,600,175.7,17.2,0.0015,318.11,2.50,,,,NaN
1.3105,612,184.3,17.2,0.0025,263.44,2.42,,,,NaN
1.3475,622,191.6,17.2,0.0040,209.89,2.32,,,,NaN
1.4010,631,199.6,17.2,0.0060,,,,,,
1.4725,640,207.6,17.2,0.0085,,,,,,
1.5695,648,215.5,17.2,0.0120,,,,,,
1.7050,657,223.5,17.2,0.0160,,,,,,
1.8905,665,231.5,17.2,0.0225,,,,,,
Scope 1/1, Sample 2/4 (BK4_RUN4_20200912)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,53.5,14.6,NaN,,,,,,
0.0200,28,-34.0,14.5,0.0005,,,,,,
0.0400,52,-47.2,14.5,0.0010,,,,,,
0.0900,55,-47.7,14.5,0.0155,,,,,,
0.2150,85,-25.7,14.6,0.0040,,,,,,
0.2565,116,-9.2,14.6,0.0015,,,,,,
0.2765,139,-1.4,14.7,0.0010,,,,,,
0.3190,144,-0.2,14.7,0.0080,,,,,,
0.4250,154,3.3,14.7,0.0105,,,,,,
0.6250,184,19.2,14.7,0.0065,,,,,,
0.8250,214,33.4,14.8,0.0065,80.29,1.90,,,,NaN
1.0250,245,52.7,14.8,0.0065,168.29,2.23,,,,NaN
1.1630,275,78.0,14.8,0.0045,250.79,2.40,,,,NaN
1.2085,305,96.0,14.9,0.0015,284.74,2.45,,,,NaN
1.2285,328,104.0,14.9,0.0010,299.81,2.48,,,,NaN
1.2485,462,110.0,15.0,0.0000,323.50,2.51,,,,NaN
1.2840,492,118.9,15.1,0.0010,350.06,2.54,,,,NaN
1.3225,521,131.2,15.1,0.0015,339.88,2.53,,,,NaN
1.3425,542,139.4,15.1,0.0010,388.21,2.59,,,,NaN
1.3625,562,148.4,15.1,0.0010,417.54,2.62,,,,NaN
1.3825,580,157.5,15.1,0.0010,401.54,2.60,,,,NaN
1.4025,594,165.5,15.1,0.0015,350.19,2.54,,,,NaN
1.4255,608,173.6,15.2,0.0015,305.38,2.48,,,,NaN
1.4515,620,180.8,15.2,0.0020,266.50,2.43,,,,NaN
1.4880,631,188.7,15.2,0.0030,217.49,2.34,,,,NaN
1.5350,641,196.3,15.2,0.0045,,,,,,
1.6025,650,204.5,15.2,0.0070,,,,,,
1.6895,659,212.2,15.2,0.0095,,,,,,
1.8130,668,220.2,15.2,0.0135,,,,,,
1.9830,677,228.3,15.2,0.0185,,,,,,
Scope 1/1, Sample 3/4 (INITIAL1_RUN1_20200909)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,50.5,14.9,NaN,,,,,,
0.0200,28,-36.4,14.9,0.0005,,,,,,
0.0400,51,-48.1,14.9,0.0010,,,,,,
0.0900,55,-48.5,14.9,0.0140,,,,,,
0.2150,85,-25.8,14.9,0.0040,,,,,,
0.2540,115,-9.1,15.0,0.0015,,,,,,
0.2740,136,-1.7,15.0,0.0010,,,,,,
0.3240,144,0.1,15.0,0.0065,,,,,,
0.4490,174,11.0,15.0,0.0040,,,,,,
0.6190,204,22.5,15.1,0.0055,,,,,,
0.8190,235,36.5,15.1,0.0065,73.93,1.87,,,,NaN
1.0190,265,55.5,15.1,0.0065,157.68,2.20,,,,NaN
1.1605,295,80.4,15.1,0.0045,245.24,2.39,,,,NaN
1.2095,325,98.1,15.2,0.0015,284.41,2.45,,,,NaN
1.2310,349,106.4,15.2,0.0010,303.74,2.48,,,,NaN
1.2510,485,111.8,15.3,0.0000,326.31,2.51,,,,NaN
1.2935,514,123.6,15.3,0.0015,363.07,2.56,,,,NaN
1.3220,538,133.5,15.3,0.0010,360.63,2.56,,,,NaN
1.3420,561,142.5,15.4,0.0010,409.43,2.61,,,,NaN
1.3620,579,151.6,15.4,0.0010,425.57,2.63,,,,NaN
1.3820,595,160.9,15.4,0.0010,391.91,2.59,,,,NaN
1.4020,609,168.5,15.4,0.0015,338.05,2.53,,,,NaN
1.4280,622,177.0,15.4,0.0020,292.94,2.47,,,,NaN
1.4560,634,184.2,15.4,0.0025,251.64,2.40,,,,NaN
1.4955,644,191.9,15.4,0.0040,201.95,2.31,,,,NaN
1.5495,654,199.9,15.4,0.0050,,,,,,
