Task,T412
Scope 1/1, Sample 1/9 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-70.8,21.7,NaN,,,,,,
0.0200,4,-74.5,21.7,0.0055,,,,,,
0.0400,9,-74.1,21.7,0.0040,,,,,,
0.0900,28,-66.0,21.7,0.0025,,,,,,
0.1385,56,-53.5,21.7,0.0020,,,,,,
0.1780,85,-40.1,21.7,0.0015,,,,,,
0.2135,110,-27.1,21.7,0.0015,,,,,,
0.2540,134,-13.8,21.7,0.0015,,,,,,
0.3090,155,-1.5,21.7,0.0025,,,,,,
0.4120,186,15.1,21.7,0.0035,,,,,,
0.5510,216,34.0,21.7,0.0045,99.99,2.00,,,,NaN
0.6900,241,48.4,21.7,0.0055,81.84,1.91,,,,NaN
0.8900,268,67.4,21.7,0.0075,130.93,2.12,,,,NaN
1.0745,294,96.9,21.7,0.0070,272.26,2.43,,,,NaN
1.1335,312,114.7,21.7,0.0035,351.95,2.55,,,,NaN
1.1535,446,122.9,21.7,0.0000,375.30,2.57,,,,NaN
1.1735,459,131.7,21.7,0.0015,377.42,2.58,,,,NaN
1.1935,471,141.8,21.7,0.0015,414.13,2.62,,,,NaN
1.2135,482,151.4,21.7,0.0020,429.82,2.63,,,,NaN
1.2335,491,159.8,21.7,0.0020,365.49,2.56,,,,NaN
1.2555,500,167.8,21.7,0.0025,317.69,2.50,,,,NaN
1.2810,508,175.0,21.7,0.0030,276.17,2.44,,,,NaN
1.3180,516,183.0,21.7,0.0045,221.70,2.35,,,,NaN
1.3660,524,190.8,21.7,0.0060,170.64,2.23,,,,NaN
1.4310,531,198.6,21.7,0.0090,,,,,,
1.5210,539,206.8,21.7,0.0115,,,,,,
1.6395,546,214.6,21.7,0.0175,,,,,,
1.8065,553,222.6,21.7,0.0235,,,,,,
2.0065,560,229.7,21.7,0.0270,,,,,,
Scope 1/1, Sample 2/9 (ACR-360)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-61.5,21.7,NaN,,,,,,
0.0200,4,-67.0,21.7,0.0045,,,,,,
0.0400,11,-66.4,21.7,0.0030,,,,,,
0.0900,36,-55.1,21.7,0.0020,,,,,,
0.1150,57,-47.2,21.7,0.0010,,,,,,
0.1515,84,-34.4,21.7,0.0015,,,,,,
0.1925,111,-20.4,21.7,0.0015,,,,,,
0.2410,134,-8.4,21.7,0.0020,,,,,,
0.3295,149,3.6,21.7,0.0060,,,,,,
0.5295,179,29.2,21.7,0.0065,,,,,,
0.6620,183,38.1,21.7,0.0330,84.21,1.93,,,,NaN
0.8620,213,60.0,21.7,0.0065,95.93,1.98,,,,NaN
0.9685,231,70.5,21.7,0.0060,118.61,2.07,,,,NaN
1.1495,250,93.3,21.7,0.0095,192.19,2.28,,,,NaN
1.2490,264,114.3,21.7,0.0070,270.80,2.43,,,,NaN
1.2715,396,119.3,21.7,0.0000,300.31,2.48,,,,NaN
1.3060,408,131.5,21.7,0.0030,326.77,2.51,,,,NaN
1.3260,418,139.6,21.7,0.0020,331.95,2.52,,,,NaN
1.3460,428,148.3,21.7,0.0020,376.87,2.58,,,,NaN
1.3660,438,156.2,21.7,0.0020,348.20,2.54,,,,NaN
1.3880,447,164.0,21.7,0.0025,304.03,2.48,,,,NaN
1.4130,455,171.1,21.7,0.0030,269.84,2.43,,,,NaN
1.4480,462,179.2,21.7,0.0045,225.06,2.35,,,,NaN
1.4905,470,186.9,21.7,0.0055,181.36,2.26,,,,NaN
1.5480,477,194.6,21.7,0.0080,140.31,2.15,,,,NaN
1.6270,484,202.6,21.7,0.0105,,,,,,
1.7340,492,210.6,21.7,0.0140,,,,,,
1.8780,499,218.5,21.7,0.0200,,,,,,
2.0745,506,226.4,21.7,0.0265,,,,,,
2.2745,513,232.5,21.7,0.0275,,,,,,
Scope 1/1, Sample 3/9 (POR-355)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-60.2,21.7,NaN,,,,,,
0.0200,4,-66.6,21.7,0.0045,,,,,,
0.0400,8,-66.9,21.7,0.0055,,,,,,
0.0900,34,-55.2,21.7,0.0020,,,,,,
0.1135,53,-48.2,21.7,0.0010,,,,,,
0.1550,83,-33.3,21.7,0.0015,,,,,,
0.1925,108,-20.8,21.7,0.0015,,,,,,
0.2435,132,-8.0,21.7,0.0020,,,,,,
0.3290,150,3.6,21.7,0.0050,,,,,,
0.5290,180,27.9,21.7,0.0065,,,,,,
0.6750,209,43.7,21.7,0.0050,82.02,1.91,,,,NaN
