Task,T434,,,,,,,,,
Scope 1/1, Sample 1/9 (JUNK1),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,-50.8,24.8,NaN,,,,,,
0.02,13,-67,24.8,0.0015,,,,,,
0.04,16,-67.3,24.8,0.006,,,,,,
0.09,41,-56.9,24.8,0.002,,,,,,
0.1195,63,-48.6,24.8,0.0015,,,,,,
0.1615,93,-34.1,24.8,0.0015,,,,,,
0.199,120,-21.1,24.8,0.0015,,,,,,
0.245,145,-8.9,24.8,0.002,,,,,,
0.324,166,3.5,24.8,0.0035,,,,,,
0.498,196,26.8,24.8,0.0055,95.9,1.98,,,,NaN
0.6365,227,44.7,24.8,0.0045,69.65,1.84,,,,NaN
0.765,252,57.5,24.8,0.005,84.28,1.93,,,,NaN
0.965,256,70.2,24.8,0.0455,185.81,2.27,,,,NaN
1.165,287,129.4,24.8,0.0065,383.19,2.58,,,,NaN
1.185,421,140.8,24.8,0,370.68,2.57,,,,NaN
1.205,432,150.3,24.8,0.0015,331.31,2.52,,,,NaN
1.225,443,159.3,24.8,0.002,343.14,2.54,,,,NaN
1.245,452,166.7,24.8,0.002,335.2,2.53,,,,NaN
1.2705,461,174.6,24.8,0.003,290.45,2.46,,,,NaN
1.302,469,181.9,24.8,0.004,238.96,2.38,,,,NaN
1.3475,472,190.1,24.8,0.013,185.25,2.27,,,,NaN
1.405,480,197.8,24.8,0.007,140.77,2.15,,,,NaN
1.485,488,205.8,24.8,0.0105,104.6,2.02,,,,NaN
1.5935,495,213.7,24.8,0.0155,75.68,1.88,,,,NaN
1.741,502,221.6,24.8,0.021,53.11,1.73,,,,NaN
1.941,510,229.6,24.8,0.0245,36.05,1.56,,,,NaN
2.141,517,235.5,24.8,0.0275,26.95,1.43,,,,NaN
2.341,524,240.4,24.8,0.0275,21.68,1.34,,,,NaN
2.541,531,244.4,24.8,0.029,18.36,1.26,,,,NaN
2.741,537,247.9,24.8,0.0335,15.77,1.2,,,,NaN
2.941,544,251,24.8,0.03,,,,,,
3.141,550,253.7,24.8,0.0335,,,,,,
3.341,556,256.2,24.8,0.034,,,,,,
3.541,561,258.3,24.8,0.0375,,,,,,
3.56,565,258.6,24.8,0.0055,,,,,,
Scope 1/1, Sample 2/9 (POC-239),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,-40.2,24.8,NaN,,,,,,
0.02,17,-64.3,24.8,0.001,,,,,,
0.04,20,-64.5,24.8,0.0065,,,,,,
0.09,48,-53.7,24.8,0.002,,,,,,
0.1175,70,-45.9,24.8,0.001,,,,,,
0.161,100,-31.3,24.8,0.0015,,,,,,
0.201,128,-18.7,24.8,0.0015,,,,,,
0.255,155,-6.6,24.8,0.002,,,,,,
0.3565,168,3.7,24.8,0.0075,,,,,,
0.5565,199,27.9,24.8,0.0065,,,,,,
0.6685,226,41.7,24.8,0.004,87.63,1.94,,,,NaN
0.7975,250,52.6,24.8,0.0055,89.23,1.95,,,,NaN
0.9975,277,71.3,24.8,0.0075,118.6,2.07,,,,NaN
1.154,298,90.4,24.8,0.0075,176.53,2.25,,,,NaN
1.254,315,109.6,24.8,0.006,255.7,2.41,,,,NaN
1.2805,450,115.8,24.8,0,290.36,2.46,,,,NaN
1.308,465,124.5,24.8,0.002,323.85,2.51,,,,NaN
1.328,479,131.6,24.8,0.0015,336.9,2.53,,,,NaN
1.348,492,140.1,24.8,0.0015,381.84,2.58,,,,NaN
1.368,503,148.4,24.8,0.002,396.58,2.6,,,,NaN
1.388,513,156.8,24.8,0.002,355.41,2.55,,,,NaN
1.408,523,164,24.8,0.002,313.99,2.5,,,,NaN
1.434,533,171.7,24.8,0.0025,274.66,2.44,,,,NaN
1.4665,542,179.5,24.8,0.0035,231.55,2.36,,,,NaN
1.508,551,187,24.8,0.005,186.94,2.27,,,,NaN
1.5655,558,195,24.8,0.008,143.35,2.16,,,,NaN
1.6415,566,202.9,24.8,0.0095,,,,,,
1.7445,574,210.8,24.8,0.013,,,,,,
1.8845,581,218.7,24.8,0.0195,,,,,,
2.0775,589,226.7,24.8,0.0255,,,,,,
2.2775,596,233,24.8,0.031,,,,,,
Scope 1/1, Sample 3/9 (INITIAL-1),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,-43.5,24.8,NaN,,,,,,
0.02,16,-65.5,24.8,0.001,,,,,,
0.04,19,-65.9,24.8,0.006,,,,,,
0.09,46,-55.5,24.8,0.002,,,,,,
0.12,68,-47.5,24.8,0.0015,,,,,,
0.166,98,-32.1,24.8,0.0015,,,,,,
0.2045,124,-19.8,24.8,0.0015,,,,,,
0.2565,151,-7.4,24.8,0.002,,,,,,
0.347,171,3.6,24.8,0.0045,,,,,,
0.547,201,25.1,24.8,0.0065,,,,,,
0.715,232,43.5,24.8,0.0055,85.89,1.93,,,,NaN
0.8575,259,58.1,24.8,0.0055,96.19,1.98,,,,NaN
1.0245,283,74.2,24.8,0.007,131.35,2.12,,,,NaN
1.202,307,98.8,24.8,0.0075,211.11,2.32,,,,NaN
1.282,324,117.4,24.8,0.0045,289.05,2.46,,,,NaN
1.3025,458,122.7,24.8,0,315.53,2.5,,,,NaN
1.3305,473,132.9,24.8,0.002,333.92,2.52,,,,NaN
1.3505,487,141.5,24.8,0.0015,347.58,2.54,,,,NaN
1.3705,500,150.1,24.8,0.0015,390.11,2.59,,,,NaN
1.3905,510,158.2,24.8,0.002,349.75,2.54,,,,NaN
1.411,520,165.5,24.8,0.002,308.35,2.49,,,,NaN
1.437,529,173,24.8,0.003,271.04,2.43,,,,NaN
1.471,538,180.9,24.8,0.0035,226.06,2.35,,,,NaN
1.514,546,188.4,24.8,0.0055,181.03,2.26,,,,NaN
1.574,553,196.5,24.8,0.008,,,,,,
1.652,561,204.2,24.8,0.0095,,,,,,
1.7615,569,212.3,24.8,0.014,,,,,,
1.908,576,220.2,24.8,0.021,,,,,,
2.108,583,228.1,24.8,0.029,,,,,,
Scope 1/1, Sample 4/9 (POR-209),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,-45.2,24.8,NaN,,,,,,
0.02,15,-65.1,24.8,0.0015,,,,,,
0.04,18,-65.4,24.8,0.006,,,,,,
0.09,45,-54.5,24.8,0.002,,,,,,
0.117,67,-46.8,24.8,0.001,,,,,,
0.159,97,-32.4,24.8,0.0015,,,,,,
0.1985,124,-19.5,24.8,0.0015,,,,,,
0.249,151,-7.4,24.8,0.002,,,,,,
0.3405,168,3.5,24.8,0.0055,,,,,,
0.5405,198,25.9,24.8,0.0065,91.79,1.96,,,,NaN
0.6935,229,43.5,24.8,0.005,76.73,1.88,,,,NaN
0.828,254,56.5,24.8,0.0055,87.39,1.94,,,,NaN
1.0275,258,70.2,24.8,0.0475,140.42,2.15,,,,NaN
1.2275,284,109.7,24.8,0.0075,264.6,2.42,,,,NaN
1.2475,419,114.4,24.8,0,304.02,2.48,,,,NaN
1.276,432,123,24.8,0.002,335.58,2.53,,,,NaN
1.2965,445,130.4,24.8,0.0015,345.33,2.54,,,,NaN
1.3165,458,138.5,24.8,0.0015,370.37,2.57,,,,NaN
1.3365,469,147,24.8,0.002,400.64,2.6,,,,NaN
1.3565,480,155.5,24.8,0.002,364.79,2.56,,,,NaN
1.3765,491,162.9,24.8,0.002,320.51,2.51,,,,NaN
1.401,501,170.5,24.8,0.0025,282.2,2.45,,,,NaN
1.432,509,178.1,24.8,0.0035,240.45,2.38,,,,NaN
1.474,517,186.2,24.8,0.005,193.01,2.29,,,,NaN
1.526,525,193.7,24.8,0.0065,150.69,2.18,,,,NaN
1.601,533,201.9,24.8,0.0095,,,,,,
1.697,541,209.6,24.8,0.0125,,,,,,
1.832,548,217.6,24.8,0.02,,,,,,
2.0175,555,225.6,24.8,0.0275,,,,,,
2.2175,562,232.1,24.8,0.028,,,,,,
Scope 1/1, Sample 5/9 (POC-217),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,-45,24.8,NaN,,,,,,
0.02,15,-65.5,24.8,0.0015,,,,,,
0.04,18,-65.9,24.8,0.0065,,,,,,
0.09,43,-55.9,24.8,0.002,,,,,,
0.1215,68,-46.7,24.8,0.0015,,,,,,
0.1595,98,-33.6,24.8,0.0015,,,,,,
0.1985,125,-21.3,24.8,0.0015,,,,,,
0.254,153,-7.9,24.8,0.002,,,,,,
0.3405,174,3.4,24.8,0.004,,,,,,
0.5405,204,24.7,24.8,0.0065,,,,,,
0.7245,234,44.1,24.8,0.006,84.34,1.93,,,,NaN
0.8775,263,59.9,24.8,0.005,98.14,1.99,,,,NaN
1.037,288,75.7,24.8,0.0065,136.38,2.13,,,,NaN
1.203,309,99.2,24.8,0.008,214.05,2.33,,,,NaN
1.2825,326,118.2,24.8,0.0045,292.14,2.47,,,,NaN
1.3025,460,123.5,24.8,0,318.84,2.5,,,,NaN
1.3295,476,133.5,24.8,0.0015,334.41,2.52,,,,NaN
1.3495,489,142.1,24.8,0.0015,350.83,2.55,,,,NaN
1.3695,500,150.6,24.8,0.002,389.54,2.59,,,,NaN
1.3895,511,158.9,24.8,0.002,347.08,2.54,,,,NaN
1.4095,521,165.8,24.8,0.002,307.1,2.49,,,,NaN
1.437,530,173.7,24.8,0.003,267.86,2.43,,,,NaN
