Task,T451
Scope 1/1, Sample 1/9 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-54.6,24.5,NaN,,,,,,
0.0200,12,-66.5,24.5,0.0015,,,,,,
0.0400,15,-66.4,24.5,0.0060,,,,,,
0.0900,40,-56.6,24.5,0.0020,,,,,,
0.1235,64,-47.3,24.5,0.0015,,,,,,
0.1645,94,-33.0,24.5,0.0015,,,,,,
0.2005,120,-20.6,24.5,0.0015,,,,,,
0.2470,145,-8.3,24.5,0.0020,,,,,,
0.3275,165,3.5,24.5,0.0040,,,,,,
0.5230,195,29.0,24.5,0.0065,103.43,2.01,,,,NaN
0.6605,225,46.9,24.5,0.0045,86.95,1.94,,,,NaN
0.7840,249,58.3,24.5,0.0050,97.74,1.99,,,,NaN
0.9840,279,78.8,24.5,0.0065,180.61,2.26,,,,NaN
1.1260,309,108.7,24.5,0.0045,314.62,2.50,,,,NaN
1.1460,446,117.2,24.5,0.0000,354.09,2.55,,,,NaN
1.1660,460,124.4,24.5,0.0015,369.21,2.57,,,,NaN
1.1930,476,136.5,24.5,0.0015,381.68,2.58,,,,NaN
1.2130,489,146.4,24.5,0.0015,440.62,2.64,,,,NaN
1.2330,501,155.8,24.5,0.0015,404.43,2.61,,,,NaN
1.2530,512,164.0,24.5,0.0020,348.95,2.54,,,,NaN
1.2755,522,171.7,24.5,0.0020,305.37,2.48,,,,NaN
1.3030,531,178.9,24.5,0.0030,263.65,2.42,,,,NaN
1.3435,540,187.1,24.5,0.0045,207.75,2.32,,,,NaN
1.3945,549,194.8,24.5,0.0060,159.03,2.20,,,,NaN
1.4650,557,202.8,24.5,0.0095,,,,,,
1.5590,564,210.6,24.5,0.0125,,,,,,
1.6890,572,218.6,24.5,0.0155,,,,,,
1.8680,580,226.6,24.5,0.0215,,,,,,
2.0680,588,233.3,24.5,0.0245,,,,,,
Scope 1/1, Sample 2/9 (POR-236)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-38.8,24.5,NaN,,,,,,
0.0200,17,-61.7,24.5,0.0010,,,,,,
0.0400,20,-61.9,24.5,0.0075,,,,,,
0.0900,49,-49.9,24.5,0.0015,,,,,,
0.1120,72,-42.2,24.5,0.0010,,,,,,
0.1440,99,-31.2,24.5,0.0010,,,,,,
0.1910,128,-16.5,24.5,0.0015,,,,,,
0.2465,156,-3.3,24.5,0.0020,,,,,,
0.3355,182,9.6,24.5,0.0035,,,,,,
0.5170,212,29.0,24.5,0.0060,95.33,1.98,,,,NaN
0.7170,242,48.9,24.5,0.0065,78.60,1.90,,,,NaN
0.8885,246,63.7,24.5,0.0450,105.81,2.02,,,,NaN
1.0885,276,90.4,24.5,0.0065,183.40,2.26,,,,NaN
1.1660,295,104.8,24.5,0.0040,240.95,2.38,,,,NaN
1.1970,432,111.4,24.5,0.0000,282.02,2.45,,,,NaN
1.2295,448,120.6,24.5,0.0020,321.15,2.51,,,,NaN
1.2510,461,128.3,24.5,0.0015,338.88,2.53,,,,NaN
1.2710,476,136.7,24.5,0.0015,383.58,2.58,,,,NaN
1.2910,489,145.6,24.5,0.0015,417.51,2.62,,,,NaN
1.3110,500,154.0,24.5,0.0020,385.78,2.59,,,,NaN
1.3310,510,161.8,24.5,0.0020,337.76,2.53,,,,NaN
1.3530,520,169.3,24.5,0.0020,297.94,2.47,,,,NaN
1.3805,529,176.7,24.5,0.0030,257.65,2.41,,,,NaN
1.4180,538,184.4,24.5,0.0045,210.17,2.32,,,,NaN
1.4695,546,192.7,24.5,0.0070,162.63,2.21,,,,NaN
1.5320,553,200.1,24.5,0.0090,,,,,,
1.6255,561,208.3,24.5,0.0115,,,,,,
1.7455,569,216.1,24.5,0.0150,,,,,,
1.9125,577,224.1,24.5,0.0220,,,,,,
2.1125,584,231.2,24.5,0.0290,,,,,,
Scope 1/1, Sample 3/9 (POR-206)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-45.3,24.5,NaN,,,,,,
0.0200,14,-64.3,24.5,0.0015,,,,,,
0.0400,18,-64.5,24.5,0.0055,,,,,,
0.0900,46,-53.5,24.5,0.0020,,,,,,
0.1165,69,-45.7,24.5,0.0010,,,,,,
0.1565,99,-31.8,24.5,0.0015,,,,,,
0.1965,128,-18.1,24.5,0.0015,,,,,,
0.2435,153,-6.9,24.5,0.0020,,,,,,
0.3400,180,8.8,24.5,0.0035,,,,,,
0.4840,210,25.3,24.5,0.0050,111.97,2.05,,,,NaN
0.6840,240,45.0,24.5,0.0065,84.40,1.93,,,,NaN
0.8720,270,64.3,24.5,0.0065,104.51,2.02,,,,NaN
1.0205,295,80.9,24.5,0.0060,149.38,2.17,,,,NaN
1.1530,315,102.1,24.5,0.0065,224.47,2.35,,,,NaN
1.1880,449,109.6,24.5,0.0005,268.28,2.43,,,,NaN
1.2160,466,117.2,24.5,0.0015,309.76,2.49,,,,NaN
1.2395,480,124.9,24.5,0.0015,333.98,2.52,,,,NaN
1.2600,494,133.1,24.5,0.0015,367.23,2.56,,,,NaN
1.2800,508,141.9,24.5,0.0015,417.37,2.62,,,,NaN
1.3000,520,150.5,24.5,0.0015,400.23,2.60,,,,NaN
1.3200,532,158.8,24.5,0.0015,354.15,2.55,,,,NaN
1.3405,542,166.0,24.5,0.0020,312.12,2.49,,,,NaN
1.3670,552,173.8,24.5,0.0025,271.26,2.43,,,,NaN
1.4000,560,181.3,24.5,0.0040,227.09,2.36,,,,NaN
1.4455,569,189.3,24.5,0.0055,179.32,2.25,,,,NaN
1.5040,577,197.0,24.5,0.0075,,,,,,
1.5840,584,204.9,24.5,0.0110,,,,,,
1.6935,592,212.9,24.5,0.0135,,,,,,
1.8415,600,220.8,24.5,0.0185,,,,,,
2.0415,608,228.7,24.5,0.0265,,,,,,
Scope 1/1, Sample 4/9 (INITIAL-2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-49.0,24.5,NaN,,,,,,
0.0200,14,-65.4,24.5,0.0015,,,,,,
0.0400,17,-65.6,24.5,0.0060,,,,,,
0.0900,42,-56.1,24.5,0.0020,,,,,,
0.1255,68,-46.0,24.5,0.0015,,,,,,
0.1630,98,-33.0,24.5,0.0010,,,,,,
0.2015,123,-20.6,24.5,0.0015,,,,,,
0.2550,150,-7.7,24.5,0.0020,,,,,,
0.3425,169,3.4,24.5,0.0045,,,,,,
0.5425,199,26.6,24.5,0.0065,,,,,,
0.6940,229,43.1,24.5,0.0050,83.05,1.92,,,,NaN
