Task,T455,,,,,,,,,
Scope 1/1, Sample 2/9 (INITIAL-2),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,-38.1,24,NaN,,,,,,
0.02,19,-64.8,24,0.001,,,,,,
0.04,22,-65.2,24,0.007,,,,,,
0.09,47,-55.8,24,0.002,,,,,,
0.1265,73,-45.7,24,0.0015,,,,,,
0.165,102,-32.8,24,0.0015,,,,,,
0.205,130,-20.2,24,0.0015,,,,,,
0.2595,157,-7.7,24,0.002,,,,,,
0.3545,176,3.5,24,0.005,,,,,,
0.5545,206,27.5,24,0.0065,89.69,1.95,,,,NaN
0.685,237,42.3,24,0.0045,73.21,1.86,,,,NaN
0.8345,260,55.8,24,0.0065,78.35,1.89,,,,NaN
1.0345,265,66,24,0.041,123.58,2.09,,,,NaN
1.2345,292,103.3,24,0.0075,235.71,2.37,,,,NaN
1.2545,426,107.2,24,0,265.55,2.42,,,,NaN
1.294,444,117,24,0.002,308.82,2.49,,,,NaN
1.319,460,124.6,24,0.0015,330.99,2.52,,,,NaN
1.341,474,132.6,24,0.0015,343.19,2.54,,,,NaN
1.361,488,141,24,0.0015,403.2,2.61,,,,NaN
1.381,500,149.6,24,0.0015,394.88,2.6,,,,NaN
1.401,511,157.6,24,0.002,354.4,2.55,,,,NaN
1.423,522,165.4,24,0.002,310.67,2.49,,,,NaN
1.4485,531,173.1,24,0.003,272.16,2.43,,,,NaN
1.48,541,180.6,24,0.0035,230.99,2.36,,,,NaN
1.5225,549,188.2,24,0.005,185.35,2.27,,,,NaN
1.5815,557,196.3,24,0.007,,,,,,
1.658,565,204,24,0.0095,,,,,,
1.764,573,212,24,0.013,,,,,,
1.9085,581,220,24,0.0185,,,,,,
2.1045,588,227.9,24,0.0275,,,,,,
Scope 1/1, Sample 3/9 (BLANK-4),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,-40,24,NaN,,,,,,
0.02,18,-65.3,24,0.001,,,,,,
0.04,21,-65.7,24,0.006,,,,,,
0.09,46,-56.5,24,0.002,,,,,,
0.128,76,-45.5,24,0.0015,,,,,,
0.163,105,-33.8,24,0.001,,,,,,
0.2045,135,-20.7,24,0.0015,,,,,,
0.258,164,-8.2,24,0.002,,,,,,
0.351,185,3.4,24,0.0045,,,,,,
0.551,216,24.5,24,0.0065,,,,,,
0.73,246,43.5,24,0.006,84.85,1.93,,,,NaN
0.879,273,58.7,24,0.0055,97.45,1.99,,,,NaN
1.0415,299,74.8,24,0.0065,133.11,2.12,,,,NaN
1.21,323,97.9,24,0.007,207.97,2.32,,,,NaN
1.2935,340,117,24,0.005,287.38,2.46,,,,NaN
1.3145,475,122.4,24,0,315.21,2.5,,,,NaN
1.342,491,132.4,24,0.0015,332.8,2.52,,,,NaN
1.362,505,141,24,0.0015,348.26,2.54,,,,NaN
1.382,519,149.7,24,0.0015,392.11,2.59,,,,NaN
1.402,531,158,24,0.0015,355.36,2.55,,,,NaN
1.4225,540,165,24,0.002,312.69,2.5,,,,NaN
1.4505,550,173.5,24,0.003,270.76,2.43,,,,NaN
1.4805,559,180.5,24,0.0035,231.21,2.36,,,,NaN
1.524,568,188.4,24,0.005,184.3,2.27,,,,NaN
1.5825,576,196.3,24,0.007,,,,,,
1.6605,583,204.1,24,0.0105,,,,,,
1.7685,592,212.2,24,0.0125,,,,,,
1.91,598,220,24,0.0235,,,,,,
2.11,605,228,24,0.028,,,,,,
Scope 1/1, Sample 4/9 (POC-219),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,-43.8,24,NaN,,,,,,
0.02,16,-65.1,24,0.001,,,,,,
0.04,19,-65.5,24,0.006,,,,,,
0.09,44,-55.9,24,0.002,,,,,,
0.125,71,-45.6,24,0.0015,,,,,,
0.1605,101,-33.5,24,0.001,,,,,,
0.201,129,-20.7,24,0.0015,,,,,,
0.255,156,-7.9,24,0.002,,,,,,
0.3455,176,3.5,24,0.0045,,,,,,
0.5455,206,24.9,24,0.0065,96.3,1.98,,,,NaN
0.719,237,43.5,24,0.0055,81.09,1.91,,,,NaN
0.8685,263,58.9,24,0.006,93.67,1.97,,,,NaN
1.032,267,70.8,24,0.044,129.84,2.11,,,,NaN
1.232,295,104.4,24,0.007,225.9,2.35,,,,NaN
1.2525,429,108.4,24,0,262.41,2.42,,,,NaN
1.2875,446,117.4,24,0.002,306.43,2.49,,,,NaN
1.311,462,124.7,24,0.0015,330.76,2.52,,,,NaN
1.3325,478,132.7,24,0.0015,350.21,2.54,,,,NaN
1.3525,492,141,24,0.0015,409.04,2.61,,,,NaN
1.3725,503,149.6,24,0.002,397.47,2.6,,,,NaN
1.3925,514,157.9,24,0.002,354.29,2.55,,,,NaN
1.413,524,165.3,24,0.002,312.99,2.5,,,,NaN
1.4385,533,172.8,24,0.0025,274.4,2.44,,,,NaN
1.472,542,180.7,24,0.0035,229.81,2.36,,,,NaN
1.514,551,188.2,24,0.0045,184.6,2.27,,,,NaN
1.5725,560,196.3,24,0.006,,,,,,
1.6485,568,203.9,24,0.0095,,,,,,
1.757,575,212,24,0.0155,,,,,,
1.9015,583,220.1,24,0.018,,,,,,
2.0945,591,227.8,24,0.0255,,,,,,
Scope 1/1, Sample 5/9 (POR-216),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,-35.6,24,NaN,,,,,,
0.02,18,-62.9,24,0.001,,,,,,
0.04,21,-63.3,24,0.006,,,,,,
0.09,50,-52,24,0.0015,,,,,,
0.115,73,-43.6,24,0.001,,,,,,
0.1475,103,-31.8,24,0.001,,,,,,
0.188,132,-18.5,24,0.0015,,,,,,
0.2425,161,-5.4,24,0.002,,,,,,
0.3335,178,3.7,24,0.0055,,,,,,
0.5335,208,28,24,0.0065,,,,,,
0.642,238,42.6,24,0.0035,94.86,1.98,,,,NaN
0.748,263,53.5,24,0.004,99.73,2,,,,NaN
0.948,293,74.1,24,0.0065,138.7,2.14,,,,NaN
1.1025,317,96.4,24,0.0065,214.58,2.33,,,,NaN
1.182,336,114.7,24,0.004,297.23,2.47,,,,NaN
1.204,473,120.7,24,0,325.21,2.51,,,,NaN
1.229,489,129.7,24,0.0015,344,2.54,,,,NaN
1.249,504,138.4,24,0.0015,361.57,2.56,,,,NaN
1.269,518,147.7,24,0.0015,410.11,2.61,,,,NaN
1.289,530,156.5,24,0.0015,374.95,2.57,,,,NaN
1.309,541,163.8,24,0.002,328.24,2.52,,,,NaN
1.3345,550,171.8,24,0.003,286.64,2.46,,,,NaN
1.365,559,179.4,24,0.0035,242.96,2.39,,,,NaN
1.4055,567,187.1,24,0.005,194.66,2.29,,,,NaN
1.46,575,195,24,0.0065,149.81,2.18,,,,NaN
1.534,583,202.9,24,0.009,,,,,,
1.633,591,210.7,24,0.012,,,,,,
1.772,597,219,24,0.0225,,,,,,
1.953,605,226.6,24,0.022,,,,,,
2.153,613,233.1,24,0.0255,,,,,,
Scope 1/1, Sample 6/9 (INITIAL-1),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,-31.6,24,NaN,,,,,,
0.02,19,-60.7,24,0.001,,,,,,
0.04,23,-61.1,24,0.0055,,,,,,
0.09,52,-49.5,24,0.0015,,,,,,
0.1135,76,-41.6,24,0.001,,,,,,
0.1465,102,-30.8,24,0.0015,,,,,,
0.196,132,-16,24,0.0015,,,,,,
0.2555,162,-2.8,24,0.002,,,,,,
0.351,192,9.8,24,0.003,,,,,,
0.551,222,28.6,24,0.0065,92.87,1.97,,,,NaN
0.751,252,48.4,24,0.0065,82.39,1.92,,,,NaN
0.9045,282,64.4,24,0.005,103.02,2.01,,,,NaN
1.051,306,79.8,24,0.006,140.85,2.15,,,,NaN
1.202,329,102.3,24,0.0065,211.93,2.33,,,,NaN
1.24,467,110.1,24,0.0005,261.11,2.42,,,,NaN
1.2685,485,117.7,24,0.0015,302.83,2.48,,,,NaN
