Task,T455
Scope 1/1, Sample 1/9 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,234.5,24.0,NaN,,,,,,
0.0200,3,234.0,24.0,0.0060,,,,,,
0.0400,6,234.3,24.0,0.0055,,,,,,
0.0900,11,235.6,24.0,0.0105,,,,,,
0.2150,16,238.7,24.0,0.0245,,,,,,
0.4150,22,243.0,24.0,0.0345,,,,,,
0.6150,28,246.8,24.0,0.0345,,,,,,
0.8150,34,250.0,24.0,0.0365,,,,,,
1.0150,39,252.9,24.0,0.0415,,,,,,
1.2150,44,255.5,24.0,0.0390,,,,,,
1.4150,49,257.8,24.0,0.0370,,,,,,
1.6150,55,259.9,24.0,0.0350,,,,,,
1.8150,60,261.8,24.0,0.0410,,,,,,
2.0150,65,263.6,24.0,0.0435,,,,,,
2.2150,70,265.2,24.0,0.0445,,,,,,
2.4150,74,266.8,24.0,0.0490,,,,,,
2.6150,79,268.3,24.0,0.0410,,,,,,
2.8150,84,269.7,24.0,0.0425,,,,,,
3.0150,88,270.9,24.0,0.0465,,,,,,
3.2150,93,272.2,24.0,0.0400,,,,,,
3.4150,97,273.3,24.0,0.0455,,,,,,
3.5600,101,274.1,24.0,0.0335,,,,,,
Scope 1/1, Sample 2/9 (INITIAL-2)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-38.1,24.0,NaN,,,,,,
0.0200,19,-64.8,24.0,0.0010,,,,,,
0.0400,22,-65.2,24.0,0.0070,,,,,,
0.0900,47,-55.8,24.0,0.0020,,,,,,
0.1265,73,-45.7,24.0,0.0015,,,,,,
0.1650,102,-32.8,24.0,0.0015,,,,,,
0.2050,130,-20.2,24.0,0.0015,,,,,,
0.2595,157,-7.7,24.0,0.0020,,,,,,
0.3545,176,3.5,24.0,0.0050,,,,,,
0.5545,206,27.5,24.0,0.0065,89.69,1.95,,,,NaN
0.6850,237,42.3,24.0,0.0045,73.21,1.86,,,,NaN
0.8345,260,55.8,24.0,0.0065,78.35,1.89,,,,NaN
1.0345,265,66.0,24.0,0.0410,123.58,2.09,,,,NaN
1.2345,292,103.3,24.0,0.0075,235.71,2.37,,,,NaN
1.2545,426,107.2,24.0,0.0000,265.55,2.42,,,,NaN
1.2940,444,117.0,24.0,0.0020,308.82,2.49,,,,NaN
1.3190,460,124.6,24.0,0.0015,330.99,2.52,,,,NaN
1.3410,474,132.6,24.0,0.0015,343.19,2.54,,,,NaN
1.3610,488,141.0,24.0,0.0015,403.20,2.61,,,,NaN
1.3810,500,149.6,24.0,0.0015,394.88,2.60,,,,NaN
1.4010,511,157.6,24.0,0.0020,354.40,2.55,,,,NaN
1.4230,522,165.4,24.0,0.0020,310.67,2.49,,,,NaN
1.4485,531,173.1,24.0,0.0030,272.16,2.43,,,,NaN
1.4800,541,180.6,24.0,0.0035,230.99,2.36,,,,NaN
1.5225,549,188.2,24.0,0.0050,185.35,2.27,,,,NaN
1.5815,557,196.3,24.0,0.0070,,,,,,
1.6580,565,204.0,24.0,0.0095,,,,,,
1.7640,573,212.0,24.0,0.0130,,,,,,
1.9085,581,220.0,24.0,0.0185,,,,,,
2.1045,588,227.9,24.0,0.0275,,,,,,
Scope 1/1, Sample 3/9 (BLANK-4)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-40.0,24.0,NaN,,,,,,
0.0200,18,-65.3,24.0,0.0010,,,,,,
0.0400,21,-65.7,24.0,0.0060,,,,,,
0.0900,46,-56.5,24.0,0.0020,,,,,,
0.1280,76,-45.5,24.0,0.0015,,,,,,
0.1630,105,-33.8,24.0,0.0010,,,,,,
0.2045,135,-20.7,24.0,0.0015,,,,,,
0.2580,164,-8.2,24.0,0.0020,,,,,,
0.3510,185,3.4,24.0,0.0045,,,,,,
0.5510,216,24.5,24.0,0.0065,,,,,,
0.7300,246,43.5,24.0,0.0060,84.85,1.93,,,,NaN
0.8790,273,58.7,24.0,0.0055,97.45,1.99,,,,NaN
1.0415,299,74.8,24.0,0.0065,133.11,2.12,,,,NaN
1.2100,323,97.9,24.0,0.0070,207.97,2.32,,,,NaN
1.2935,340,117.0,24.0,0.0050,287.38,2.46,,,,NaN
1.3145,475,122.4,24.0,0.0000,315.21,2.50,,,,NaN
1.3420,491,132.4,24.0,0.0015,332.80,2.52,,,,NaN
1.3620,505,141.0,24.0,0.0015,348.26,2.54,,,,NaN
1.3820,519,149.7,24.0,0.0015,392.11,2.59,,,,NaN
1.4020,531,158.0,24.0,0.0015,355.36,2.55,,,,NaN
1.4225,540,165.0,24.0,0.0020,312.69,2.50,,,,NaN
1.4505,550,173.5,24.0,0.0030,270.76,2.43,,,,NaN
1.4805,559,180.5,24.0,0.0035,231.21,2.36,,,,NaN
1.5240,568,188.4,24.0,0.0050,184.30,2.27,,,,NaN
1.5825,576,196.3,24.0,0.0070,,,,,,
1.6605,583,204.1,24.0,0.0105,,,,,,
1.7685,592,212.2,24.0,0.0125,,,,,,
1.9100,598,220.0,24.0,0.0235,,,,,,
2.1100,605,228.0,24.0,0.0280,,,,,,
Scope 1/1, Sample 4/9 (POC-219)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-43.8,24.0,NaN,,,,,,
0.0200,16,-65.1,24.0,0.0010,,,,,,
0.0400,19,-65.5,24.0,0.0060,,,,,,
0.0900,44,-55.9,24.0,0.0020,,,,,,
0.1250,71,-45.6,24.0,0.0015,,,,,,
0.1605,101,-33.5,24.0,0.0010,,,,,,
0.2010,129,-20.7,24.0,0.0015,,,,,,
0.2550,156,-7.9,24.0,0.0020,,,,,,
0.3455,176,3.5,24.0,0.0045,,,,,,
0.5455,206,24.9,24.0,0.0065,96.30,1.98,,,,NaN
0.7190,237,43.5,24.0,0.0055,81.09,1.91,,,,NaN
0.8685,263,58.9,24.0,0.0060,93.67,1.97,,,,NaN
1.0320,267,70.8,24.0,0.0440,129.84,2.11,,,,NaN
1.2320,295,104.4,24.0,0.0070,225.90,2.35,,,,NaN
1.2525,429,108.4,24.0,0.0000,262.41,2.42,,,,NaN
1.2875,446,117.4,24.0,0.0020,306.43,2.49,,,,NaN
1.3110,462,124.7,24.0,0.0015,330.76,2.52,,,,NaN
1.3325,478,132.7,24.0,0.0015,350.21,2.54,,,,NaN
1.3525,492,141.0,24.0,0.0015,409.04,2.61,,,,NaN
1.3725,503,149.6,24.0,0.0020,397.47,2.60,,,,NaN
1.3925,514,157.9,24.0,0.0020,354.29,2.55,,,,NaN
1.4130,524,165.3,24.0,0.0020,312.99,2.50,,,,NaN
1.4385,533,172.8,24.0,0.0025,274.40,2.44,,,,NaN
1.4720,542,180.7,24.0,0.0035,229.81,2.36,,,,NaN
1.5140,551,188.2,24.0,0.0045,184.60,2.27,,,,NaN
1.5725,560,196.3,24.0,0.0060,,,,,,
1.6485,568,203.9,24.0,0.0095,,,,,,
1.7570,575,212.0,24.0,0.0155,,,,,,
