Task,T566
Scope 1/1, Sample 1/9 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-60.0,23.2,NaN,,,,,,
0.0200,14,-73.9,23.2,0.0015,,,,,,
0.0400,17,-74.3,23.2,0.0060,,,,,,
0.0900,34,-68.9,23.2,0.0030,,,,,,
0.1995,64,-49.1,23.2,0.0035,,,,,,
0.2525,95,-30.8,23.2,0.0015,,,,,,
0.2770,121,-19.7,23.2,0.0010,,,,,,
0.3035,142,-12.3,23.2,0.0010,,,,,,
0.3700,166,-0.3,23.2,0.0030,,,,,,
0.5070,196,18.0,23.2,0.0045,,,,,,
0.6680,226,38.5,23.2,0.0055,71.72,1.86,,,,NaN
0.7995,256,54.0,23.2,0.0045,66.27,1.82,,,,NaN
0.9480,260,65.4,23.2,0.0345,100.90,2.00,,,,NaN
1.1480,264,80.3,23.2,0.0445,204.42,2.31,,,,NaN
1.3480,290,152.1,23.2,0.0075,326.04,2.51,,,,NaN
1.3680,421,162.1,23.2,0.0000,280.02,2.45,,,,NaN
1.3880,430,169.4,23.2,0.0020,287.13,2.46,,,,NaN
1.4185,439,178.4,23.2,0.0030,303.62,2.48,,,,NaN
1.4515,448,186.1,23.2,0.0040,208.97,2.32,,,,NaN
1.4950,456,193.9,23.2,0.0055,185.24,2.27,,,,NaN
1.5535,463,201.6,23.2,0.0085,,,,,,
1.6370,471,209.8,23.2,0.0110,,,,,,
1.7455,478,217.5,23.2,0.0160,,,,,,
1.8995,485,225.7,23.2,0.0225,,,,,,
2.0995,492,233.4,23.2,0.0280,,,,,,
Scope 1/1, Sample 2/9 (POC-386)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-33.2,23.0,NaN,,,,,,
0.0200,20,-61.4,23.0,0.0010,,,,,,
0.0400,23,-61.8,23.0,0.0070,,,,,,
0.0900,48,-53.0,23.0,0.0020,,,,,,
0.1310,79,-41.4,23.0,0.0015,,,,,,
0.1660,109,-29.7,23.0,0.0010,,,,,,
0.2065,137,-17.4,23.0,0.0015,,,,,,
0.2650,167,-3.5,23.0,0.0020,,,,,,
0.3510,182,3.5,23.0,0.0055,,,,,,
0.5510,212,26.4,23.0,0.0065,,,,,,
0.6510,242,40.9,23.0,0.0035,89.45,1.95,,,,NaN
0.7375,266,50.2,23.0,0.0035,88.93,1.95,,,,NaN
