Task,T564
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,173.6,22.7
2,173.6,22.7
3,173.6,22.7
4,173.7,22.7
5,173.7,22.7
6,173.6,22.7
7,173.6,22.7
8,173.7,22.7
9,173.7,22.7
10,173.6,22.7
11,173.6,22.7
12,173.6,22.7
13,173.6,22.7
14,173.7,22.7
15,173.6,22.7
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,-0.9,22.6
2,-0.9,22.6
3,-0.9,22.6
4,-0.9,22.6
5,-0.9,22.6
6,-0.9,22.6
7,-0.9,22.6
8,-0.9,22.6
9,-0.9,22.6
10,-0.9,22.6
11,-0.9,22.6
12,-0.9,22.6
13,-0.9,22.6
14,-0.9,22.6
15,-0.9,22.6
16,-0.9,22.6
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-175.0,22.7
2,-175.0,22.7
3,-175.0,22.7
4,-175.0,22.7
5,-175.0,22.7
6,-175.0,22.7
7,-175.0,22.7
8,-175.0,22.7
9,-175.0,22.7
10,-175.0,22.7
11,-175.0,22.7
12,-175.0,22.7
13,-175.0,22.7
14,-175.1,22.7
15,-175.0,22.7
