Task,T651
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,175.1,23.6
2,175.1,23.6
3,175.1,23.6
4,175.1,23.6
5,175.1,23.6
6,175.1,23.6
7,175.1,23.6
8,175.1,23.6
9,175.1,23.6
10,175.1,23.6
11,175.1,23.6
12,175.1,23.6
13,175.1,23.6
14,175.1,23.6
15,175.1,23.6
16,175.1,23.6
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,0.3,23.4
2,0.4,23.4
3,0.4,23.4
4,0.3,23.4
5,0.3,23.4
6,0.3,23.4
7,0.3,23.4
8,0.3,23.4
9,0.3,23.4
10,0.3,23.4
11,0.3,23.4
12,0.3,23.4
13,0.3,23.4
14,0.3,23.4
15,0.3,23.4
16,0.3,23.4
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-169.6,23.6
2,-169.6,23.6
3,-169.6,23.6
4,-169.6,23.6
5,-169.6,23.6
6,-169.6,23.6
7,-169.6,23.6
8,-169.7,23.6
9,-169.7,23.6
10,-169.7,23.6
11,-169.7,23.6
12,-169.7,23.6
13,-169.7,23.6
14,-169.7,23.6
15,-169.7,23.6
