Task,T679
Scope 1/1, Sample 1/9 (JUNK)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-49.1,19.0,NaN,,,,,,
0.0200,21,-76.2,19.0,0.0010,,,,,,
0.0400,24,-76.7,19.0,0.0065,,,,,,
0.0900,39,-72.2,19.0,0.0035,,,,,,
0.2150,69,-49.9,19.1,0.0040,,,,,,
0.2605,99,-28.2,19.1,0.0015,,,,,,
0.2805,129,-13.0,19.1,0.0005,,,,,,
0.3005,154,-4.8,19.1,0.0010,,,,,,
0.3505,173,3.1,19.1,0.0025,,,,,,
0.4755,203,20.9,19.1,0.0040,142.51,2.15,,,,NaN
0.5990,233,39.8,19.1,0.0040,97.02,1.99,,,,NaN
0.6970,263,54.3,19.1,0.0030,104.23,2.02,,,,NaN
0.8095,269,62.4,19.1,0.0180,155.01,2.19,,,,NaN
1.0095,299,104.3,19.1,0.0065,389.11,2.59,,,,NaN
1.0295,434,120.0,19.1,0.0000,415.97,2.62,,,,NaN
1.0495,450,128.8,19.1,0.0015,415.96,2.62,,,,NaN
1.0820,467,146.8,19.1,0.0020,431.91,2.64,,,,NaN
1.1020,481,157.7,19.1,0.0015,492.08,2.69,,,,NaN
1.1220,493,167.0,19.1,0.0015,392.57,2.59,,,,NaN
1.1425,502,174.6,19.1,0.0020,337.35,2.53,,,,NaN
1.1685,512,182.4,19.1,0.0025,291.73,2.46,,,,NaN
1.2020,521,189.9,19.1,0.0035,235.66,2.37,,,,NaN
1.2505,530,198.0,19.1,0.0055,,,,,,
1.3135,538,205.8,19.1,0.0080,,,,,,
1.4015,546,213.7,19.1,0.0110,,,,,,
1.5225,554,221.8,19.1,0.0155,,,,,,
1.6855,562,229.7,19.1,0.0210,,,,,,
Scope 1/1, Sample 2/9 (POR-81)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-12.6,17.7,NaN,,,,,,
0.0200,27,-56.3,17.7,0.0005,,,,,,
0.0400,30,-56.8,17.7,0.0065,,,,,,
0.0900,50,-50.2,17.7,0.0025,,,,,,
0.1625,81,-33.1,17.7,0.0025,,,,,,
0.2010,111,-15.6,17.8,0.0015,,,,,,
0.2210,133,-7.8,17.8,0.0010,,,,,,
0.2690,150,-0.8,17.8,0.0030,,,,,,
0.3890,180,13.5,17.8,0.0040,,,,,,
0.5540,210,30.9,17.9,0.0055,94.18,1.97,,,,NaN
0.7235,240,46.8,17.9,0.0055,91.54,1.96,,,,NaN
0.9175,270,67.0,17.9,0.0065,114.62,2.06,,,,NaN
1.0545,300,84.1,18.0,0.0045,150.36,2.18,,,,NaN
1.1625,319,100.1,18.0,0.0055,201.70,2.30,,,,NaN
1.2080,445,108.6,18.1,0.0005,244.41,2.39,,,,NaN
1.2420,464,116.9,18.1,0.0020,289.83,2.46,,,,NaN
1.2665,479,124.2,18.1,0.0015,319.90,2.51,,,,NaN
1.2890,493,132.1,18.1,0.0015,354.06,2.55,,,,NaN
1.3090,507,140.2,18.1,0.0015,409.25,2.61,,,,NaN
1.3290,521,149.4,18.1,0.0015,430.09,2.63,,,,NaN
1.3490,533,158.4,18.2,0.0015,401.94,2.60,,,,NaN
1.3690,545,166.9,18.2,0.0015,351.55,2.55,,,,NaN
1.3895,555,173.9,18.2,0.0020,310.80,2.49,,,,NaN
1.4180,564,181.8,18.2,0.0030,266.71,2.43,,,,NaN
1.4535,573,189.5,18.2,0.0040,218.35,2.34,,,,NaN
1.5005,582,197.3,18.2,0.0055,,,,,,
1.5640,590,205.0,18.2,0.0075,,,,,,
1.6530,598,213.0,18.2,0.0110,,,,,,
1.7740,606,220.9,18.2,0.0155,,,,,,
1.9390,614,228.9,18.2,0.0215,,,,,,
Scope 1/1, Sample 3/9 (POR-74)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-13.8,17.9,NaN,,,,,,
0.0200,27,-56.6,17.9,0.0005,,,,,,
0.0400,30,-57.0,17.9,0.0070,,,,,,
0.0900,44,-52.0,17.9,0.0035,,,,,,
0.2150,74,-25.1,18.0,0.0040,,,,,,
0.2495,105,-5.6,18.0,0.0010,,,,,,
0.2695,118,-0.8,18.0,0.0015,,,,,,
0.3195,130,3.5,18.0,0.0040,,,,,,
0.4445,160,18.4,18.0,0.0040,,,,,,
0.5420,190,30.6,18.1,0.0030,,,,,,
0.6635,220,42.9,18.1,0.0040,89.65,1.95,,,,NaN
0.8580,251,60.1,18.1,0.0065,98.96,2.00,,,,NaN
1.0580,281,82.7,18.2,0.0065,143.80,2.16,,,,NaN
1.1695,305,99.1,18.2,0.0045,198.76,2.30,,,,NaN
1.2525,323,115.9,18.2,0.0045,270.86,2.43,,,,NaN
1.2810,460,123.5,18.3,0.0000,310.50,2.49,,,,NaN
1.3035,474,130.7,18.3,0.0015,336.26,2.53,,,,NaN
1.3245,489,139.1,18.3,0.0015,357.30,2.55,,,,NaN
1.3445,503,147.9,18.3,0.0015,408.13,2.61,,,,NaN
1.3645,516,157.1,18.3,0.0015,404.99,2.61,,,,NaN
1.3845,528,165.5,18.3,0.0015,355.45,2.55,,,,NaN
1.4060,538,173.0,18.3,0.0020,312.05,2.49,,,,NaN
1.4330,548,180.7,18.4,0.0025,270.65,2.43,,,,NaN
1.4675,557,188.5,18.4,0.0040,223.86,2.35,,,,NaN
1.5130,566,196.2,18.4,0.0050,,,,,,
1.5760,574,204.1,18.4,0.0075,,,,,,
1.6615,583,212.0,18.4,0.0100,,,,,,
1.7790,591,220.0,18.4,0.0150,,,,,,
1.9400,598,228.0,18.4,0.0225,,,,,,
Scope 1/1, Sample 4/9 (Initial-1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-18.4,18.2,NaN,,,,,,
0.0200,25,-56.8,18.2,0.0010,,,,,,
0.0400,28,-57.2,18.2,0.0060,,,,,,
0.0900,51,-50.0,18.2,0.0020,,,,,,
0.1530,81,-34.6,18.2,0.0020,,,,,,
0.1910,111,-19.3,18.2,0.0015,,,,,,
0.2150,136,-10.2,18.3,0.0010,,,,,,
0.2605,156,-1.3,18.3,0.0025,,,,,,
0.3745,160,3.5,18.3,0.0255,,,,,,
0.5745,191,25.0,18.3,0.0065,,,,,,
0.6850,221,42.5,18.3,0.0035,,,,,,
0.7540,248,52.3,18.4,0.0025,103.76,2.02,,,,NaN
0.8795,253,60.0,18.4,0.0235,110.64,2.04,,,,NaN
1.0795,284,83.1,18.4,0.0065,143.35,2.16,,,,NaN
1.1750,306,97.6,18.4,0.0045,184.48,2.27,,,,NaN
1.2555,312,110.5,18.4,0.0145,257.54,2.41,,,,NaN
1.3030,450,124.9,18.5,0.0005,313.00,2.50,,,,NaN
1.3230,465,131.5,18.5,0.0015,334.44,2.52,,,,NaN
1.3455,479,140.1,18.5,0.0015,357.10,2.55,,,,NaN
1.3655,492,149.0,18.5,0.0015,404.55,2.61,,,,NaN
1.3855,504,157.8,18.5,0.0015,398.81,2.60,,,,NaN
1.4055,514,166.0,18.5,0.0020,350.23,2.54,,,,NaN
1.4265,524,173.3,18.6,0.0020,308.07,2.49,,,,NaN
1.4530,534,181.0,18.6,0.0030,268.95,2.43,,,,NaN
1.4865,543,188.5,18.6,0.0040,223.94,2.35,,,,NaN
1.5325,551,196.2,18.6,0.0055,,,,,,
1.5960,559,204.3,18.6,0.0075,,,,,,
1.6800,567,212.2,18.6,0.0100,,,,,,
1.7935,576,220.0,18.6,0.0130,,,,,,
1.9565,583,228.1,18.6,0.0225,,,,,,
Scope 1/1, Sample 5/9 (POC-41)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-13.1,18.1,NaN,,,,,,
0.0200,26,-55.1,18.1,0.0010,,,,,,
0.0400,30,-55.6,18.1,0.0055,,,,,,
0.0900,53,-48.4,18.1,0.0020,,,,,,
0.1505,83,-33.2,18.2,0.0020,,,,,,
0.1875,113,-18.0,18.2,0.0010,,,,,,
0.2115,140,-8.8,18.2,0.0010,,,,,,
0.2560,158,-1.0,18.2,0.0025,,,,,,
0.3670,189,12.0,18.3,0.0035,,,,,,
0.5670,219,31.2,18.3,0.0065,90.55,1.96,,,,NaN
0.7670,249,49.6,18.3,0.0065,92.47,1.97,,,,NaN
