Task,T826
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,176.7,20.6
2,176.7,20.6
3,176.7,20.6
4,176.7,20.6
5,176.7,20.6
6,176.7,20.6
7,176.7,20.6
8,176.7,20.6
9,176.7,20.6
10,176.7,20.6
11,176.7,20.6
12,176.7,20.6
13,176.7,20.6
14,176.7,20.6
15,176.7,20.6
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,3.4,20.5
2,3.4,20.5
3,3.3,20.5
4,3.4,20.5
5,3.4,20.5
6,3.4,20.5
7,3.4,20.5
8,3.4,20.5
9,3.4,20.5
10,3.4,20.5
11,3.4,20.5
12,3.4,20.5
13,3.4,20.5
14,3.4,20.5
15,3.4,20.5
16,3.4,20.5
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-171.7,20.4
2,-171.7,20.4
3,-171.7,20.4
4,-171.7,20.4
5,-171.7,20.4
6,-171.7,20.4
7,-171.8,20.4
8,-171.8,20.4
9,-171.8,20.4
10,-171.7,20.4
11,-171.7,20.4
12,-171.7,20.4
13,-171.7,20.4
14,-171.7,20.4
15,-171.7,20.4
16,-171.7,20.4
