Task,T828,,,,,,,,,
Scope 1/1, Sample 1/9 (JUNK),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,-51.7,20.4,NaN,,,,,,
0.02,14,-66.7,20.5,0.0015,,,,,,
0.04,17,-67,20.5,0.0065,,,,,,
0.09,32,-62.6,20.5,0.0035,,,,,,
0.215,62,-41.8,20.5,0.004,,,,,,
0.265,93,-22.5,20.4,0.0015,,,,,,
0.285,116,-13.1,20.4,0.001,,,,,,
0.313,138,-6.1,20.4,0.0015,,,,,,
0.383,157,3.3,20.4,0.0035,,,,,,
0.558,188,22.9,20.4,0.0055,,,,,,
0.7295,218,40.3,20.4,0.006,80.02,1.9,,,,NaN
0.9015,248,55.7,20.4,0.0055,75.63,1.88,,,,NaN
1.1015,276,71,20.4,0.007,95.94,1.98,,,,NaN
1.3015,304,90.9,20.4,0.007,154.01,2.19,,,,NaN
1.4305,329,112.9,20.4,0.005,238.36,2.38,,,,NaN
1.458,464,120.2,20.3,0,280.6,2.45,,,,NaN
1.478,478,125.6,20.3,0.0015,309.49,2.49,,,,NaN
1.507,494,135,20.3,0.002,338.95,2.53,,,,NaN
1.5275,505,143,20.3,0.002,376.33,2.58,,,,NaN
1.5475,518,151.9,20.3,0.0015,413.24,2.62,,,,NaN
1.5675,530,160.7,20.3,0.0015,391.91,2.59,,,,NaN
1.5875,541,168.8,20.3,0.002,345.35,2.54,,,,NaN
1.609,551,176,20.3,0.002,304.57,2.48,,,,NaN
1.638,560,184.1,20.3,0.0035,261.77,2.42,,,,NaN
1.673,568,191.8,20.3,0.004,216.48,2.34,,,,NaN
1.719,577,199.3,20.3,0.005,,,,,,
1.785,585,207.3,20.3,0.0085,,,,,,
1.873,592,215.3,20.3,0.012,,,,,,
1.9925,600,223.1,20.3,0.0155,,,,,,
2.1605,607,231.2,20.3,0.0245,,,,,,
Scope 1/1, Sample 2/9 (POR-82),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,-23.1,19.4,NaN,,,,,,
0.02,20,-54.3,19.4,0.001,,,,,,
0.04,23,-54.8,19.4,0.006,,,,,,
0.09,51,-45.5,19.4,0.002,,,,,,
0.1275,81,-33.9,19.5,0.001,,,,,,
0.1585,112,-22.4,19.5,0.001,,,,,,
0.1945,142,-10.6,19.5,0.001,,,,,,
0.2495,165,-0.3,19.5,0.0025,,,,,,
0.387,195,16.5,19.5,0.0045,,,,,,
0.587,225,36.8,19.5,0.0065,90.03,1.95,,,,NaN
0.776,255,55.8,19.5,0.006,88.69,1.95,,,,NaN
0.937,286,73.4,19.5,0.0055,115.17,2.06,,,,NaN
1.0705,290,87.4,19.5,0.0305,158.8,2.2,,,,NaN
1.23,295,112.3,19.5,0.0305,259.26,2.41,,,,NaN
1.2645,432,125.1,19.5,0.0005,312.05,2.49,,,,NaN
1.2845,446,131.4,19.5,0.0015,333.14,2.52,,,,NaN
1.3135,462,142.5,19.5,0.002,351.72,2.55,,,,NaN
1.3335,476,151.3,19.5,0.0015,397.47,2.6,,,,NaN
1.3535,487,160.2,19.5,0.002,386.34,2.59,,,,NaN
1.3735,497,168.2,19.5,0.002,340.73,2.53,,,,NaN
1.3955,507,175.6,19.5,0.0025,298.96,2.48,,,,NaN
1.4235,516,183.2,19.5,0.003,260.74,2.42,,,,NaN
1.4605,524,191.2,19.5,0.0045,213.08,2.33,,,,NaN
1.508,532,198.8,19.5,0.0055,,,,,,
1.5745,540,206.7,19.5,0.0085,,,,,,
1.6645,548,214.7,19.5,0.0115,,,,,,
1.7855,555,222.6,19.5,0.0175,,,,,,
1.9535,562,230.6,19.5,0.024,,,,,,
Scope 1/1, Sample 3/9 (POC-57),,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,-22.9,19.2,NaN,,,,,,
0.02,21,-55,19.2,0.001,,,,,,
0.04,24,-55.4,19.2,0.0075,,,,,,
0.09,48,-47.1,19.2,0.002,,,,,,
0.1355,79,-34.1,19.2,0.0015,,,,,,
0.1685,109,-21.1,19.2,0.001,,,,,,
0.198,136,-11,19.2,0.001,,,,,,
0.2515,159,-0.6,19.2,0.0025,,,,,,
0.3855,189,15.7,19.2,0.0045,,,,,,
0.5855,219,35.1,19.2,0.0065,,,,,,
0.7855,224,48.5,19.2,0.041,88.2,1.95,,,,NaN
0.9855,254,73.6,19.2,0.0065,130.07,2.11,,,,NaN
1.066,276,86.3,19.2,0.0035,158.53,2.2,,,,NaN
1.147,296,97.6,19.2,0.004,195.48,2.29,,,,NaN
1.277,315,124.2,19.2,0.0065,283.18,2.45,,,,NaN
1.3035,450,131.9,19.2,0,327.52,2.52,,,,NaN
1.3235,463,139.4,19.2,0.0015,334.47,2.52,,,,NaN
1.3435,476,148.1,19.2,0.0015,354.77,2.55,,,,NaN
1.3635,488,157.1,19.2,0.0015,397.44,2.6,,,,NaN
1.3835,500,165.6,19.2,0.0015,361.22,2.56,,,,NaN
1.4035,510,172.8,19.2,0.002,318.07,2.5,,,,NaN
1.43,520,180.6,19.2,0.0025,276.47,2.44,,,,NaN
1.4625,528,188.3,19.2,0.004,231.77,2.37,,,,NaN
1.505,537,195.9,19.2,0.0045,,,,,,
1.5635,545,203.8,19.2,0.007,,,,,,
