Task,T410
Scope 1/1, Sample 1/3 (METTLER TOLEDO USA (Ref. 25?C) | 4.01)
Result,Measurenormal1
t,E,T
1,169.2,25.0
2,169.2,25.0
3,169.2,25.0
4,169.2,25.0
5,169.2,25.0
6,169.2,25.0
7,169.2,25.0
8,169.2,25.0
9,169.2,25.0
10,169.2,25.0
11,169.2,25.0
12,169.2,25.0
13,169.3,25.0
14,169.2,25.0
15,169.2,25.0
Scope 1/1, Sample 2/3 (METTLER TOLEDO USA (Ref. 25?C) | 7.00)
Result,Measurenormal1
t,E,T
1,-6.0,25.0
2,-6.0,25.0
3,-6.0,25.0
4,-6.0,25.0
5,-6.0,25.0
6,-6.0,25.0
7,-6.0,25.0
8,-6.0,25.0
9,-6.0,25.0
10,-6.0,25.0
11,-6.0,25.0
12,-6.0,25.0
13,-6.0,25.0
14,-6.0,25.0
15,-6.0,25.0
16,-6.0,25.0
Scope 1/1, Sample 3/3 (METTLER TOLEDO USA (Ref. 25?C) | 10.01)
Result,Measurenormal1
t,E,T
1,-180.9,25.0
2,-180.9,25.0
3,-180.9,25.0
4,-180.9,25.0
5,-180.9,25.0
6,-180.9,25.0
7,-180.9,25.0
8,-180.9,25.0
9,-180.9,25.0
10,-180.9,25.0
11,-181.0,25.0
12,-181.0,25.0
13,-181.0,25.0
14,-181.0,25.0
15,-181.0,25.0
