Task,T413
Scope 1/1, Sample 1/4 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-69.2,21.7,NaN,,,,,,
0.0200,5,-74.6,21.7,0.0040,,,,,,
0.0400,8,-74.2,21.7,0.0055,,,,,,
0.0900,22,-67.6,21.7,0.0035,,,,,,
0.1645,52,-48.0,21.7,0.0025,,,,,,
0.1945,82,-34.1,21.7,0.0010,,,,,,
0.2145,101,-26.5,21.7,0.0010,,,,,,
0.2645,127,-11.3,21.7,0.0020,,,,,,
0.3305,144,0.1,21.7,0.0040,,,,,,
0.4940,174,23.5,21.7,0.0055,,,,,,
0.6285,205,41.8,21.7,0.0045,87.17,1.94,,,,NaN
0.7530,209,49.2,21.7,0.0345,93.05,1.97,,,,NaN
0.9530,239,74.6,21.7,0.0065,170.32,2.23,,,,NaN
1.0320,260,88.3,21.7,0.0035,233.59,2.37,,,,NaN
1.1000,279,104.7,21.7,0.0035,317.58,2.50,,,,NaN
1.1240,415,112.8,21.7,0.0000,351.77,2.55,,,,NaN
1.1440,426,119.9,21.7,0.0020,371.41,2.57,,,,NaN
1.1655,440,129.5,21.7,0.0015,413.07,2.62,,,,NaN
1.1855,452,139.2,21.7,0.0015,457.35,2.66,,,,NaN
1.2055,463,149.4,21.7,0.0020,434.96,2.64,,,,NaN
1.2255,472,158.0,21.7,0.0020,377.07,2.58,,,,NaN
1.2470,481,166.2,21.7,0.0025,326.78,2.51,,,,NaN
1.2710,489,173.3,21.7,0.0030,286.42,2.46,,,,NaN
1.3050,497,180.9,21.7,0.0040,234.07,2.37,,,,NaN
1.3530,505,189.2,21.7,0.0060,178.26,2.25,,,,NaN
1.4130,513,196.9,21.7,0.0075,,,,,,
1.4980,520,204.9,21.7,0.0115,,,,,,
1.6110,527,212.8,21.7,0.0155,,,,,,
1.7695,535,220.8,21.7,0.0210,,,,,,
1.9695,542,228.3,21.7,0.0310,,,,,,
Scope 1/1, Sample 2/4 (POR-367)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-56.0,21.7,NaN,,,,,,
0.0200,9,-66.1,21.7,0.0020,,,,,,
0.0400,12,-66.3,21.7,0.0060,,,,,,
0.0900,37,-55.3,21.7,0.0020,,,,,,
0.1165,61,-46.5,21.7,0.0010,,,,,,
0.1480,88,-35.3,21.7,0.0010,,,,,,
0.1900,116,-20.8,21.7,0.0015,,,,,,
0.2380,139,-9.2,21.7,0.0020,,,,,,
0.3325,159,3.4,21.7,0.0045,,,,,,
0.5325,189,27.3,21.7,0.0065,,,,,,
0.6835,219,43.5,21.7,0.0050,81.65,1.91,,,,NaN
0.8475,244,58.0,21.7,0.0065,92.10,1.96,,,,NaN
1.0475,267,78.6,21.7,0.0085,146.96,2.17,,,,NaN
1.1815,285,99.3,21.7,0.0075,222.01,2.35,,,,NaN
1.2500,299,115.9,21.7,0.0050,286.16,2.46,,,,NaN
1.2710,434,120.6,21.7,0.0000,304.22,2.48,,,,NaN
1.3105,447,135.2,21.7,0.0030,327.23,2.51,,,,NaN
1.3305,458,143.9,21.7,0.0020,349.23,2.54,,,,NaN
1.3505,468,152.3,21.7,0.0020,370.91,2.57,,,,NaN
1.3705,478,159.9,21.7,0.0020,322.98,2.51,,,,NaN
1.3940,486,167.4,21.7,0.0030,283.45,2.45,,,,NaN
1.4235,495,174.9,21.7,0.0035,248.09,2.39,,,,NaN
1.4630,502,183.0,21.7,0.0055,201.33,2.30,,,,NaN
