Task,T417
Scope 1/1, Sample 1/9 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-68.3,21.7,NaN,,,,,,
0.0200,9,-76.7,21.7,0.0025,,,,,,
0.0400,12,-76.9,21.7,0.0065,,,,,,
0.0900,32,-69.4,21.7,0.0025,,,,,,
0.1465,60,-56.7,21.7,0.0020,,,,,,
0.1940,90,-41.7,21.7,0.0015,,,,,,
0.2305,120,-27.2,21.7,0.0010,,,,,,
0.2620,144,-16.4,21.7,0.0015,,,,,,
0.3170,169,-2.5,21.7,0.0020,,,,,,
0.4020,199,12.1,21.7,0.0030,,,,,,
0.5405,229,30.9,21.7,0.0045,110.93,2.05,,,,NaN
0.6880,258,47.9,21.7,0.0050,89.96,1.95,,,,NaN
0.8525,283,65.0,21.7,0.0065,124.69,2.10,,,,NaN
1.0245,313,89.6,21.7,0.0055,241.19,2.38,,,,NaN
1.1050,335,111.1,21.7,0.0035,342.04,2.53,,,,NaN
1.1250,470,119.0,21.7,0.0000,374.91,2.57,,,,NaN
1.1450,484,127.1,21.7,0.0015,387.09,2.59,,,,NaN
1.1650,498,137.1,21.7,0.0015,408.38,2.61,,,,NaN
1.1850,511,147.4,21.7,0.0015,458.88,2.66,,,,NaN
1.2050,522,156.6,21.7,0.0020,402.69,2.60,,,,NaN
1.2250,532,164.7,21.7,0.0020,348.49,2.54,,,,NaN
1.2475,541,172.0,21.7,0.0025,306.15,2.49,,,,NaN
1.2785,549,180.0,21.7,0.0040,254.52,2.41,,,,NaN
1.3175,557,187.5,21.7,0.0050,201.94,2.31,,,,NaN
1.3730,565,195.6,21.7,0.0065,,,,,,
1.4455,573,203.4,21.7,0.0095,,,,,,
1.5465,580,211.4,21.7,0.0145,,,,,,
1.6820,587,219.3,21.7,0.0185,,,,,,
1.8700,594,227.3,21.7,0.0250,,,,,,
Scope 1/1, Sample 2/9 (INITIAL-1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-50.4,21.7,NaN,,,,,,
0.0200,12,-65.8,21.7,0.0015,,,,,,
0.0400,15,-66.0,21.7,0.0060,,,,,,
0.0900,42,-55.3,21.7,0.0020,,,,,,
0.1180,66,-46.8,21.7,0.0010,,,,,,
0.1555,96,-33.9,21.7,0.0015,,,,,,
0.1965,123,-20.5,21.7,0.0015,,,,,,
0.2475,149,-8.2,21.7,0.0020,,,,,,
0.3380,167,3.5,21.7,0.0050,,,,,,
0.5380,198,27.7,21.7,0.0065,,,,,,
0.6800,227,43.4,21.7,0.0050,83.24,1.92,,,,NaN
0.8370,252,57.0,21.7,0.0060,88.31,1.95,,,,NaN
1.0370,276,76.3,21.7,0.0085,131.91,2.12,,,,NaN
1.1865,297,97.5,21.7,0.0070,204.58,2.31,,,,NaN
1.2635,313,114.4,21.7,0.0050,273.22,2.44,,,,NaN
1.2870,446,119.6,21.7,0.0000,298.77,2.48,,,,NaN
1.3225,460,131.9,21.7,0.0025,327.47,2.52,,,,NaN
1.3425,472,140.2,21.7,0.0015,341.14,2.53,,,,NaN
1.3625,483,148.9,21.7,0.0020,380.86,2.58,,,,NaN
1.3825,493,156.7,21.7,0.0020,351.55,2.55,,,,NaN
1.4050,503,164.8,21.7,0.0025,306.06,2.49,,,,NaN
1.4295,511,171.9,21.7,0.0030,271.83,2.43,,,,NaN
1.4635,519,179.9,21.7,0.0040,227.52,2.36,,,,NaN
1.5055,527,187.5,21.7,0.0055,183.71,2.26,,,,NaN
1.5635,534,195.4,21.7,0.0085,,,,,,
1.6400,541,203.2,21.7,0.0110,,,,,,
1.7475,548,211.3,21.7,0.0145,,,,,,
