Task,T456
Scope 1/1, Sample 1/9 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-48.7,24.2,NaN,,,,,,
0.0200,15,-67.7,24.2,0.0015,,,,,,
0.0400,18,-68.0,24.2,0.0070,,,,,,
0.0900,41,-58.8,24.2,0.0020,,,,,,
0.1275,66,-48.4,24.2,0.0015,,,,,,
0.1665,95,-35.3,24.2,0.0015,,,,,,
0.2055,123,-22.0,24.2,0.0015,,,,,,
0.2520,149,-9.8,24.2,0.0020,,,,,,
0.3310,174,3.5,24.2,0.0030,,,,,,
0.4790,205,23.4,24.2,0.0050,119.72,2.08,,,,NaN
0.6275,235,42.0,24.2,0.0050,88.51,1.95,,,,NaN
0.7655,264,56.4,24.2,0.0050,91.80,1.96,,,,NaN
0.9480,292,73.2,24.2,0.0065,154.13,2.19,,,,NaN
1.1460,322,109.9,24.2,0.0065,326.55,2.51,,,,NaN
1.1675,458,121.6,24.2,0.0000,364.88,2.56,,,,NaN
1.1875,474,129.7,24.2,0.0015,368.41,2.57,,,,NaN
1.2145,490,142.5,24.2,0.0015,364.55,2.56,,,,NaN
1.2345,503,152.3,24.2,0.0015,436.85,2.64,,,,NaN
1.2545,516,161.2,24.2,0.0015,369.19,2.57,,,,NaN
1.2745,525,168.4,24.2,0.0020,322.03,2.51,,,,NaN
1.3025,535,176.4,24.2,0.0030,276.79,2.44,,,,NaN
1.3370,544,184.1,24.2,0.0040,227.37,2.36,,,,NaN
1.3845,552,192.2,24.2,0.0055,175.02,2.24,,,,NaN
1.4450,560,199.7,24.2,0.0075,,,,,,
1.5315,568,207.8,24.2,0.0105,,,,,,
1.6465,575,215.7,24.2,0.0160,,,,,,
1.8040,583,223.7,24.2,0.0200,,,,,,
2.0040,591,231.1,24.2,0.0250,,,,,,
Scope 1/1, Sample 2/9 (POR-341)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-38.5,24.2,NaN,,,,,,
0.0200,18,-63.9,24.2,0.0010,,,,,,
0.0400,21,-64.2,24.2,0.0075,,,,,,
0.0900,47,-53.9,24.2,0.0020,,,,,,
0.1200,71,-45.2,24.2,0.0015,,,,,,
0.1595,101,-31.9,24.2,0.0015,,,,,,
0.2000,129,-19.4,24.2,0.0015,,,,,,
0.2575,158,-6.4,24.2,0.0020,,,,,,
0.3530,173,3.5,24.2,0.0065,,,,,,
0.5530,203,26.1,24.2,0.0065,,,,,,
0.6845,233,42.5,24.2,0.0045,89.71,1.95,,,,NaN
0.7990,259,53.8,24.2,0.0045,94.41,1.97,,,,NaN
0.9990,288,73.0,24.2,0.0070,128.57,2.11,,,,NaN
1.1700,312,95.8,24.2,0.0075,200.98,2.30,,,,NaN
1.2565,330,114.8,24.2,0.0050,283.63,2.45,,,,NaN
1.2785,467,120.8,24.2,0.0000,314.91,2.50,,,,NaN
1.3020,482,128.9,24.2,0.0015,336.69,2.53,,,,NaN
1.3220,498,136.9,24.2,0.0015,349.61,2.54,,,,NaN
1.3420,511,145.5,24.2,0.0015,400.49,2.60,,,,NaN
1.3620,523,154.3,24.2,0.0015,381.72,2.58,,,,NaN
1.3820,534,162.2,24.2,0.0020,335.14,2.53,,,,NaN
1.4045,544,169.5,24.2,0.0025,296.06,2.47,,,,NaN
1.4345,552,177.4,24.2,0.0035,253.20,2.40,,,,NaN
1.4720,561,185.3,24.2,0.0045,207.23,2.32,,,,NaN
1.5200,569,192.7,24.2,0.0060,162.74,2.21,,,,NaN
1.5890,577,200.8,24.2,0.0085,,,,,,
1.6790,584,208.7,24.2,0.0120,,,,,,
1.8025,592,216.6,24.2,0.0155,,,,,,
1.9715,599,224.6,24.2,0.0235,,,,,,
2.1715,606,231.6,24.2,0.0295,,,,,,
Scope 1/1, Sample 3/9 (POC-238)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-36.9,24.2,NaN,,,,,,
0.0200,17,-62.9,24.2,0.0010,,,,,,
0.0400,20,-63.3,24.2,0.0060,,,,,,
0.0900,47,-52.7,24.2,0.0020,,,,,,
0.1180,70,-44.5,24.2,0.0010,,,,,,
0.1580,100,-31.1,24.2,0.0015,,,,,,
0.2000,128,-18.3,24.2,0.0015,,,,,,
0.2575,158,-5.1,24.2,0.0020,,,,,,
0.3500,175,3.7,24.2,0.0055,,,,,,
0.5500,205,27.2,24.2,0.0065,,,,,,
0.6605,235,41.8,24.2,0.0035,91.93,1.96,,,,NaN
0.7670,260,51.8,24.2,0.0045,93.59,1.97,,,,NaN
0.9670,289,71.0,24.2,0.0070,120.60,2.08,,,,NaN
1.1315,314,91.3,24.2,0.0065,179.63,2.25,,,,NaN
1.2320,333,110.5,24.2,0.0050,261.91,2.42,,,,NaN
1.2590,469,117.2,24.2,0.0000,299.15,2.48,,,,NaN
1.2840,486,125.3,24.2,0.0015,330.02,2.52,,,,NaN
1.3040,501,132.9,24.2,0.0015,342.99,2.54,,,,NaN
1.3240,516,141.3,24.2,0.0015,392.71,2.59,,,,NaN
1.3440,529,149.9,24.2,0.0015,401.75,2.60,,,,NaN
1.3640,540,158.4,24.2,0.0020,358.52,2.55,,,,NaN
1.3840,550,165.7,24.2,0.0020,316.05,2.50,,,,NaN
1.4095,560,173.3,24.2,0.0025,276.58,2.44,,,,NaN
1.4425,569,181.0,24.2,0.0035,232.06,2.37,,,,NaN
1.4865,578,189.0,24.2,0.0050,184.22,2.27,,,,NaN
1.5425,586,196.6,24.2,0.0075,,,,,,
1.6220,593,204.6,24.2,0.0115,,,,,,
1.7280,601,212.6,24.2,0.0130,,,,,,
1.8700,608,220.4,24.2,0.0190,,,,,,
2.0700,616,228.5,24.2,0.0245,,,,,,
Scope 1/1, Sample 4/9 (BLANK-6)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-40.4,24.2,NaN,,,,,,
0.0200,17,-64.7,24.2,0.0010,,,,,,
0.0400,20,-65.1,24.2,0.0065,,,,,,
0.0900,46,-55.4,24.2,0.0020,,,,,,
0.1240,72,-45.8,24.2,0.0015,,,,,,
0.1635,102,-32.8,24.2,0.0015,,,,,,
0.2045,131,-19.9,24.2,0.0015,,,,,,
0.2585,159,-7.7,24.2,0.0020,,,,,,
0.3570,176,3.5,24.2,0.0060,,,,,,
0.5570,206,25.5,24.2,0.0065,,,,,,
0.7065,236,43.0,24.2,0.0050,87.88,1.94,,,,NaN
0.8360,262,55.9,24.2,0.0050,94.75,1.98,,,,NaN
1.0230,287,73.7,24.2,0.0075,127.97,2.11,,,,NaN
1.2000,312,97.4,24.2,0.0070,202.03,2.31,,,,NaN
1.2845,330,116.0,24.2,0.0045,282.40,2.45,,,,NaN
1.3065,464,121.9,24.2,0.0000,313.07,2.50,,,,NaN
1.3310,481,130.3,24.2,0.0015,332.55,2.52,,,,NaN
1.3510,495,138.6,24.2,0.0015,345.47,2.54,,,,NaN
1.3710,509,147.1,24.2,0.0015,395.09,2.60,,,,NaN
1.3910,521,155.7,24.2,0.0015,369.52,2.57,,,,NaN
1.4110,531,163.2,24.2,0.0020,324.71,2.51,,,,NaN
1.4355,541,170.8,24.2,0.0025,285.46,2.46,,,,NaN
1.4660,550,178.6,24.2,0.0030,243.44,2.39,,,,NaN
