Task,T523
Scope 1/1, Sample 1/9 (POC-371)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-38.1,23.7,NaN,,,,,,
0.0200,18,-63.8,23.8,0.0010,,,,,,
0.0400,22,-64.2,23.8,0.0055,,,,,,
0.0900,48,-54.5,23.8,0.0020,,,,,,
0.1240,73,-45.4,23.8,0.0015,,,,,,
0.1680,103,-31.4,23.8,0.0015,,,,,,
0.2100,133,-18.1,23.7,0.0015,,,,,,
0.2610,160,-6.7,23.7,0.0020,,,,,,
0.3610,179,3.6,23.7,0.0055,,,,,,
0.5610,209,25.7,23.7,0.0065,,,,,,
0.6945,239,42.9,23.7,0.0045,94.27,1.97,,,,NaN
0.8015,264,54.7,23.7,0.0040,98.69,1.99,,,,NaN
0.9710,288,70.3,23.7,0.0070,119.56,2.08,,,,NaN
1.1710,313,95.2,23.7,0.0080,185.86,2.27,,,,NaN
1.2665,332,114.4,23.7,0.0050,267.77,2.43,,,,NaN
1.2910,467,120.5,23.7,0.0000,301.81,2.48,,,,NaN
1.3165,483,128.9,23.7,0.0015,328.32,2.52,,,,NaN
1.3365,497,136.2,23.7,0.0015,338.01,2.53,,,,NaN
1.3565,510,144.8,23.7,0.0015,389.01,2.59,,,,NaN
1.3765,522,153.4,23.7,0.0015,389.28,2.59,,,,NaN
1.3965,533,161.5,23.7,0.0020,346.40,2.54,,,,NaN
1.4175,543,168.6,23.7,0.0020,305.99,2.49,,,,NaN
1.4460,552,176.8,23.7,0.0030,264.29,2.42,,,,NaN
1.4785,561,184.1,23.7,0.0035,222.69,2.35,,,,NaN
1.5240,569,192.0,23.7,0.0060,176.29,2.25,,,,NaN
1.5850,577,199.8,23.7,0.0080,,,,,,
1.6675,585,207.8,23.7,0.0110,,,,,,
1.7785,592,215.6,23.7,0.0160,,,,,,
1.9335,600,223.7,23.7,0.0205,,,,,,
2.1335,606,231.4,23.7,0.0345,,,,,,
Scope 1/1, Sample 2/9 (POC-373)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-34.0,23.5,NaN,,,,,,
0.0200,20,-63.6,23.6,0.0010,,,,,,
0.0400,23,-64.0,23.6,0.0060,,,,,,
0.0900,50,-54.2,23.6,0.0020,,,,,,
0.1230,76,-45.0,23.6,0.0015,,,,,,
0.1640,106,-31.8,23.6,0.0015,,,,,,
