Task,T567
Scope 1/1, Sample 1/9 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-57.7,23.8,NaN,,,,,,
0.0200,15,-73.6,23.8,0.0015,,,,,,
0.0400,18,-73.9,23.8,0.0065,,,,,,
0.0900,37,-68.1,23.8,0.0025,,,,,,
0.1840,67,-50.6,23.8,0.0030,,,,,,
0.2380,97,-33.6,23.8,0.0020,,,,,,
0.2675,126,-21.3,23.8,0.0010,,,,,,
0.2970,148,-12.9,23.8,0.0015,,,,,,
0.3705,170,-0.2,23.8,0.0035,,,,,,
0.5210,200,20.7,23.8,0.0050,,,,,,
0.6655,230,38.4,23.8,0.0050,91.45,1.96,,,,NaN
0.8125,260,55.0,23.8,0.0050,86.36,1.94,,,,NaN
0.9660,285,68.4,23.8,0.0060,113.79,2.06,,,,NaN
1.1660,315,91.5,23.8,0.0065,221.94,2.35,,,,NaN
1.2695,344,118.8,23.8,0.0035,341.12,2.53,,,,NaN
1.2895,479,128.0,23.8,0.0000,369.24,2.57,,,,NaN
1.3095,492,136.0,23.8,0.0015,370.50,2.57,,,,NaN
1.3325,507,146.9,23.8,0.0015,384.06,2.58,,,,NaN
1.3525,519,156.3,23.8,0.0015,426.11,2.63,,,,NaN
1.3725,530,165.0,23.8,0.0020,363.03,2.56,,,,NaN
1.3925,540,172.1,23.8,0.0020,318.98,2.50,,,,NaN
1.4200,548,179.9,23.8,0.0035,275.14,2.44,,,,NaN
1.4550,556,187.8,23.8,0.0045,225.32,2.35,,,,NaN
1.5005,563,195.5,23.8,0.0065,,,,,,
1.5625,570,203.4,23.8,0.0090,,,,,,
1.6470,577,211.3,23.8,0.0115,,,,,,
1.7620,584,219.2,23.8,0.0160,,,,,,
1.9200,591,227.2,23.8,0.0225,,,,,,
Scope 1/1, Sample 2/9 (POR-69)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-25.3,23.7,NaN,,,,,,
0.0200,22,-58.4,23.7,0.0010,,,,,,
0.0400,25,-58.8,23.7,0.0070,,,,,,
0.0900,54,-47.5,23.7,0.0015,,,,,,
0.1150,78,-39.4,23.7,0.0010,,,,,,
0.1500,108,-27.2,23.7,0.0010,,,,,,
0.1925,138,-14.0,23.7,0.0015,,,,,,
0.2500,166,-1.6,23.7,0.0020,,,,,,
0.3570,196,12.7,23.7,0.0035,,,,,,
0.5505,226,33.0,23.7,0.0065,97.75,1.99,,,,NaN
0.7445,256,53.3,23.8,0.0065,93.77,1.97,,,,NaN
0.8980,286,71.6,23.8,0.0050,121.46,2.08,,,,NaN
1.0150,308,85.3,23.8,0.0055,161.56,2.21,,,,NaN
1.1545,313,106.6,23.8,0.0305,246.77,2.39,,,,NaN
1.1945,451,119.1,23.8,0.0005,302.47,2.48,,,,NaN
1.2145,464,125.1,23.8,0.0015,326.59,2.51,,,,NaN
1.2415,480,135.3,23.8,0.0015,350.73,2.54,,,,NaN
1.2615,493,143.7,23.8,0.0015,393.54,2.59,,,,NaN
