Task,T653
Scope 1/1, Sample 1/9 (JUNK1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-43.8,23.6,NaN,,,,,,
0.0200,20,-71.2,23.7,0.0010,,,,,,
0.0400,23,-71.6,23.7,0.0065,,,,,,
0.0900,50,-62.1,23.7,0.0020,,,,,,
0.1255,76,-52.7,23.7,0.0015,,,,,,
0.1690,107,-37.9,23.7,0.0015,,,,,,
0.2055,137,-22.5,23.7,0.0010,,,,,,
0.2360,162,-12.1,23.7,0.0010,,,,,,
0.2940,186,-0.4,23.7,0.0025,,,,,,
0.4300,216,19.9,23.7,0.0045,142.69,2.15,,,,NaN
0.5735,246,38.6,23.7,0.0045,100.92,2.00,,,,NaN
0.7145,277,57.1,23.7,0.0045,106.54,2.03,,,,NaN
0.8350,280,66.7,23.7,0.0345,142.38,2.15,,,,NaN
1.0350,311,103.8,23.7,0.0065,290.78,2.46,,,,NaN
1.0550,446,112.0,23.7,0.0000,328.64,2.52,,,,NaN
1.0750,460,118.1,23.7,0.0015,353.10,2.55,,,,NaN
1.1100,477,131.2,23.7,0.0020,392.98,2.59,,,,NaN
1.1300,492,140.8,23.7,0.0015,422.97,2.63,,,,NaN
1.1500,505,150.6,23.7,0.0015,446.02,2.65,,,,NaN
1.1700,514,160.0,23.7,0.0020,405.69,2.61,,,,NaN
1.1900,524,168.4,23.7,0.0020,347.99,2.54,,,,NaN
1.2110,533,175.1,23.7,0.0025,309.87,2.49,,,,NaN
1.2435,542,183.7,23.7,0.0035,256.51,2.41,,,,NaN
1.2810,550,191.2,23.7,0.0050,206.31,2.31,,,,NaN
1.3320,557,198.8,23.7,0.0070,,,,,,
1.4055,565,207.1,23.7,0.0090,,,,,,
1.4980,572,214.8,23.7,0.0125,,,,,,
1.6305,579,222.8,23.7,0.0180,,,,,,
1.8095,587,230.8,23.7,0.0235,,,,,,
Scope 1/1, Sample 2/9 (BLANK-11)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-32.7,23.8,NaN,,,,,,
0.0200,18,-58.7,23.8,0.0010,,,,,,
0.0400,22,-59.2,23.8,0.0055,,,,,,
0.0900,48,-49.6,23.8,0.0020,,,,,,
0.1245,77,-39.7,23.8,0.0010,,,,,,
0.1620,107,-27.6,23.8,0.0015,,,,,,
0.2065,137,-13.9,23.8,0.0015,,,,,,
0.2610,164,-1.5,23.8,0.0020,,,,,,
0.3560,195,11.8,23.8,0.0030,,,,,,
0.5420,225,32.8,23.8,0.0060,,,,,,
0.7160,229,45.5,23.8,0.0415,67.37,1.83,,,,NaN
0.9160,234,55.8,23.8,0.0445,99.19,2.00,,,,NaN
1.1160,264,90.3,23.8,0.0065,174.10,2.24,,,,NaN
1.1590,278,97.9,23.8,0.0030,198.92,2.30,,,,NaN
1.2490,295,114.3,23.8,0.0055,259.31,2.41,,,,NaN
1.2915,429,124.8,23.8,0.0005,295.95,2.47,,,,NaN
1.3155,442,132.5,23.8,0.0020,319.19,2.50,,,,NaN
1.3355,454,139.9,23.8,0.0015,351.56,2.55,,,,NaN
1.3555,467,148.3,23.8,0.0015,381.14,2.58,,,,NaN
1.3755,479,157.2,23.8,0.0015,389.35,2.59,,,,NaN
1.3955,488,165.1,23.8,0.0020,344.61,2.54,,,,NaN
1.4180,497,172.6,23.8,0.0025,303.08,2.48,,,,NaN
1.4465,506,180.8,23.8,0.0030,261.79,2.42,,,,NaN
1.4785,514,187.9,23.8,0.0040,221.70,2.35,,,,NaN
1.5250,522,195.8,23.8,0.0060,,,,,,
1.5870,530,203.8,23.8,0.0080,,,,,,
1.6685,537,211.6,23.8,0.0110,,,,,,
1.7825,544,219.6,23.8,0.0160,,,,,,
1.9380,551,227.5,23.8,0.0215,,,,,,
Scope 1/1, Sample 3/9 (POC-56)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-27.9,23.8,NaN,,,,,,
0.0200,19,-56.9,23.8,0.0010,,,,,,
0.0400,22,-57.4,23.8,0.0055,,,,,,
0.0900,51,-47.5,23.8,0.0015,,,,,,
0.1230,80,-37.4,23.8,0.0010,,,,,,
0.1560,107,-27.2,23.8,0.0010,,,,,,
0.2075,137,-12.5,23.8,0.0015,,,,,,
0.2685,161,-0.5,23.8,0.0025,,,,,,
0.3865,192,15.0,23.8,0.0040,,,,,,
0.5665,222,33.0,23.8,0.0060,99.12,2.00,,,,NaN
0.7665,252,54.2,23.8,0.0065,90.01,1.95,,,,NaN
0.9090,280,69.5,23.8,0.0050,106.35,2.03,,,,NaN
1.0575,305,84.8,23.8,0.0060,139.84,2.15,,,,NaN
1.2190,326,109.1,23.8,0.0080,214.01,2.33,,,,NaN
1.2555,463,116.6,23.8,0.0005,263.86,2.42,,,,NaN
1.2835,480,124.1,23.8,0.0015,304.08,2.48,,,,NaN
1.3070,494,131.8,23.8,0.0015,326.41,2.51,,,,NaN
1.3270,506,139.2,23.8,0.0015,355.13,2.55,,,,NaN
1.3470,519,147.7,23.8,0.0015,407.99,2.61,,,,NaN
1.3670,532,156.8,23.8,0.0015,390.42,2.59,,,,NaN
1.3870,542,164.7,23.8,0.0020,347.02,2.54,,,,NaN
1.4105,552,172.6,23.8,0.0025,303.70,2.48,,,,NaN
1.4385,561,180.6,23.8,0.0030,262.84,2.42,,,,NaN
1.4710,568,187.8,23.8,0.0045,221.76,2.35,,,,NaN
1.5180,576,195.8,23.8,0.0055,,,,,,
1.5790,583,203.7,23.8,0.0085,,,,,,
1.6615,591,211.5,23.8,0.0105,,,,,,
1.7750,598,219.5,23.8,0.0150,,,,,,
1.9300,605,227.4,23.8,0.0210,,,,,,
Scope 1/1, Sample 4/9 (POC-40)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-34.8,23.8,NaN,,,,,,
0.0200,17,-58.5,23.8,0.0010,,,,,,
0.0400,20,-59.0,23.8,0.0060,,,,,,
0.0900,49,-49.1,23.8,0.0015,,,,,,
0.1230,74,-40.4,23.8,0.0015,,,,,,
0.1675,104,-26.5,23.8,0.0015,,,,,,
0.2115,134,-12.6,23.8,0.0015,,,,,,
0.2615,159,-1.5,23.8,0.0020,,,,,,
0.3630,190,12.9,23.8,0.0035,,,,,,
0.5410,220,31.6,23.8,0.0060,101.93,2.01,,,,NaN
0.7410,250,51.5,23.8,0.0065,84.87,1.93,,,,NaN
0.9115,280,69.2,23.8,0.0055,102.02,2.01,,,,NaN
1.0580,301,84.1,23.8,0.0070,136.17,2.13,,,,NaN
1.2195,324,108.0,23.9,0.0070,209.66,2.32,,,,NaN
1.2565,460,115.2,23.9,0.0005,254.49,2.41,,,,NaN
1.2880,475,123.6,23.9,0.0020,299.53,2.48,,,,NaN
1.3100,488,130.2,23.9,0.0015,321.88,2.51,,,,NaN
1.3330,502,139.0,23.9,0.0015,350.31,2.54,,,,NaN
1.3530,514,147.2,23.9,0.0015,404.84,2.61,,,,NaN
1.3730,525,155.8,23.9,0.0020,392.41,2.59,,,,NaN
1.3930,536,164.4,23.9,0.0020,349.50,2.54,,,,NaN
1.4130,544,171.1,23.9,0.0025,310.25,2.49,,,,NaN
1.4435,553,180.0,23.9,0.0035,265.17,2.42,,,,NaN
1.4745,561,187.0,23.9,0.0040,226.20,2.35,,,,NaN
1.5210,568,195.1,23.9,0.0065,177.91,2.25,,,,NaN
1.5805,575,202.9,23.9,0.0080,,,,,,
1.6625,582,210.9,23.9,0.0110,,,,,,
1.7720,589,218.7,23.9,0.0150,,,,,,
1.9260,596,226.7,23.9,0.0215,,,,,,
2.1260,602,234.5,23.9,0.0330,,,,,,
Scope 1/1, Sample 5/9 (INITIAL-1)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-31.5,23.8,NaN,,,,,,
0.0200,20,-58.6,23.8,0.0010,,,,,,
0.0400,23,-58.9,23.8,0.0075,,,,,,
0.0900,50,-49.5,23.8,0.0020,,,,,,
0.1260,77,-39.4,23.8,0.0015,,,,,,
0.1650,108,-26.9,23.8,0.0015,,,,,,
0.2085,138,-13.7,23.8,0.0015,,,,,,
0.2640,165,-1.5,23.8,0.0020,,,,,,
0.3655,195,12.3,23.8,0.0035,,,,,,
0.5550,225,30.9,23.9,0.0065,99.36,2.00,,,,NaN
0.7550,255,51.3,23.9,0.0065,87.42,1.94,,,,NaN
0.9050,284,67.8,23.9,0.0050,103.16,2.01,,,,NaN
1.0410,307,81.4,23.9,0.0060,131.92,2.12,,,,NaN
1.2155,331,106.2,23.9,0.0075,201.90,2.31,,,,NaN
1.2550,469,113.8,23.9,0.0005,250.22,2.40,,,,NaN
1.2855,485,121.4,23.9,0.0020,293.74,2.47,,,,NaN
1.3105,501,129.2,23.9,0.0015,320.96,2.51,,,,NaN
1.3305,514,136.2,23.9,0.0015,344.55,2.54,,,,NaN
1.3510,528,144.6,23.9,0.0015,403.34,2.61,,,,NaN
1.3710,540,153.8,23.9,0.0015,402.58,2.60,,,,NaN
1.3910,551,162.0,23.9,0.0020,365.19,2.56,,,,NaN
1.4130,560,169.8,23.9,0.0025,318.78,2.50,,,,NaN
1.4390,570,178.0,23.9,0.0025,277.70,2.44,,,,NaN
1.4675,578,184.9,23.9,0.0035,239.82,2.38,,,,NaN
1.5110,587,193.1,23.9,0.0050,190.39,2.28,,,,NaN
1.5645,594,200.7,23.9,0.0075,,,,,,
1.6395,602,208.7,23.9,0.0095,,,,,,
1.7395,609,216.5,23.9,0.0145,,,,,,
1.8775,616,224.6,23.9,0.0190,,,,,,
2.0640,623,232.5,23.9,0.0260,,,,,,
Scope 1/1, Sample 6/9 (ACR-178)
Result,TitrationEQP1
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0.0000,0,-31.8,23.9,NaN,,,,,,
0.0200,18,-57.7,23.9,0.0010,,,,,,
0.0400,22,-58.1,23.9,0.0055,,,,,,
0.0900,48,-48.1,23.9,0.0020,,,,,,
0.1220,76,-38.4,23.9,0.0010,,,,,,
0.1565,104,-27.2,23.9,0.0010,,,,,,
