Task,T3355
Scope 1/1, Sample 1/4 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-86.3,21.6,NaN,,
0.0010,1,-86.6,21.6,0.0010,,
0.0025,2,-86.6,21.6,0.0015,,
0.0050,3,-86.6,21.6,0.0025,,
0.0085,4,-86.6,21.6,0.0030,,
0.0150,5,-86.7,21.6,0.0060,,
0.0230,6,-86.7,21.6,0.0075,,
0.0315,7,-86.6,21.6,0.0075,,
0.0390,8,-86.5,21.6,0.0075,,
0.0475,9,-86.5,21.6,0.0085,,
0.0560,10,-86.2,21.6,0.0075,,
0.0645,11,-86.0,21.6,0.0075,,
0.0730,12,-85.6,21.6,0.0075,,
0.0815,13,-85.3,21.6,0.0075,,
0.0890,14,-84.9,21.6,0.0075,,
0.0975,15,-84.5,21.6,0.0085,,
0.1055,16,-84.0,21.6,0.0075,,
0.1140,17,-83.5,21.6,0.0075,,
0.1225,18,-83.0,21.6,0.0075,,
0.1310,19,-82.4,21.6,0.0075,,
0.1395,20,-81.8,21.6,0.0085,,
0.1470,21,-81.2,21.6,0.0075,,
0.1555,22,-80.6,21.6,0.0075,,
0.1640,23,-80.0,21.6,0.0075,,
0.1720,24,-79.3,21.6,0.0075,,
0.1805,25,-78.6,21.6,0.0075,,
0.1885,26,-77.9,21.6,0.0080,,
0.1965,27,-77.1,21.6,0.0080,,
0.2050,28,-76.3,21.6,0.0075,,
0.2135,29,-75.5,21.6,0.0075,,
0.2220,30,-74.6,21.6,0.0075,,
0.2305,31,-73.7,21.6,0.0075,,
0.2380,32,-72.9,21.6,0.0075,,
0.2465,33,-72.0,21.6,0.0085,,
0.2550,34,-71.1,21.6,0.0075,,
0.2635,35,-70.0,21.6,0.0075,,
0.2715,36,-69.0,21.6,0.0075,,
0.2800,37,-68.0,21.6,0.0075,,
0.2885,38,-67.0,21.6,0.0085,,
0.2960,39,-65.9,21.6,0.0075,,
0.3045,40,-64.7,21.6,0.0075,,
0.3130,41,-63.8,21.6,0.0075,,
0.3215,42,-62.6,21.6,0.0075,,
0.3300,43,-61.3,21.6,0.0075,,
0.3380,44,-60.2,21.6,0.0080,,
0.3460,45,-59.2,21.6,0.0080,,
0.3540,46,-57.8,21.6,0.0075,,
0.3625,47,-56.6,21.6,0.0075,,
0.3710,48,-55.3,21.6,0.0075,,
0.3795,49,-54.0,21.6,0.0075,,
0.3880,50,-52.7,21.6,0.0075,,
0.3955,51,-51.5,21.6,0.0075,,
0.4040,52,-50.4,21.6,0.0075,,
0.4125,53,-49.2,21.6,0.0075,,
0.4210,54,-48.1,21.6,0.0075,,
0.4290,55,-47.0,21.6,0.0075,,
0.4375,56,-46.0,21.6,0.0075,,
0.4450,57,-45.0,21.6,0.0075,,
0.4535,58,-44.0,21.6,0.0075,,
0.4620,59,-43.0,21.6,0.0075,,
0.4705,60,-42.1,21.6,0.0075,,
0.4790,61,-41.2,21.6,0.0075,,
0.4875,62,-40.3,21.6,0.0075,,
0.4950,63,-39.6,21.6,0.0075,,
0.5035,64,-38.8,21.6,0.0075,,
