Task,T3358
Scope 1/1, Sample 1/23 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-87.0,21.8,NaN,,
0.0010,1,-87.2,21.8,0.0010,,
0.0025,2,-87.1,21.8,0.0015,,
0.0050,3,-87.1,21.8,0.0025,,
0.0090,4,-87.1,21.8,0.0035,,
0.0155,5,-87.2,21.8,0.0060,,
0.0235,6,-87.2,21.8,0.0075,,
0.0320,7,-87.2,21.8,0.0075,,
0.0405,8,-87.2,21.8,0.0075,,
0.0480,9,-87.0,21.8,0.0070,,
0.0565,10,-86.7,21.8,0.0075,,
0.0650,11,-86.4,21.8,0.0075,,
0.0735,12,-86.0,21.8,0.0075,,
0.0820,13,-85.7,21.8,0.0075,,
0.0905,14,-85.4,21.8,0.0075,,
0.0980,15,-84.9,21.8,0.0070,,
0.1065,16,-84.4,21.9,0.0075,,
0.1150,17,-83.9,21.9,0.0075,,
0.1235,18,-83.5,21.9,0.0075,,
0.1315,19,-82.9,21.9,0.0075,,
0.1395,20,-82.4,21.9,0.0075,,
0.1475,21,-81.7,21.9,0.0075,,
0.1560,22,-81.1,21.9,0.0075,,
0.1645,23,-80.4,21.9,0.0075,,
0.1730,24,-79.6,21.9,0.0075,,
0.1815,25,-78.9,21.9,0.0075,,
0.1890,26,-78.3,21.9,0.0070,,
0.1975,27,-77.4,21.9,0.0075,,
0.2060,28,-76.6,21.9,0.0075,,
0.2145,29,-75.7,21.9,0.0075,,
0.2230,30,-74.9,21.9,0.0075,,
0.2310,31,-74.0,21.9,0.0075,,
0.2390,32,-73.3,21.9,0.0075,,
0.2470,33,-72.3,21.9,0.0075,,
0.2555,34,-71.3,21.9,0.0075,,
0.2640,35,-70.2,21.9,0.0075,,
0.2725,36,-69.3,21.9,0.0075,,
0.2810,37,-68.3,21.9,0.0075,,
0.2885,38,-67.3,21.9,0.0070,,
0.2970,39,-66.2,21.9,0.0075,,
0.3055,40,-65.1,21.9,0.0075,,
0.3140,41,-63.9,21.9,0.0075,,
0.3225,42,-62.8,21.9,0.0070,,
0.3300,43,-61.7,21.9,0.0070,,
0.3385,44,-60.5,21.9,0.0075,,
0.3470,45,-59.2,21.9,0.0075,,
0.3550,46,-58.0,21.9,0.0075,,
0.3635,47,-56.8,21.9,0.0075,,
0.3720,48,-55.5,21.9,0.0075,,
0.3795,49,-54.4,21.9,0.0070,,
0.3880,50,-53.1,21.9,0.0075,,
0.3965,51,-51.8,21.9,0.0075,,
0.4050,52,-50.7,21.9,0.0075,,
0.4135,53,-49.5,21.9,0.0075,,
0.4220,54,-48.4,21.9,0.0070,,
0.4295,55,-47.5,21.9,0.0070,,
0.4380,56,-46.4,21.9,0.0075,,
0.4465,57,-45.3,21.9,0.0075,,
0.4545,58,-44.4,21.9,0.0075,,
0.4630,59,-43.5,21.9,0.0075,,
0.4715,60,-42.6,21.9,0.0075,,
0.4790,61,-41.7,21.9,0.0070,,
0.4875,62,-40.8,21.9,0.0075,,
0.4960,63,-39.9,21.9,0.0075,,
0.5045,64,-39.1,21.9,0.0075,,
0.5130,65,-38.2,21.9,0.0075,,
0.5215,66,-37.5,21.9,0.0075,,
0.5290,67,-36.7,21.9,0.0070,,
0.5375,68,-35.9,21.9,0.0075,,
0.5460,69,-35.1,21.9,0.0075,,
0.5540,70,-34.4,21.9,0.0075,,
0.5625,71,-33.7,21.9,0.0075,,
0.5705,72,-33.1,21.9,0.0075,,
0.5785,73,-32.3,21.9,0.0075,,
0.5870,74,-31.7,21.9,0.0075,,
0.5955,75,-30.9,21.9,0.0075,,
0.6040,76,-30.3,21.9,0.0075,,
0.6125,77,-29.6,21.9,0.0070,,
0.6200,78,-29.0,21.9,0.0070,,
0.6285,79,-28.3,21.9,0.0075,,
0.6370,80,-27.6,21.9,0.0075,,
0.6455,81,-26.9,21.9,0.0075,,
0.6535,82,-26.3,21.9,0.0075,,
0.6620,83,-25.7,21.9,0.0070,,
0.6695,84,-25.1,21.9,0.0070,,
0.6780,85,-24.6,21.9,0.0075,,
0.6865,86,-24.0,21.9,0.0075,,
0.6950,87,-23.4,21.9,0.0075,,
0.7035,88,-22.8,21.9,0.0075,,
0.7120,89,-22.3,21.9,0.0075,,
0.7195,90,-21.6,21.9,0.0070,,
0.7280,91,-21.0,21.9,0.0075,,
0.7365,92,-20.4,21.9,0.0075,,
0.7450,93,-19.9,21.9,0.0075,,
0.7530,94,-19.3,21.9,0.0075,,
0.7610,95,-18.8,21.9,0.0075,,
0.7695,96,-18.2,21.9,0.0075,,
0.7775,97,-17.7,21.9,0.0075,,
0.7860,98,-17.0,21.9,0.0075,,
0.7945,99,-16.4,21.9,0.0075,,
0.8030,100,-15.8,21.9,0.0070,,
0.8105,101,-15.3,21.9,0.0070,,
0.8190,102,-14.7,21.9,0.0075,,
0.8275,103,-14.2,21.9,0.0075,,
0.8360,104,-13.6,21.9,0.0075,,
0.8445,105,-13.1,21.9,0.0075,,
0.8530,106,-12.6,21.9,0.0075,,
0.8605,107,-12.0,21.9,0.0070,,
0.8690,108,-11.4,21.9,0.0075,,
0.8770,109,-10.9,21.9,0.0075,,
0.8855,110,-10.3,21.9,0.0075,,
0.8940,111,-9.8,21.9,0.0075,,
0.9025,112,-9.2,21.9,0.0070,,
0.9100,113,-8.7,21.9,0.0070,,
0.9185,114,-8.2,21.9,0.0075,,
0.9270,115,-7.7,21.9,0.0075,,
0.9355,116,-7.1,21.9,0.0075,,
0.9440,117,-6.6,21.9,0.0075,,
0.9520,118,-6.1,21.9,0.0075,,
0.9600,119,-5.6,21.9,0.0075,,
0.9680,120,-5.0,21.9,0.0075,,
0.9765,121,-4.4,21.9,0.0075,,
0.9850,122,-3.7,21.9,0.0075,,
0.9935,123,-3.0,21.9,0.0075,,
1.0010,124,-2.3,21.9,0.0070,,
1.0095,125,-1.7,21.9,0.0075,,
1.0180,126,-1.1,21.9,0.0075,,
1.0265,127,-0.4,21.9,0.0075,,
1.0350,128,0.3,21.9,0.0075,,
1.0435,129,0.3,21.9,0.0075,,
1.0510,130,0.7,21.9,0.0070,,
1.0595,131,1.2,21.9,0.0075,,
1.0675,132,1.9,21.9,0.0075,,
1.0760,133,2.7,21.9,0.0075,,
1.0845,134,3.7,21.9,0.0075,,
1.0930,135,4.0,21.9,0.0070,,
1.1005,136,4.7,21.9,0.0070,,
1.1090,137,5.3,21.9,0.0075,,
1.1175,138,5.9,21.9,0.0075,,
1.1260,139,6.5,21.9,0.0075,,
1.1345,140,7.1,21.9,0.0075,,
1.1430,141,7.8,21.9,0.0075,,
1.1505,142,8.6,21.9,0.0070,,
1.1590,143,9.4,21.9,0.0075,,
1.1675,144,10.4,21.9,0.0075,,
1.1755,145,11.2,21.9,0.0075,,
1.1840,146,12.2,21.9,0.0075,,
1.1925,147,13.0,21.9,0.0070,,
1.2000,148,13.8,21.9,0.0070,,
1.2085,149,14.7,21.9,0.0075,,
1.2170,150,15.6,21.9,0.0075,,
1.2255,151,16.5,21.9,0.0075,,
1.2340,152,17.5,21.9,0.0075,,
1.2415,153,18.4,21.9,0.0070,,
1.2500,154,19.4,21.9,0.0075,,
1.2585,155,20.5,21.9,0.0075,,
1.2670,156,21.7,21.9,0.0075,,
1.2750,157,22.9,21.9,0.0075,,
1.2835,158,24.3,21.9,0.0075,,
1.2910,159,25.5,21.9,0.0070,,
1.2995,160,27.0,21.9,0.0075,,
1.3080,161,28.5,21.9,0.0075,,
1.3165,162,30.2,21.9,0.0075,,
1.3250,163,31.9,21.9,0.0075,,
1.3335,164,33.9,21.9,0.0075,,
1.3410,165,35.8,21.9,0.0070,,
1.3495,166,38.2,21.9,0.0075,,
1.3580,167,40.9,21.9,0.0075,,
1.3660,168,43.8,21.9,0.0075,,
1.3745,169,47.0,21.9,0.0075,,
1.3830,170,50.7,21.9,0.0075,,
1.3905,171,54.4,21.9,0.0070,,
1.3990,172,59.0,21.9,0.0075,,
1.4075,173,64.4,21.9,0.0075,,
1.4160,174,70.3,21.9,0.0075,,
1.4245,175,76.9,21.9,0.0075,,
1.4330,176,83.4,21.9,0.0075,,
1.4405,177,91.1,21.9,0.0070,,
