Task,T3402
Scope 1/1, Sample 1/4 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-96.9,19.8,NaN,,
0.0010,1,-97.1,19.8,0.0010,,
0.0025,2,-97.1,19.8,0.0015,,
0.0050,3,-97.1,19.8,0.0025,,
0.0090,4,-97.1,19.8,0.0035,,
0.0150,5,-97.1,19.8,0.0055,,
0.0235,6,-97.2,19.8,0.0075,,
0.0320,7,-97.1,19.8,0.0075,,
0.0405,8,-97.1,19.8,0.0075,,
0.0480,9,-97.0,19.8,0.0070,,
0.0565,10,-96.8,19.8,0.0075,,
0.0650,11,-96.6,19.8,0.0075,,
0.0735,12,-96.3,19.8,0.0075,,
0.0820,13,-96.0,19.8,0.0075,,
0.0900,14,-95.7,19.8,0.0075,,
0.0980,15,-95.4,19.8,0.0080,,
0.1060,16,-95.1,19.8,0.0075,,
0.1145,17,-94.6,19.8,0.0075,,
0.1230,18,-94.1,19.8,0.0075,,
0.1315,19,-93.6,19.8,0.0075,,
0.1400,20,-93.1,19.8,0.0075,,
0.1475,21,-92.7,19.8,0.0075,,
0.1560,22,-92.1,19.8,0.0075,,
0.1645,23,-91.6,19.8,0.0075,,
0.1730,24,-90.9,19.8,0.0075,,
0.1810,25,-90.3,19.8,0.0075,,
0.1895,26,-89.7,19.8,0.0075,,
0.1970,27,-89.1,19.8,0.0075,,
0.2055,28,-88.5,19.8,0.0075,,
0.2140,29,-87.7,19.8,0.0075,,
0.2225,30,-87.1,19.8,0.0075,,
0.2310,31,-86.3,19.8,0.0075,,
0.2395,32,-85.6,19.8,0.0075,,
0.2475,33,-85.0,19.8,0.0080,,
0.2555,34,-84.2,19.8,0.0075,,
0.2635,35,-83.3,19.8,0.0075,,
0.2720,36,-82.5,19.8,0.0075,,
0.2805,37,-81.7,19.8,0.0075,,
0.2890,38,-80.8,19.8,0.0075,,
0.2975,39,-80.0,19.8,0.0085,,
0.3050,40,-79.0,19.8,0.0070,,
0.3135,41,-78.1,19.8,0.0075,,
0.3220,42,-77.1,19.8,0.0075,,
0.3305,43,-76.2,19.8,0.0075,,
0.3385,44,-75.2,19.8,0.0075,,
0.3465,45,-74.3,19.8,0.0080,,
0.3550,46,-73.4,19.8,0.0075,,
0.3630,47,-72.3,19.8,0.0075,,
0.3715,48,-71.3,19.8,0.0075,,
0.3800,49,-70.2,19.8,0.0075,,
0.3885,50,-69.1,19.8,0.0075,,
0.3960,51,-68.1,19.8,0.0075,,
0.4045,52,-67.0,19.8,0.0075,,
0.4130,53,-65.8,19.8,0.0075,,
0.4215,54,-64.7,19.8,0.0075,,
0.4295,55,-63.5,19.8,0.0075,,
0.4380,56,-62.3,19.8,0.0075,,
0.4465,57,-61.2,19.8,0.0085,,
0.4540,58,-60.1,19.8,0.0070,,
0.4625,59,-58.9,19.8,0.0075,,
0.4710,60,-57.8,19.8,0.0075,,
0.4795,61,-56.7,19.8,0.0075,,
0.4880,62,-55.7,19.8,0.0075,,
0.4965,63,-54.6,19.8,0.0075,,
0.5040,64,-53.7,19.8,0.0070,,
0.5125,65,-52.6,19.8,0.0075,,
0.5205,66,-51.7,19.8,0.0075,,
0.5290,67,-50.8,19.8,0.0075,,
0.5375,68,-49.8,19.8,0.0075,,
0.5460,69,-49.0,19.8,0.0075,,
0.5535,70,-48.2,19.8,0.0075,,
0.5620,71,-47.2,19.8,0.0075,,
0.5705,72,-46.4,19.8,0.0075,,
0.5790,73,-45.6,19.8,0.0075,,
0.5870,74,-44.8,19.8,0.0075,,
0.5955,75,-44.0,19.8,0.0075,,
0.6030,76,-43.3,19.8,0.0075,,
0.6115,77,-42.5,19.8,0.0075,,
0.6200,78,-41.8,19.8,0.0075,,
0.6285,79,-41.1,19.8,0.0075,,
0.6370,80,-40.4,19.8,0.0075,,
0.6455,81,-39.7,19.8,0.0075,,
0.6530,82,-39.0,19.8,0.0075,,
0.6615,83,-38.3,19.8,0.0075,,
0.6695,84,-37.6,19.8,0.0075,,
0.6780,85,-37.0,19.8,0.0075,,
0.6865,86,-36.4,19.8,0.0075,,
0.6950,87,-35.7,19.8,0.0075,,
0.7035,88,-35.1,19.8,0.0075,,
0.7110,89,-34.5,19.8,0.0070,,
0.7195,90,-33.9,19.8,0.0075,,
0.7280,91,-33.3,19.8,0.0075,,
0.7365,92,-32.6,19.8,0.0075,,
0.7445,93,-32.0,19.8,0.0075,,
0.7530,94,-31.4,19.8,0.0075,,
0.7605,95,-30.9,19.8,0.0075,,
0.7690,96,-30.3,19.8,0.0075,,
0.7775,97,-29.7,19.8,0.0075,,
0.7860,98,-29.2,19.8,0.0075,,
0.7945,99,-28.5,19.8,0.0075,,
0.8030,100,-27.9,19.8,0.0075,,
0.8105,101,-27.4,19.8,0.0070,,
0.8190,102,-26.8,19.8,0.0075,,
0.8275,103,-26.3,19.8,0.0075,,
0.8355,104,-25.7,19.8,0.0075,,
0.8440,105,-25.2,19.8,0.0075,,
0.8525,106,-24.7,19.8,0.0085,,
0.8600,107,-24.1,19.8,0.0070,,
0.8685,108,-23.6,19.8,0.0075,,
0.8770,109,-23.0,19.8,0.0075,,
0.8855,110,-22.5,19.8,0.0075,,
0.8940,111,-22.0,19.8,0.0075,,
0.9025,112,-21.4,19.8,0.0075,,
0.9100,113,-20.9,19.8,0.0070,,
0.9185,114,-20.3,19.8,0.0075,,
0.9265,115,-19.8,19.8,0.0075,,
0.9350,116,-19.2,19.8,0.0075,,
0.9435,117,-18.7,19.8,0.0075,,
0.9520,118,-18.1,19.8,0.0075,,
0.9595,119,-17.7,19.8,0.0075,,
0.9680,120,-17.1,19.8,0.0075,,
0.9765,121,-16.5,19.8,0.0075,,
0.9850,122,-16.0,19.8,0.0075,,
0.9935,123,-15.4,19.8,0.0075,,
1.0015,124,-14.9,19.8,0.0075,,
1.0095,125,-14.4,19.8,0.0080,,
1.0175,126,-13.8,19.8,0.0075,,
1.0260,127,-13.2,19.8,0.0075,,
1.0345,128,-12.7,19.8,0.0075,,
1.0430,129,-12.1,19.8,0.0075,,
1.0515,130,-11.5,19.8,0.0075,,
1.0590,131,-11.0,19.8,0.0075,,
1.0675,132,-10.4,19.8,0.0075,,
1.0760,133,-9.8,19.8,0.0075,,
1.0840,134,-9.3,19.8,0.0075,,
1.0925,135,-8.7,19.8,0.0075,,
1.1010,136,-8.1,19.8,0.0075,,
1.1095,137,-7.6,19.8,0.0085,,
1.1170,138,-7.0,19.8,0.0070,,
1.1255,139,-6.4,19.8,0.0075,,
1.1340,140,-5.8,19.8,0.0075,,
1.1425,141,-5.1,19.8,0.0075,,
1.1505,142,-4.4,19.8,0.0075,,
1.1590,143,-3.6,19.8,0.0075,,
1.1665,144,-2.9,19.8,0.0075,,
1.1750,145,-2.1,19.8,0.0075,,
1.1835,146,-1.3,19.8,0.0075,,
1.1920,147,-0.4,19.8,0.0075,,
1.2005,148,0.1,19.8,0.0075,,
1.2090,149,0.4,19.8,0.0075,,
1.2165,150,1.1,19.8,0.0075,,
1.2250,151,1.9,19.8,0.0075,,
1.2335,152,3.2,19.8,0.0075,,
1.2415,153,3.6,19.8,0.0075,,
1.2500,154,4.6,19.8,0.0075,,
1.2585,155,5.4,19.8,0.0075,,
1.2670,156,6.1,19.8,0.0085,,
1.2745,157,7.0,19.8,0.0070,,
1.2830,158,8.0,19.8,0.0075,,
1.2915,159,9.1,19.8,0.0075,,
1.3000,160,10.4,19.8,0.0075,,
1.3080,161,11.8,19.8,0.0075,,
1.3165,162,13.0,19.8,0.0085,,
1.3245,163,14.5,19.8,0.0075,,
1.3325,164,16.0,19.8,0.0075,,
1.3410,165,17.7,19.8,0.0075,,
1.3495,166,19.5,19.8,0.0075,,
1.3580,167,21.5,19.8,0.0075,,
1.3655,168,23.4,19.8,0.0075,,
1.3740,169,25.7,19.8,0.0075,,
1.3825,170,28.5,19.8,0.0075,,
1.3910,171,31.7,19.8,0.0075,,
1.3995,172,35.4,19.8,0.0075,,
1.4075,173,39.5,19.8,0.0075,,
1.4155,174,43.5,19.8,0.0080,,
1.4235,175,48.5,19.8,0.0075,,
1.4320,176,54.2,19.8,0.0075,,
1.4405,177,60.5,19.8,0.0075,,
1.4490,178,67.4,19.8,0.0075,,
1.4575,179,74.8,19.8,0.0075,,
1.4650,180,81.7,19.8,0.0075,,
1.4735,181,90.5,19.8,0.0075,,
1.4820,182,99.7,19.8,0.0075,,
1.4905,183,109.1,19.8,0.0075,,
1.4985,184,118.7,19.8,0.0075,,
1.5070,185,128.0,19.8,0.0075,,
1.5145,186,136.0,19.8,0.0075,,
1.5230,187,144.7,19.8,0.0075,,
1.5315,188,152.9,19.8,0.0075,,
1.5400,189,160.2,19.8,0.0075,,
1.5485,190,166.7,19.8,0.0075,,
1.5570,191,172.4,19.8,0.0075,,
1.5650,192,177.1,19.8,0.0080,,
1.5730,193,181.2,19.8,0.0075,,
1.5810,194,184.9,19.8,0.0075,,
1.5850,195,185.2,19.8,0.0065,,
1.5850,435,195.4,19.9,0.0000,,
1.5855,436,195.4,19.9,0.0005,,
1.5870,437,195.4,19.9,0.0020,,
1.5895,438,195.4,19.9,0.0030,,
1.5940,439,195.4,19.9,0.0055,,
1.6000,440,195.6,19.9,0.0075,,
1.6085,441,195.8,19.9,0.0105,,
1.6160,442,196.1,19.9,0.0105,,
1.6245,443,196.8,19.9,0.0120,,
