"SampleID","TA","Mass","Sample.Index","TA_evap"
"Junk1",2341.16531400713,59.8325,1,2341.16531400713
"Junk2",2317.088311516,60.0034,2,2315.76501722044
"POC_207_20200914_RUN_8",2334.99067603672,59.5757,3,2332.32516156636
"INITIAL_2_20200913_RUN_5",2356.1376298937,59.9884,4,2352.10544912378
"POC_42_20200915_RUN_9",2351.20227711003,59.655,5,2345.84035629564
"BK_11_20200916_RUN_11",2354.48450942606,60.4868,6,2347.77657635077
"INITIAL_1_20200912_RUN_3",2347.87867910981,60.1322,7,2339.8563146026
"POC_377_20200812_RUN_4",2329.50463342237,59.8302,8,2320.2237384685
"BLANK_7_20200914_RUN_7",2340.88857825019,59.7729,9,2330.23607049934
"ACR_218_20200914_RUN_7",2263.03549555832,60.2002,10,2251.45657602448
"POC_68_20200915_RUN_9",2316.76403632808,60.1294,11,2303.60060430349
"BLANK_3_20200912_RUN_3",2346.75394110959,59.9889,12,2332.09505788857
"INITIAL_2_20200916_RUN_11",2346.24968354482,60.3172,13,2330.27068456494
"POC_200_20200913_RUN_5",2316.28104164126,60.5494,14,2299.2012608464
"POR_81_20200914_RUN_8",2264.84306526432,60.2914,15,2246.86812030191
"RUN_178_20200915_RUN_10",2282.76817484407,59.5835,16,2263.36787874058
"BLANK_6_20200913_RUN_6",2355.16593846839,59.813,17,2333.82808172123
"ACR_220_20200912_RUN_4",2263.33176834908,59.8119,18,2241.55664663887
"POR_216_20200914_RUN_7",2249.79002304538,60.0695,19,2226.8849210008
"POC_43_20200915_RUN_9",2338.90720364843,59.7265,20,2313.78609744757
"ACR_175_20200914_RUN_8",2324.28335510118,59.5282,21,2298.02026634297
"POC_255_20200912_RUN_4",2328.53553578248,59.9063,22,2300.92444247281
"INITIAL_2_20200914_RUN_8",2346.72625970166,59.8898,23,2317.59083209814
"CRM",2229.80364560181,60.0619,24,2200.87782278802
