Task,T3448
Scope 1/1, Sample 1/24 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-101.6,19.8,NaN,,
0.0010,1,-101.7,19.8,0.0010,,
0.0025,2,-101.7,19.8,0.0015,,
0.0050,3,-101.7,19.8,0.0020,,
0.0090,4,-101.7,19.8,0.0035,,
0.0155,5,-101.8,19.8,0.0060,,
0.0235,6,-101.8,19.8,0.0075,,
0.0320,7,-101.7,19.8,0.0075,,
0.0405,8,-101.6,19.8,0.0075,,
0.0490,9,-101.4,19.8,0.0075,,
0.0565,10,-101.2,19.8,0.0070,,
0.0650,11,-100.9,19.8,0.0075,,
0.0735,12,-100.5,19.8,0.0075,,
0.0820,13,-100.1,19.8,0.0075,,
0.0905,14,-99.8,19.8,0.0075,,
0.0980,15,-99.4,19.8,0.0070,,
0.1065,16,-99.0,19.8,0.0075,,
0.1145,17,-98.5,19.8,0.0075,,
0.1230,18,-97.9,19.8,0.0075,,
0.1315,19,-97.4,19.8,0.0075,,
0.1400,20,-96.9,19.8,0.0075,,
0.1475,21,-96.4,19.8,0.0070,,
0.1560,22,-95.8,19.8,0.0075,,
0.1645,23,-95.2,19.8,0.0075,,
0.1730,24,-94.5,19.8,0.0075,,
0.1815,25,-93.8,19.8,0.0075,,
0.1895,26,-93.1,19.8,0.0075,,
0.1975,27,-92.6,19.8,0.0075,,
0.2060,28,-91.8,19.8,0.0075,,
0.2140,29,-91.2,19.8,0.0075,,
0.2225,30,-90.4,19.8,0.0075,,
0.2310,31,-89.7,19.8,0.0075,,
0.2395,32,-88.9,19.8,0.0075,,
0.2470,33,-88.1,19.8,0.0070,,
0.2555,34,-87.4,19.8,0.0075,,
0.2640,35,-86.6,19.8,0.0075,,
0.2725,36,-85.8,19.8,0.0075,,
0.2810,37,-85.0,19.8,0.0075,,
0.2890,38,-84.1,19.8,0.0075,,
0.2970,39,-83.3,19.8,0.0075,,
0.3050,40,-82.5,19.8,0.0075,,
0.3135,41,-81.5,19.8,0.0075,,
0.3220,42,-80.6,19.8,0.0075,,
0.3305,43,-79.8,19.8,0.0075,,
0.3390,44,-78.9,19.8,0.0075,,
0.3465,45,-77.9,19.8,0.0070,,
0.3550,46,-76.9,19.8,0.0075,,
0.3635,47,-75.8,19.8,0.0075,,
0.3720,48,-74.7,19.8,0.0075,,
0.3805,49,-73.6,19.8,0.0075,,
0.3880,50,-72.6,19.8,0.0070,,
0.3965,51,-71.6,19.8,0.0075,,
0.4050,52,-70.4,19.8,0.0075,,
0.4135,53,-69.3,19.8,0.0075,,
0.4215,54,-68.2,19.8,0.0075,,
0.4300,55,-67.1,19.8,0.0075,,
0.4375,56,-65.9,19.8,0.0070,,
0.4460,57,-64.7,19.8,0.0075,,
0.4545,58,-63.4,19.8,0.0075,,
0.4630,59,-62.1,19.8,0.0075,,
0.4715,60,-60.8,19.8,0.0075,,
0.4790,61,-59.7,19.8,0.0070,,
0.4875,62,-58.4,19.8,0.0075,,
0.4960,63,-57.1,19.8,0.0075,,
0.5045,64,-55.9,19.8,0.0075,,
0.5130,65,-54.7,19.8,0.0075,,
0.5210,66,-53.5,19.8,0.0075,,
0.5290,67,-52.4,19.8,0.0075,,
0.5375,68,-51.3,19.8,0.0075,,
0.5455,69,-50.3,19.8,0.0075,,
0.5540,70,-49.2,19.8,0.0075,,
0.5625,71,-48.2,19.8,0.0075,,
0.5710,72,-47.2,19.8,0.0070,,
0.5785,73,-46.3,19.8,0.0070,,
0.5870,74,-45.5,19.8,0.0075,,
0.5955,75,-44.5,19.8,0.0075,,
0.6040,76,-43.6,19.8,0.0075,,
0.6125,77,-42.7,19.8,0.0075,,
0.6205,78,-41.9,19.8,0.0065,,
0.6285,79,-41.2,19.8,0.0075,,
0.6365,80,-40.3,19.8,0.0075,,
0.6450,81,-39.5,19.8,0.0075,,
0.6535,82,-38.7,19.8,0.0075,,
0.6620,83,-37.9,19.8,0.0075,,
0.6705,84,-37.3,19.8,0.0075,,
0.6780,85,-36.5,19.8,0.0070,,
0.6865,86,-35.8,19.8,0.0075,,
0.6950,87,-35.1,19.8,0.0075,,
0.7035,88,-34.5,19.8,0.0075,,
0.7115,89,-33.7,19.8,0.0075,,
0.7200,90,-33.1,19.8,0.0070,,
0.7275,91,-32.5,19.8,0.0070,,
0.7360,92,-31.9,19.8,0.0075,,
0.7445,93,-31.3,19.8,0.0075,,
0.7530,94,-30.6,19.8,0.0075,,
0.7615,95,-30.0,19.8,0.0075,,
0.7700,96,-29.4,19.8,0.0070,,
0.7775,97,-28.8,19.8,0.0070,,
0.7860,98,-28.2,19.8,0.0075,,
0.7945,99,-27.6,19.8,0.0075,,
0.8025,100,-27.0,19.8,0.0075,,
0.8110,101,-26.4,19.8,0.0075,,
0.8195,102,-25.9,19.8,0.0075,,
0.8270,103,-25.3,19.8,0.0070,,
0.8355,104,-24.7,19.8,0.0075,,
0.8440,105,-24.1,19.8,0.0075,,
0.8525,106,-23.5,19.8,0.0075,,
0.8610,107,-22.9,19.8,0.0075,,
0.8685,108,-22.4,19.8,0.0070,,
0.8770,109,-21.8,19.8,0.0075,,
0.8855,110,-21.2,19.8,0.0075,,
0.8940,111,-20.7,19.8,0.0075,,
0.9025,112,-20.1,19.8,0.0075,,
0.9105,113,-19.6,19.8,0.0075,,
0.9185,114,-19.1,19.8,0.0075,,
0.9265,115,-18.5,19.8,0.0075,,
0.9350,116,-18.0,19.8,0.0075,,
0.9435,117,-17.4,19.8,0.0075,,
0.9520,118,-16.9,19.9,0.0075,,
0.9605,119,-16.3,19.8,0.0070,,
0.9680,120,-15.7,19.9,0.0070,,
0.9765,121,-15.2,19.9,0.0075,,
0.9850,122,-14.7,19.9,0.0075,,
0.9935,123,-14.2,19.9,0.0075,,
1.0020,124,-13.6,19.9,0.0075,,
1.0095,125,-13.1,19.9,0.0070,,
1.0180,126,-12.5,19.9,0.0075,,
1.0265,127,-12.0,19.9,0.0075,,
1.0345,128,-11.4,19.9,0.0075,,
1.0430,129,-10.8,19.9,0.0075,,
1.0515,130,-10.2,19.9,0.0075,,
1.0590,131,-9.7,19.9,0.0070,,
