"Task","T3161"
"Scope 1/1, Sample 1/9 (20240720_5)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
"0.0000","0","123.3","18.6","NaN","","","","","",""
"0.0200","28","68.3","18.5","0.0005","","","","","",""
"0.0400","179","-43.2","18.7","0.0000","","","","","",""
"0.0600","186","-44.3","18.7","0.0030","","","","","",""
"0.1100","189","-44.6","18.7","0.0145","","","","","",""
"0.2350","220","-34.5","18.8","0.0040","484.93","2.69","","","","NaN"
"0.2840","250","-25.2","18.8","0.0015","175.59","2.24","","","","NaN"
"0.3040","280","-18.8","18.8","0.0005","72.32","1.86","","","","NaN"
"0.3240","304","-14.7","18.8","0.0010","68.42","1.84","","","","NaN"
"0.3740","320","-12.3","18.9","0.0030","63.66","1.80","","","","NaN"
"0.4990","323","-11.5","18.9","0.0390","30.01","1.48","","","","NaN"
"0.6990","336","-7.9","18.9","0.0160","-8.72","0.94","","","","NaN"
"0.8990","353","-1.2","18.9","0.0120","25.12","1.40","","","","NaN"
"1.0990","383","8.9","19.0","0.0065","189.27","2.28","","","","NaN"
"1.2240","413","23.1","19.0","0.0040","440.00","2.64","","","","NaN"
"1.2560","444","38.8","19.0","0.0010","611.05","2.79","","","","NaN"
"1.2760","474","55.8","19.1","0.0005","734.68","2.87","","","","NaN"
"1.2960","504","75.0","19.1","0.0005","773.31","2.89","","","","NaN"
"1.3160","534","96.4","19.1","0.0005","985.80","2.99","","","","NaN"
"1.3360","564","119.7","19.1","0.0005","1001.23","3.00","","","","NaN"
"1.3560","595","141.3","19.2","0.0005","794.55","2.90","","","","NaN"
"1.3760","625","157.7","19.2","0.0005","623.31","2.79","","","","NaN"
"1.3960","650","167.1","19.2","0.0010","526.97","2.72","","","","NaN"
"1.4255","671","176.0","19.2","0.0015","405.38","2.61","","","","NaN"
"1.4675","688","185.2","19.2","0.0025","274.81","2.44","","","","NaN"
"1.5165","701","193.1","19.3","0.0040","187.23","2.27","","","","NaN"
"1.5845","712","201.3","19.3","0.0060","","","","","",""
"1.6725","723","209.2","19.3","0.0075","","","","","",""
"1.7935","733","217.1","19.3","0.0125","","","","","",""
"1.9600","740","224.8","19.3","0.0230","","","","","",""
"2.1600","749","232.0","19.3","0.0230","","","","","",""
"Scope 1/1, Sample 2/9 (20240802_2)"
"Result","TitrationEQP1"
"V","t","E","T","dV/dt","dE/dV","log dE/dV","d?E/dV?","E acc. stat.","Volume acc. stat.","BETA"
